label_id,text,x,y,font_size,fill
L-001,CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,4976.406,795.67,21.00979783530446px,#d3d3d3
L-002,= FRENDLYJSON/FRENDLYHATE),4976.406,821.932,21.00979783530446px,#d3d3d3
L-003,produces attribute,6274.47,924.073,106.3640427990936px,#d3d3d3
L-004,"what if there is no matching consumes, even",10978.354,958.271,82.54546564275809px,#d3d3d3
L-005,if there is a configured supported type in input formatter,10978.354,1061.453,82.54546564275809px,#d3d3d3
L-006,!!!,11383.531,2389.04,73.49006748911633px,#d3d3d3
L-007,ADD STATUSCODEPAGES FOR 406/415 ETC,7729.687,5135.004,67.12092741243252px,#d3d3d3
L-008,OR,9355.551,5164.908,53.185167100695274px,#d3d3d3
L-009,CREATE SOME ENDPOINTS FOR STATUS CODES,9712.921,5164.113,46.074110243056204px,#d3d3d3
L-010,can add check for status code and add more info about,9705.83,6119.239,20px,#d3d3d3
L-011,the initial path and what client does need to do,9705.83,6144.239,20px,#d3d3d3
L-012,(406 check accept 415 check content tyep),9705.83,6169.239,20px,#d3d3d3
L-013,cant add the exact,9094.114,6197.251,20px,#d3d3d3
L-014,reason to problem,9094.114,6222.251,20px,#d3d3d3
L-015,but can add useful details,9094.114,6247.251,20px,#d3d3d3
L-016,using Microsoft.AspNetCore.Mvc;,7070.738,5098.959,15.309236947791158px,#d3d3d3
L-017,using Microsoft.AspNetCore.WebUtilities;,7070.738,5118.095,15.309236947791158px,#d3d3d3
L-018,var builder = WebApplication.CreateBuilder(args);,7070.738,5156.368,15.309236947791158px,#d3d3d3
L-019,// MVC (or minimal APIs + services),7070.738,5194.641,15.309236947791158px,#d3d3d3
L-020,builder.Services.AddControllers();,7070.738,5213.778,15.309236947791158px,#d3d3d3
L-021,// ProblemDetails infrastructure,7070.738,5252.051,15.309236947791158px,#d3d3d3
L-022,builder.Services.AddProblemDetails();,7070.738,5271.188,15.309236947791158px,#d3d3d3
L-023,var app = builder.Build();,7070.738,5309.461,15.309236947791158px,#d3d3d3
L-024,app.UseRouting();,7070.738,5347.734,15.309236947791158px,#d3d3d3
L-025,app.UseWhen(,7070.738,5386.007,15.309236947791158px,#d3d3d3
L-026,"ctx => ctx.Request.Path.StartsWithSegments(""/api""),",7070.738,5405.143,15.309236947791158px,#d3d3d3
L-027,apiApp =>,7070.738,5424.28,15.309236947791158px,#d3d3d3
L-028,{,7070.738,5443.417,15.309236947791158px,#d3d3d3
L-029,apiApp.UseStatusCodePages(async statusCodeContext =>,7070.738,5462.553,15.309236947791158px,#d3d3d3
L-030,{,7070.738,5481.69,15.309236947791158px,#d3d3d3
L-031,var http = statusCodeContext.HttpContext;,7070.738,5500.826,15.309236947791158px,#d3d3d3
L-032,"// If headers/body already started, can't write a body safely",7070.738,5539.099,15.309236947791158px,#d3d3d3
L-033,if (http.Response.HasStarted),7070.738,5558.236,15.309236947791158px,#d3d3d3
L-034,return;,7070.738,5577.372,15.309236947791158px,#d3d3d3
L-035,var code = http.Response.StatusCode;,7070.738,5615.645,15.309236947791158px,#d3d3d3
L-036,// Only handle selected status codes,7070.738,5653.919,15.309236947791158px,#d3d3d3
L-037,if (code is not (,7070.738,5673.055,15.309236947791158px,#d3d3d3
L-038,StatusCodes.Status404NotFound or,7070.738,5692.192,15.309236947791158px,#d3d3d3
L-039,StatusCodes.Status405MethodNotAllowed or,7070.738,5711.328,15.309236947791158px,#d3d3d3
L-040,StatusCodes.Status406NotAcceptable or,7070.738,5730.465,15.309236947791158px,#d3d3d3
L-041,StatusCodes.Status415UnsupportedMediaType)),7070.738,5749.601,15.309236947791158px,#d3d3d3
L-042,{,7070.738,5768.738,15.309236947791158px,#d3d3d3
L-043,return;,7070.738,5787.874,15.309236947791158px,#d3d3d3
L-044,},7070.738,5807.011,15.309236947791158px,#d3d3d3
L-045,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,7070.738,5845.284,15.309236947791158px,#d3d3d3
