source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-011,11,8599272c552f80aef297d96916bf277fe913f252,8599272c55,11448.968,1556.294,982.0,482.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-006: !!! | L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-012,12,3f98d044e3774c4def36ddc59db3e7612cb4f89f,3f98d044e3,11462.165,2102.261,1096.0,321.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-006: !!! | L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-013,13,646e6a28e7c521e4a578e3ce48d3b98ca6d4a4e6,646e6a28e7,11438.84,1442.973,758.0,90.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-006: !!! | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-014,14,6dc64a75d3590e875c15248be727789f2e76d887,6dc64a75d3,11438.771,1158.278,1155.0,269.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-006: !!! | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-022,22,f83cd3da187333ec3e5d2dde4de44637e9cc7a64,f83cd3da18,8158.774,988.412,694.0,95.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.",L-084: use consumes | L-086: CONSUMES | L-085: OR | L-083: IACTIONCONSTRAINT | L-003: produces attribute,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-023,23,18977cba3235850a4b9fa39f66ef817bb8c905b3,18977cba32,8154.232,1157.266,705.0,63.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.",L-084: use consumes | L-086: CONSUMES | L-085: OR | L-083: IACTIONCONSTRAINT | L-003: produces attribute,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-024,24,016f6c509bc3a372773369a9a204d5037c8d74ae,016f6c509b,8059.492,1252.599,853.0,299.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.",L-084: use consumes | L-086: CONSUMES | L-085: OR | L-083: IACTIONCONSTRAINT | L-003: produces attribute,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-025,25,181d60a30a912e8d2af924c428cf6647f3997f5a,181d60a30a,8017.733,1581.155,898.0,193.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.",L-084: use consumes | L-086: CONSUMES | L-085: OR | L-083: IACTIONCONSTRAINT | L-003: produces attribute,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-026,26,c5c6ec5f3c9f26d4bcf8edab50439b4f14864088,c5c6ec5f3c,7992.121,1801.395,887.0,434.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.",L-084: use consumes | L-086: CONSUMES | L-085: OR | L-083: IACTIONCONSTRAINT | L-003: produces attribute,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-027,27,d6ed2c0ec948f795c17ea24b5107bec70521b735,d6ed2c0ec9,7978.564,2261.684,659.0,482.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-084: use consumes | L-086: CONSUMES | L-085: OR | L-083: IACTIONCONSTRAINT | L-092: when have endpoint distinction with produces, need to vary",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
S-032,32,30cd0d551ae4db25c70ca3396a0fc61ad9ce1d22,30cd0d551a,8936.5,951.717,755.0,236.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.",L-085: OR | L-083: IACTIONCONSTRAINT | L-084: use consumes | L-086: CONSUMES | L-005: if there is a configured supported type in input formatter,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: Consumes, input formatters, action selection, 415.",R02,no-for-r02-v001
