source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-033,33,e13081dfea911f6509fe131b56f2346f786c6230,e13081dfea,346.812,2288.819,991.0,356.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-088: set varry accept | L-090: from browser | L-087: when we need to | L-089: broad accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-034,34,4ad8762b2e41d92b401ffe4e6d64e0181d49638b,4ad8762b2e,346.179,2751.114,932.0,128.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-088: set varry accept | L-090: from browser | L-087: when we need to | L-089: broad accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-035,35,c05ba00f67edaa7c874a7a120b1a5afbfe976503,c05ba00f67,308.203,618.623,955.0,341.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-087: when we need to | L-090: from browser | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-036,36,5d40fe5d162e0087d2b943829e3ba682be5801b7,5d40fe5d16,319.292,995.665,973.0,394.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-087: when we need to | L-090: from browser | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-037,37,689c84660ddeb7d4dab4dbd7a921ae775dd4fa60,689c84660d,328.458,1408.832,1008.0,357.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-087: when we need to | L-090: from browser | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-038,38,26f2b4c75fdca7bc0e180eed6e77ce07c3aca6b1,26f2b4c75f,335.958,1760.332,1001.0,430.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-090: from browser | L-087: when we need to | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-039,39,3bdbed7d02711bdd4be8d1533fc9ef7dc572ff71,3bdbed7d02,2004.959,520.332,995.0,366.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-090: from browser | L-089: broad accept header | L-091: respect browser accept header | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN | L-002: = FRENDLYJSON/FRENDLYHATE),processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-040,40,1d114c1e88276feccca88073a7d82574b1c090c7,1d114c1e88,2015.459,893.832,1002.0,447.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-090: from browser | L-089: broad accept header | L-091: respect browser accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-041,41,93ed43b9bf09bcf07f13c4de22ec3cba95dafb4b,93ed43b9bf,2002.237,1474.943,984.0,367.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-090: from browser | L-089: broad accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-042,42,5ef1a49f6acba592304ed6c22fc4ccaf5ec61c52,5ef1a49f6a,2004.419,1849.729,959.0,366.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-090: from browser | L-089: broad accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
S-043,43,c853123ab3c8108cda003fc49f6cc5df0b186394,c853123ab3,1979.613,2273.795,842.0,482.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-090: from browser | L-089: broad accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001
