region,source_id,image_use_id,file_sha256_12,x,y,width,height,stage1_status,source_image_path
R01,S-001,IU-001,901a2e2bbd2e,218.93183488773548,556.2086834754459,983.0,430.0,verified-semantic-transcript,source/images/901a2e2bbd2e.png
R01,S-002,IU-002,f2bddec7563e,3561.065774131665,742.555388864509,913.0,333.0,verified-semantic-transcript,source/images/f2bddec7563e.png
R01,S-003,IU-003,d47193b871e4,2033.8211242706202,752.7348149072168,960.0,314.0,verified-semantic-transcript,source/images/d47193b871e4.png
R01,S-004,IU-004,dea6ca5b4e2a,260.0898489635042,1035.3992105285529,994.0,414.0,verified-semantic-transcript,source/images/dea6ca5b4e2a.png
R01,S-005,IU-005,2c90dff2a743,3589.055518826664,1102.321518429253,900.0,482.0,verified-semantic-transcript,source/images/2c90dff2a743.png
R01,S-006,IU-006,6c20e047f30d,2029.495292297991,1152.4143413767924,971.0,266.0,verified-semantic-transcript,source/images/6c20e047f30d.png
R01,S-007,IU-007,d78b34441657,247.20957539118353,1478.6505210906848,938.0,473.0,verified-semantic-transcript,source/images/d78b34441657.png
R02,S-008,IU-008,a6e980537bec,2041.0322415272576,1540.5785649072168,802.0,482.0,verified-semantic-transcript,source/images/a6e980537bec.png
R02,S-009,IU-009,2ce55542c433,3591.6688104619593,1587.0622546488712,762.0,482.0,verified-semantic-transcript,source/images/2ce55542c433.png
R02,S-010,IU-010,643c596c2647,5031.770809107268,1618.8762851516535,1094.0,386.0,verified-semantic-transcript,source/images/643c596c2647.png
R02,S-011,IU-011,dcc93c3a0a5a,237.91204283205525,2030.7518459675225,967.0,295.0,verified-semantic-transcript,source/images/dcc93c3a0a5a.png
R02,S-012,IU-012,4c22fcb5c286,2050.65462036437,2054.568127895498,609.0,193.0,verified-semantic-transcript,source/images/4c22fcb5c286.png
R02,S-013,IU-013,481feae78158,5047.1930369572765,2061.8311293085544,734.0,482.0,verified-semantic-transcript,source/images/481feae78158.png
R02,S-014,IU-014,ba889f5f6f25,3575.253274550016,2072.1629321391056,941.0,281.0,verified-semantic-transcript,source/images/ba889f5f6f25.png
R02,S-015,IU-015,50e16c846492,283.063457579417,2355.139320919328,947.0,458.0,verified-semantic-transcript,source/images/50e16c846492.png
R03,S-016,IU-016,4bf6c05320f8,5055.329110025676,2579.6088901321223,602.0,482.0,verified-semantic-transcript,source/images/4bf6c05320f8.png
R03,S-017,IU-017,92322137685f,399.3730976463812,2908.3059294572745,642.0,205.0,verified-semantic-transcript,source/images/92322137685f.png
R03,S-018,IU-018,04ce26b0a767,385.682563327186,3156.424948011961,917.0,444.0,verified-semantic-transcript,source/images/04ce26b0a767.png
R03,S-019,IU-019,348bb7b81d66,404.5634575794179,3626.0203023646413,944.0,381.0,verified-semantic-transcript,source/images/348bb7b81d66.png
R03,S-020,IU-020,9f4e82456623,422.4206004365601,4037.782090869105,954.0,247.0,verified-semantic-transcript,source/images/9f4e82456623.png
