use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-87d4482f3608cacd7eee9d86f23abf7abedd1349,62cc983fa2b3.png,62cc983fa2b3,R03,4452.793858591166,642.5697021895903,917.0,428.0,1.0,,T-004|T-005|T-002,two states at the same|time|UseTransition,pending_transcript
IU-002,image-c75d11b4532b723744d3a9483afbec416c724863,bbf396fd5641.png,bbf396fd5641,R03,3498.5461623139663,623.1171943228364,739.0,482.0,1.0,,T-002|T-004|T-005,UseTransition|two states at the same|time,pending_transcript
IU-003,image-281d5e8270b377d0bd4cd59bceeed79cc31c6314,17805614b93a.png,17805614b93a,R03,4476.96280584129,1684.535381055539,917.0,377.0,1.0,,T-005|T-004|T-011,"time|two states at the same|urgent updates , restarting transition",pending_transcript
IU-004,image-9f0a9d88ddfc8560f2c5a812ae1e17a3d44cf801,9b2c43a6637f.png,9b2c43a6637f,R03,4487.772445908255,2062.2259153747327,983.0,414.0,1.0,,T-005|T-004|T-011,"time|two states at the same|urgent updates , restarting transition",pending_transcript
IU-005,image-41fb04bd4595106a5756ce20a5a95a569321fd90,5ddb53ad2799.png,5ddb53ad2799,R04,4564.633771093088,2740.032025575163,902.0,482.0,1.0,,T-011|T-015|T-012,"urgent updates , restarting transition|extra cost of usetransition|delaying transition",pending_transcript
IU-006,image-cadd7e9cc219ca676faa34c825b23d0bc2d9c805,38b1ffd4edeb.png,38b1ffd4edeb,R04,4545.6057501772275,3435.321051744715,1054.0,264.0,1.0,,T-012|T-015|T-011,"delaying transition|extra cost of usetransition|urgent updates , restarting transition",pending_transcript
IU-007,image-5d7353a77a2eec83f4a2213dc2864825f7844195,4fd360d35102.png,4fd360d35102,R04,4554.082173168299,3713.8685545348926,1018.0,385.0,1.0,,T-012|T-015|T-011,"delaying transition|extra cost of usetransition|urgent updates , restarting transition",pending_transcript
IU-008,image-4577f0c1d5ca1c57947589d91ec64874d04e70e3,369eb33a437c.png,369eb33a437c,R04,4609.669988675463,4221.278189719851,780.0,482.0,1.0,,T-012|T-015|T-013,"delaying transition|extra cost of usetransition|Controlled inputs, dont",pending_transcript
IU-009,image-c69fb677a53111b36c6565ea7d79389105121e79,4ade074e8370.png,4ade074e8370,R04,4612.468103396788,4773.601080955203,928.0,391.0,1.0,,T-012|T-013|T-014,"delaying transition|Controlled inputs, dont|transition input set value",pending_transcript
IU-010,image-5a9760c3fcba762ddf3d0d23fd9bdd6e00061c34,715bf1ff0f67.png,715bf1ff0f67,R04,4586.301538455382,5275.601080955203,917.0,467.0,1.0,,T-013|T-014|T-012,"Controlled inputs, dont|transition input set value|delaying transition",pending_transcript
IU-011,image-88ca697e17b745ebaa0b83dec7c426fe2de39d93,796848b09791.png,796848b09791,R04,4645.134820926085,6008.76769675924,896.0,364.0,1.0,,T-014|T-013|T-012,"transition input set value|Controlled inputs, dont|delaying transition",pending_transcript
IU-012,image-61880de4fd1aadf0b2427ded6078062f4b676d45,5ea34fc38831.png,5ea34fc38831,R04,4634.634820926085,6406.601055523888,967.0,355.0,1.0,,T-014|T-013|T-012,"transition input set value|Controlled inputs, dont|delaying transition",pending_transcript
IU-013,image-289f8da14e71843ac52080d637f72820e7612b92,714bfb99b268.png,714bfb99b268,R04,3594.4352838643536,3469.349748738976,895.0,167.0,1.0,,T-011|T-018|T-017,"urgent updates , restarting transition|the latest state update|transition will be ready with",pending_transcript
IU-014,image-366c0399a2af1684fabdc676a91d8cac35b29428,f51b6523f313.png,f51b6523f313,R05,7981.241593618838,665.8084908593528,696.0,482.0,1.0,,T-019|T-003|T-016,!!!|Debounce|pattern,pending_transcript
