source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,U-001,6191ab77b04b1fcb06aef20930217df55dd5298b,1328.4154301953731,10.0,1073.0,445.0,R02,unprocessed,
S-002,U-002,da5fb720deb2737ed834ed8f217ac2859cd24254,26.642857142856883,148.43480464982713,779.0,454.0,R01,unprocessed,
S-003,U-003,ea68c03cd3061f4ebb05fc7f3df857a854af73b8,1401.9324382804107,544.5103004787597,781.0,381.0,R02,unprocessed,
S-004,U-004,9cef41b415457787f54202e89c9e61084525c7f3,10.0,625.3634196749408,938.0,403.0,R01,unprocessed,
S-005,U-005,f1fc5b4e8f57bf8425b70235b14c160f2085d33b,1339.0792795567322,993.7882898724347,814.0,325.0,R02,unprocessed,
S-006,U-006,e0f5494d2404d664bf0e8df1cf84a65365fbeac4,50.66660853794656,1017.9110096581935,910.0,296.0,R01,unprocessed,
S-007,U-007,476dd7d5ede59490ba9ce2b9fff2c206add387c8,69.54488312252033,1293.8343126870896,766.0,305.0,R01,unprocessed,
S-008,U-008,c47b985568c2e74b93d2198138a69895b9eccc39,1346.9526627928863,1329.946832081634,846.0,482.0,R02,unprocessed,
S-009,U-009,58d21b7107ef55683d40cefbbb7a14e236f5481c,10.378216455853362,1637.408409366777,751.0,326.0,R01,unprocessed,
S-010,U-010,2ea7a6007e8c64e9ff1e61c043d7647a11cc5732,1391.7089996088152,1837.4919709705246,688.0,205.0,R02,unprocessed,
S-011,U-011,d25d6fb2be3c2c63a7af6787b0d39f695e069a07,16.581870427207832,1986.556602726152,594.0,388.0,R01,unprocessed,
S-012,U-012,01566da4c5cc7e8660aceca466b93f091580ddb5,1366.505521961246,2053.2513432578453,931.0,452.0,R02,unprocessed,
S-013,U-013,671db5ae83f0dde9879442f1c193656e90b7d764,53.69586482482282,2393.758336767067,683.0,327.0,R01,unprocessed,
S-014,U-014,289098c88bd925e8e5fa52e0681fb41b94340557,1375.2311755560172,2529.94696771531,825.0,482.0,R02,unprocessed,
S-015,U-015,c5ee55cd75f2878efc80a11990e2d466a83dbc31,1311.6351063796492,3061.2698843819817,940.0,353.0,R02,unprocessed,
S-016,U-016,0dc53c2ff41b61dd35e10b3dd34dd98de240700f,1361.6721886279129,3451.269884381978,914.0,373.0,R02,unprocessed,
S-017,U-017,db27753f23f9a29764cb994679f4a2766cf17602,1393.6281112458291,3869.2062043689584,803.0,482.0,R02,unprocessed,
