region,source_id,image_use,file_sha,x,y,width,height,stage1_status,theme
R01,S-002,U-002,da5fb720deb2737ed834ed8f217ac2859cd24254,26.64,148.43,779.0,454.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R01,S-004,U-004,9cef41b415457787f54202e89c9e61084525c7f3,10.0,625.36,938.0,403.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R01,S-006,U-006,e0f5494d2404d664bf0e8df1cf84a65365fbeac4,50.67,1017.91,910.0,296.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R01,S-007,U-007,476dd7d5ede59490ba9ce2b9fff2c206add387c8,69.54,1293.83,766.0,305.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R01,S-009,U-009,58d21b7107ef55683d40cefbbb7a14e236f5481c,10.38,1637.41,751.0,326.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R01,S-011,U-011,d25d6fb2be3c2c63a7af6787b0d39f695e069a07,16.58,1986.56,594.0,388.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R01,S-013,U-013,671db5ae83f0dde9879442f1c193656e90b7d764,53.7,2393.76,683.0,327.0,verified-semantic-transcript,when HttpContent sets Content-Type automatically and when ByteArrayContent/StreamContent require manual media type
R02,S-001,U-001,6191ab77b04b1fcb06aef20930217df55dd5298b,1328.42,10.0,1073.0,445.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-003,U-003,ea68c03cd3061f4ebb05fc7f3df857a854af73b8,1401.93,544.51,781.0,381.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-005,U-005,f1fc5b4e8f57bf8425b70235b14c160f2085d33b,1339.08,993.79,814.0,325.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-008,U-008,c47b985568c2e74b93d2198138a69895b9eccc39,1346.95,1329.95,846.0,482.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-010,U-010,2ea7a6007e8c64e9ff1e61c043d7647a11cc5732,1391.71,1837.49,688.0,205.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-012,U-012,01566da4c5cc7e8660aceca466b93f091580ddb5,1366.51,2053.25,931.0,452.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-014,U-014,289098c88bd925e8e5fa52e0681fb41b94340557,1375.23,2529.95,825.0,482.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-015,U-015,c5ee55cd75f2878efc80a11990e2d466a83dbc31,1311.64,3061.27,940.0,353.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-016,U-016,0dc53c2ff41b61dd35e10b3dd34dd98de240700f,1361.67,3451.27,914.0,373.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
R02,S-017,U-017,db27753f23f9a29764cb994679f4a2766cf17602,1393.63,3869.21,803.0,482.0,verified-semantic-transcript,"charset vs compression Content-Encoding, StringContent/JsonContent behavior, and interoperability guidance"
