source_id,image_use,href,asset_sha,x,y,width,height,opacity,region
S-001,U-001,image-6f7779b72dbb8a25aa219e0ab6d456c7ecf6cd3b,6191ab77b04b1fcb06aef20930217df55dd5298b,1328.4154301953731,10.0,1073.0,445.0,1,R02
S-002,U-002,image-60ffdf2c4359ff424ca66dd3150958393253b306,da5fb720deb2737ed834ed8f217ac2859cd24254,26.642857142856883,148.43480464982713,779.0,454.0,1,R01
S-003,U-003,image-9089e496ee84970faecb2d96b0c26212b2cec803,ea68c03cd3061f4ebb05fc7f3df857a854af73b8,1401.9324382804107,544.5103004787597,781.0,381.0,1,R02
S-004,U-004,image-374984dd7c58f5bf47b22235c7c2cb3b380bb298,9cef41b415457787f54202e89c9e61084525c7f3,10.0,625.3634196749408,938.0,403.0,1,R01
S-005,U-005,image-e166610267ab96ab177a6c25912cfd761a4882d1,f1fc5b4e8f57bf8425b70235b14c160f2085d33b,1339.0792795567322,993.7882898724347,814.0,325.0,1,R02
S-006,U-006,image-04de344689dff9d2f2bf244dc6182ca42efd7069,e0f5494d2404d664bf0e8df1cf84a65365fbeac4,50.66660853794656,1017.9110096581935,910.0,296.0,1,R01
S-007,U-007,image-1a64b878375735c4df22ce5edf52300dfa48219b,476dd7d5ede59490ba9ce2b9fff2c206add387c8,69.54488312252033,1293.8343126870896,766.0,305.0,1,R01
S-008,U-008,image-1814de78309a2ec63305c2e834809d323d4921e3,c47b985568c2e74b93d2198138a69895b9eccc39,1346.9526627928863,1329.946832081634,846.0,482.0,1,R02
S-009,U-009,image-1765aeea77f8c57445a6c2a4d4a2750521b39d36,58d21b7107ef55683d40cefbbb7a14e236f5481c,10.378216455853362,1637.408409366777,751.0,326.0,1,R01
S-010,U-010,image-83d2af5f81b250eb57e6ffde39775f028948bfbf,2ea7a6007e8c64e9ff1e61c043d7647a11cc5732,1391.7089996088152,1837.4919709705246,688.0,205.0,1,R02
S-011,U-011,image-b618081f37c27be1f84b36f373885a3d02f0384f,d25d6fb2be3c2c63a7af6787b0d39f695e069a07,16.581870427207832,1986.556602726152,594.0,388.0,1,R01
S-012,U-012,image-01f0aec3f7aefe7458f38917404a227b8c1f691d,01566da4c5cc7e8660aceca466b93f091580ddb5,1366.505521961246,2053.2513432578453,931.0,452.0,1,R02
S-013,U-013,image-defc888fe12e1f174b887433976379f9f2908b71,671db5ae83f0dde9879442f1c193656e90b7d764,53.69586482482282,2393.758336767067,683.0,327.0,1,R01
S-014,U-014,image-7217177de2daba83b0c8f9d389a47f515f4a6cea,289098c88bd925e8e5fa52e0681fb41b94340557,1375.2311755560172,2529.94696771531,825.0,482.0,1,R02
S-015,U-015,image-1d620cbcec73911660bec61145cc8687987bed51,c5ee55cd75f2878efc80a11990e2d466a83dbc31,1311.6351063796492,3061.2698843819817,940.0,353.0,1,R02
S-016,U-016,image-5d8e8cc87d0d7b9b41e4c3750251b232efdb644a,0dc53c2ff41b61dd35e10b3dd34dd98de240700f,1361.6721886279129,3451.269884381978,914.0,373.0,1,R02
S-017,U-017,image-18b7399ff2ce58d37b1d76a031cea082c14061c7,db27753f23f9a29764cb994679f4a2766cf17602,1393.6281112458291,3869.2062043689584,803.0,482.0,1,R02
