source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,86922be1d4,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,bbfbad7969,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,5a3a2852a4,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,b81cd6d651,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,6228547cf6,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,8212a18859,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,e8162450a1,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,488c169097,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,364f261c50,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,6ab5135f8f,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-011,IU-011,d60e67434a,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,f8490d6b85,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-013,IU-013,6cbd79dabe,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-014,IU-014,a25597376b,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-015,IU-015,52e76fdb20,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,86a6d029f3,CTXDB01,CTXDB01B,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,f349958410,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,f1b6b3ec43,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,d8a7a3ccc7,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-020,IU-020,1d557a6bdb,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-021,IU-021,9630c78d6c,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-022,IU-022,bbfabb5d20,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-023,IU-023,e27cd4bbd8,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-024,IU-024,a1be321ab2,CTXDB01,CTXDB01A,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-025,IU-025,8c016512b6,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-026,IU-026,ae6e5fab1f,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-027,IU-027,515cefc600,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-028,IU-028,5c580fc158,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-029,IU-029,9d59cacc4a,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-030,IU-030,be34ea62c8,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-031,IU-031,534194b01d,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-032,IU-032,16587c193d,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-033,IU-033,43d314f73d,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-034,IU-034,70a5cc9c2c,CTXDB01,CTXDB01B,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-035,IU-035,c6542a3688,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-036,IU-036,74409f1807,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-037,IU-037,b9675df28e,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-038,IU-038,b8b98b6e6f,CTXDB01,CTXDB01B,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-039,IU-039,02b511c630,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-040,IU-040,397ce4c284,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-041,IU-041,6baa058c54,CTXDB02,CTXDB02A,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-042,IU-042,dcbd43ef97,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-043,IU-043,b9ee766727,CTXDB02,CTXDB02B,processed-in-ctxdb02-v001,yes-for-ctxdb02-v001-boundary,ok-processed,Included in CTXDB02 v001 after NEXT01 visual/semantic transcript pass.
S-044,IU-044,17ce5a037a,CTXDB01,CTXDB01B,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
S-045,IU-045,b8dac87d22,CTXDB03,CTXDB03A,processed-in-ctxdb03-v001,yes-for-ctxdb03-v001-boundary,ok-processed,Included in CTXDB03 v001 after NEXT02 visual/semantic transcript pass.
S-046,IU-046,788d0427bb,CTXDB01,CTXDB01B,processed-in-ctxdb01-v001,yes-for-ctxdb01-v001-boundary,ok-processed,Included in CTXDB01 v001 after NEXT01 visual/semantic transcript pass.
