source_id,decision,region,subregion,reason
S-118,processed-in-ctxdb04-v001,CTXDB04,CTXDB04A,"SaveChanges flush, batching, and database transaction handle/lifecycle."
S-120,processed-in-ctxdb04-v001,CTXDB04,CTXDB04A,"SaveChanges flush, batching, and database transaction handle/lifecycle."
S-121,processed-in-ctxdb04-v001,CTXDB04,CTXDB04B,"Outer transaction visibility, rollback, and Add/SaveChanges/Commit/Rollback distinction."
S-122,processed-in-ctxdb04-v001,CTXDB04,CTXDB04A,"SaveChanges flush, batching, and database transaction handle/lifecycle."
S-132,processed-in-ctxdb04-v001,CTXDB04,CTXDB04A,"SaveChanges flush, batching, and database transaction handle/lifecycle."
S-134,processed-in-ctxdb04-v001,CTXDB04,CTXDB04A,"SaveChanges flush, batching, and database transaction handle/lifecycle."
S-136,processed-in-ctxdb04-v001,CTXDB04,CTXDB04A,"SaveChanges flush, batching, and database transaction handle/lifecycle."
S-137,processed-in-ctxdb04-v001,CTXDB04,CTXDB04B,"Outer transaction visibility, rollback, and Add/SaveChanges/Commit/Rollback distinction."
S-143,processed-in-ctxdb04-v001,CTXDB04,CTXDB04B,"Outer transaction visibility, rollback, and Add/SaveChanges/Commit/Rollback distinction."
S-149,processed-in-ctxdb04-v001,CTXDB04,CTXDB04B,"Outer transaction visibility, rollback, and Add/SaveChanges/Commit/Rollback distinction."
S-056,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-060,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-063,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-065,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-069,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-070,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-075,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-080,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-083,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-090,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-097,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-099,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-102,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-105,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-108,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-112,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-115,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-123,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-124,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-133,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-135,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-142,processed-in-ctxdb05-v001,CTXDB05,CTXDB05A,"IDbContextTransaction API, commit/rollback/savepoints/TransactionId, GetDbTransaction and raw transaction interop."
S-158,processed-in-ctxdb05-v001,CTXDB05,CTXDB05B,"No outer transaction behavior, savepoints, sharing a local transaction across ADO.NET and EF contexts, UseTransaction limits."
S-161,processed-in-ctxdb05-v001,CTXDB05,CTXDB05B,"No outer transaction behavior, savepoints, sharing a local transaction across ADO.NET and EF contexts, UseTransaction limits."
S-162,processed-in-ctxdb05-v001,CTXDB05,CTXDB05B,"No outer transaction behavior, savepoints, sharing a local transaction across ADO.NET and EF contexts, UseTransaction limits."
S-164,processed-in-ctxdb05-v001,CTXDB05,CTXDB05B,"No outer transaction behavior, savepoints, sharing a local transaction across ADO.NET and EF contexts, UseTransaction limits."
