region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R03-S001,S-042,IU-042,267c329489,R03,3134.6492124266697,9902.464845103525,921.0,446.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Allowed request headers and methods,Covers WithHeaders/AllowAnyHeader and WithMethods/AllowAnyMethod: preflight validates requested headers/methods before the browser sends the real cross-origin request.,AllowAnyHeader | WithHeaders,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S002,S-035,IU-035,385c11ff15,R03,1791.866020927413,9928.8881384443,989.0,394.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,CORS policy origins: WithOrigins / AllowAnyOrigin / SetIsOriginAllowed,"Explains origin selection in ASP.NET CORS policy builder: exact allowed origins via WithOrigins, permissive AllowAnyOrigin for public/non-credentialed APIs, and custom origin predicates through SetIsOriginAllowed when origin logic is dynamic.",WithOrigins | in most cases we just include some alloc-headers and the behavior was described in flows we dont include something if th | AllowAnyOrigin | AllowAnyHeader | WithHeaders | Policy builder,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S003,S-036,IU-036,62d46cb593,R03,1800.8161766669657,10327.27151285526,895.0,482.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,CORS policy origins: WithOrigins / AllowAnyOrigin / SetIsOriginAllowed,"Explains origin selection in ASP.NET CORS policy builder: exact allowed origins via WithOrigins, permissive AllowAnyOrigin for public/non-credentialed APIs, and custom origin predicates through SetIsOriginAllowed when origin logic is dynamic.",AllowAnyOrigin | WithOrigins | WithHeaders | in most cases we just include some alloc-headers and the behavior was described in flows we dont include something if th | AllowAnyHeader | SetIsOriginAllowed,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S004,S-043,IU-043,64744d2c05,R03,3139.399607225012,10368.753107364812,870.0,482.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Allowed request headers and methods,Covers WithHeaders/AllowAnyHeader and WithMethods/AllowAnyMethod: preflight validates requested headers/methods before the browser sends the real cross-origin request.,WithHeaders | AllowAnyHeader | AllowAnyMethod,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S005,S-037,IU-037,f75d1c1b96,R03,1817.7046323485447,10946.798246253702,986.0,224.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,CORS policy origins: WithOrigins / AllowAnyOrigin / SetIsOriginAllowed,"Explains origin selection in ASP.NET CORS policy builder: exact allowed origins via WithOrigins, permissive AllowAnyOrigin for public/non-credentialed APIs, and custom origin predicates through SetIsOriginAllowed when origin logic is dynamic.",AllowAnyOrigin | WithHeaders | SetIsOriginAllowed | AllowAnyMethod | WithOrigins | AllowAnyHeader,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S006,S-044,IU-044,607c98898f,R03,3099.7601879040994,11081.57595621464,973.0,390.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Allowed request headers and methods,Covers WithHeaders/AllowAnyHeader and WithMethods/AllowAnyMethod: preflight validates requested headers/methods before the browser sends the real cross-origin request.,WithHeaders | AllowAnyMethod | AllowAnyHeader,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S007,S-038,IU-038,0ac4468973,R03,1832.519158474512,11179.123319495891,841.0,604.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,CORS policy origins: WithOrigins / AllowAnyOrigin / SetIsOriginAllowed,"Explains origin selection in ASP.NET CORS policy builder: exact allowed origins via WithOrigins, permissive AllowAnyOrigin for public/non-credentialed APIs, and custom origin predicates through SetIsOriginAllowed when origin logic is dynamic.",SetIsOriginAllowed | AllowAnyOrigin | AllowAnyMethod | WithHeaders,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S008,S-045,IU-045,fd10f17c2f,R03,3117.257395201792,11499.123387312731,781.0,482.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Allowed request headers and methods,Covers WithHeaders/AllowAnyHeader and WithMethods/AllowAnyMethod: preflight validates requested headers/methods before the browser sends the real cross-origin request.,AllowAnyMethod | WithHeaders | WithMethods | SetIsOriginAllowed,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S009,S-039,IU-039,d8f52af60f,R03,1825.1119945447244,11984.390816240682,906.0,294.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,CORS policy origins: WithOrigins / AllowAnyOrigin / SetIsOriginAllowed,"Explains origin selection in ASP.NET CORS policy builder: exact allowed origins via WithOrigins, permissive AllowAnyOrigin for public/non-credentialed APIs, and custom origin predicates through SetIsOriginAllowed when origin logic is dynamic.",SetIsOriginAllowed | AllowAnyMethod | WithMethods | AllowAnyOrigin | WithHeaders | withExposedHeaders,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S010,S-046,IU-046,e1b5181047,R03,3095.130603485697,12235.983386227665,923.0,256.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Allowed request headers and methods,Covers WithHeaders/AllowAnyHeader and WithMethods/AllowAnyMethod: preflight validates requested headers/methods before the browser sends the real cross-origin request.,AllowAnyMethod | WithMethods | AllowCredentials | WithHeaders,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S011,S-040,IU-040,978a8d9547,R03,1824.765652003804,12293.19755180926,800.0,482.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Exposed response headers and preflight cache lifetime,"Shows WithExposedHeaders for response headers JavaScript may read, and SetPreflightMaxAge for caching successful preflight decisions for the same request shape.",SetIsOriginAllowed | AllowAnyMethod | WithMethods | withExposedHeaders | AllowCredentials | SetOriginAllowedToAllowWildcardSubdomain,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S012,S-047,IU-047,c82bc51d8d,R03,3100.0818546542323,12516.901165090509,777.0,482.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Allowed request headers and methods,Covers WithHeaders/AllowAnyHeader and WithMethods/AllowAnyMethod: preflight validates requested headers/methods before the browser sends the real cross-origin request.,WithMethods | AllowAnyMethod | AllowCredentials,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R03-S013,S-041,IU-041,1888b507c3,R03,1880.5741635985469,13063.567899574016,709.0,482.0,processed-in-r03r04r05-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,Exposed response headers and preflight cache lifetime,"Shows WithExposedHeaders for response headers JavaScript may read, and SetPreflightMaxAge for caching successful preflight decisions for the same request shape.",withExposedHeaders | WithMethods | AllowCredentials | AllowAnyMethod | SetIsOriginAllowed | SetPreflightMaxAge,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
