region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R01-S001,S-033,IU-033,b25602bb41,R01,5137.616125172505,10.0,840.0,482.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",what is origin for cors configuration scheme + host + port defaults may be dropped,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S002,S-034,IU-034,528d50ff1f,R01,5095.395833710096,944.9952117787744,1031.0,367.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.","what is origin for cors configuration scheme + host + port defaults may be dropped | 1 For not simple requests Patch,Put,Delete - Browser sends ACCESS-CONTROL-REQUEST headers 2 Server checks that headers a | about csrf - so if the request is simple enough cors may not help against csrf, but we usually deal with json which is n",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S003,S-032,IU-032,e34755917c,R01,10405.260450467442,1116.8843544964177,408.0,343.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",What is the host | what is origin,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S004,S-029,IU-029,e341cfa242,R01,9257.855787381504,1199.1462389132705,995.0,412.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",what is origin | What is the host,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S005,S-115,IU-115,94d80ed8b5,R01,5066.866746116315,1394.2722230665513,761.0,431.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.","1 For not simple requests Patch,Put,Delete - Browser sends ACCESS-CONTROL-REQUEST headers 2 Server checks that headers a | about csrf - so if the request is simple enough cors may not help against csrf, but we usually deal with json which is n | what is origin for cors configuration scheme + host + port defaults may be dropped | if preflight is successful - js will read respoinse because we have checked for everything at preflight",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S006,S-027,IU-027,c7b325ac2b,R01,7772.123362115661,1406.2943152885982,1004.0,280.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",components of url | what is origin | What is the host,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S007,S-028,IU-028,9913aff46a,R01,7812.147919281524,1711.8051642876217,814.0,482.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",components of url | what is origin | What is the host,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S008,S-030,IU-030,fcbb8d786b,R01,9216.379617250366,1935.1462214746543,1025.0,228.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",what is origin | What is the host,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S009,S-031,IU-031,da86c5bcba,R01,9205.712930238647,2230.479412392623,1017.0,480.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Origin / URL components / host vs origin basics,"Defines origin as scheme + host + port, distinguishes host/hostname/path/query/fragment, and explains that default ports may be omitted while still being part of the origin concept.",what is origin | What is the host,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S010,S-076,IU-076,5da9f9e315,R01,3982.992430380415,3483.784045400991,951.0,482.0,processed-in-r01r02-v001,medium-high,high for boundary; medium-high for exact code punctuation,Preflight triggers and safelisted request/response headers,Explains what does or does not trigger preflight: non-simple methods/headers/content types trigger an OPTIONS check; safelisted request headers differ from response headers that JavaScript can read.,"what by itslef doenst cause | what can cause preflight | if preflight is successful - js will read respoinse because we have checked for everything at preflight | safelisted request vs safelisted response headers in cors | about csrf - so if the request is simple enough cors may not help against csrf, but we usually deal with json which is n",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
