source_id,image_use_id,candidate_region,coverage_status,current_region_decision,decision_is_final,x,y,width,height
S-027,IU-027,R01,processed-in-r01r02-v001,R01,yes,7772.123362115661,1406.2943152885982,1004.0,280.0
S-028,IU-028,R01,processed-in-r01r02-v001,R01,yes,7812.147919281524,1711.8051642876217,814.0,482.0
S-029,IU-029,R01,processed-in-r01r02-v001,R01,yes,9257.855787381504,1199.1462389132705,995.0,412.0
S-030,IU-030,R01,processed-in-r01r02-v001,R01,yes,9216.379617250366,1935.1462214746543,1025.0,228.0
S-031,IU-031,R01,processed-in-r01r02-v001,R01,yes,9205.712930238647,2230.479412392623,1017.0,480.0
S-032,IU-032,R01,processed-in-r01r02-v001,R01,yes,10405.260450467442,1116.8843544964177,408.0,343.0
S-033,IU-033,R01,processed-in-r01r02-v001,R01,yes,5137.616125172505,10.0,840.0,482.0
S-034,IU-034,R01,processed-in-r01r02-v001,R01,yes,5095.395833710096,944.9952117787744,1031.0,367.0
S-054,IU-054,R01,processed-in-r01r02-v001,R01,yes,2532.627590908276,6463.470683014324,807.0,268.0
S-055,IU-055,R01,processed-in-r01r02-v001,R01,yes,2494.442552659577,6744.803965485027,1003.0,432.0
S-056,IU-056,R01,processed-in-r01r02-v001,R01,yes,2488.133198020176,7211.314322811961,719.0,482.0
S-057,IU-057,R01,processed-in-r01r02-v001,R01,yes,2442.794308437573,7703.266942576503,820.0,261.0
S-058,IU-058,R01,processed-in-r01r02-v001,R01,yes,2438.758138493966,7990.102451436511,987.0,462.0
S-059,IU-059,R01,processed-in-r01r02-v001,R01,yes,3845.483050021383,6465.686685038398,910.0,482.0
S-060,IU-060,R01,processed-in-r01r02-v001,R01,yes,3840.461801634183,6971.7876291721095,845.0,482.0
S-061,IU-061,R01,processed-in-r01r02-v001,R01,yes,3833.530016691042,7475.22163999568,1001.0,291.0
S-062,IU-062,R01,processed-in-r01r02-v001,R01,yes,3818.418871671513,7789.832785015211,989.0,304.0
S-063,IU-063,R01,processed-in-r01r02-v001,R01,yes,5040.975410571251,6621.388255799711,995.0,392.0
S-064,IU-064,R01,processed-in-r01r02-v001,R01,yes,5034.530932218386,7043.277009054915,1019.0,286.0
S-065,IU-065,R01,processed-in-r01r02-v001,R01,yes,5028.148072784992,7320.67633156468,761.0,482.0
S-066,IU-066,R01,processed-in-r01r02-v001,R01,yes,5025.808642179323,7822.388154074446,832.0,290.0
S-067,IU-067,R01,processed-in-r01r02-v001,R01,yes,6133.197191984011,6663.054922466372,1035.0,342.0
S-068,IU-068,R01,processed-in-r01r02-v001,R01,yes,6107.919380297813,7018.277110780169,990.0,296.0
S-069,IU-069,R01,processed-in-r01r02-v001,R01,yes,6140.715861079403,7342.860113242192,1004.0,294.0
S-070,IU-070,R01,processed-in-r01r02-v001,R01,yes,6131.987664665694,7690.608657844356,877.0,482.0
S-071,IU-071,R01,processed-in-r01r02-v001,R01,yes,5101.819081219182,3548.822770679899,778.0,482.0
S-072,IU-072,R01,processed-in-r01r02-v001,R01,yes,5102.511501592722,4116.441789234594,883.0,482.0
S-073,IU-073,R01,processed-in-r01r02-v001,R01,yes,5095.802524864088,4635.171923744454,914.0,482.0
S-074,IU-074,R01,processed-in-r01r02-v001,R01,yes,5114.303640294409,5124.09555736181,981.0,383.0
S-075,IU-075,R01,processed-in-r01r02-v001,R01,yes,5092.5344095251785,5517.723778140053,963.0,326.0
S-076,IU-076,R01,processed-in-r01r02-v001,R01,yes,3982.992430380415,3483.784045400991,951.0,482.0
S-077,IU-077,R01,processed-in-r01r02-v001,R01,yes,6174.701431195335,3494.1544609825924,1015.0,482.0
S-078,IU-078,R01,processed-in-r01r02-v001,R01,yes,3104.2143130484874,4415.495421782149,736.0,564.0
S-079,IU-079,R01,processed-in-r01r02-v001,R01,yes,3865.5937488878008,4423.8183130175,760.0,479.0
S-108,IU-108,R01,processed-in-r01r02-v001,R01,yes,9095.483279972392,6807.152962892933,747.0,482.0
S-109,IU-109,R01,processed-in-r01r02-v001,R01,yes,9081.33728359558,7317.364836265331,949.0,333.0
S-110,IU-110,R01,processed-in-r01r02-v001,R01,yes,9098.980155270618,7674.26955457355,948.0,303.0
S-111,IU-111,R01,processed-in-r01r02-v001,R01,yes,9089.70234358442,7995.102887906882,951.0,408.0
S-112,IU-112,R01,processed-in-r01r02-v001,R01,yes,7746.388558499333,6809.22496064141,985.0,382.0
S-113,IU-113,R01,processed-in-r01r02-v001,R01,yes,7774.222095283188,7208.780584013808,916.0,254.0
S-114,IU-114,R01,processed-in-r01r02-v001,R01,yes,7759.277515205063,7504.614019072402,937.0,409.0
S-115,IU-115,R01,processed-in-r01r02-v001,R01,yes,5066.866746116315,1394.2722230665513,761.0,431.0
S-001,IU-001,R02,processed-in-r01r02-v001,R02,yes,11712.050319488168,8365.719439392731,762.0,276.0
S-002,IU-002,R02,processed-in-r01r02-v001,R02,yes,11619.989808289189,7279.952078281623,1268.0,482.0
S-003,IU-003,R02,processed-in-r01r02-v001,R02,yes,11577.054665560629,7793.8913982390095,1320.0,482.0
S-004,IU-004,R02,processed-in-r01r02-v001,R02,yes,11695.978735553694,6761.335903410352,740.0,482.0
S-005,IU-005,R02,processed-in-r01r02-v001,R02,yes,11735.086013412703,3914.721913205397,813.0,482.0
S-006,IU-006,R02,processed-in-r01r02-v001,R02,yes,11747.46933656888,4501.388600217115,919.0,482.0
S-007,IU-007,R02,processed-in-r01r02-v001,R02,yes,11750.040599065096,5672.81195091187,507.0,327.0
S-008,IU-008,R02,processed-in-r01r02-v001,R02,yes,11717.727334263667,6120.334004508119,576.0,320.0
S-009,IU-009,R02,processed-in-r01r02-v001,R02,yes,11693.185426337855,5011.783386056992,761.0,299.0
S-022,IU-022,R02,processed-in-r01r02-v001,R02,yes,13452.123597390106,3754.0783437138207,998.0,180.0
S-023,IU-023,R02,processed-in-r01r02-v001,R02,yes,13583.58905066398,3966.322329960652,766.0,482.0
S-024,IU-024,R02,processed-in-r01r02-v001,R02,yes,13511.147579835357,4483.995537529937,944.0,313.0
S-025,IU-025,R02,processed-in-r01r02-v001,R02,yes,13487.16207822466,4807.795275815563,914.0,356.0
S-026,IU-026,R02,processed-in-r01r02-v001,R02,yes,14949.536120521236,3744.82038423533,1029.0,332.0
S-035,IU-035,R03,processed-in-r03r04r05-final-v001,R03,yes,1791.866020927413,9928.8881384443,989.0,394.0
S-036,IU-036,R03,processed-in-r03r04r05-final-v001,R03,yes,1800.8161766669657,10327.27151285526,895.0,482.0
S-037,IU-037,R03,processed-in-r03r04r05-final-v001,R03,yes,1817.7046323485447,10946.798246253702,986.0,224.0
S-038,IU-038,R03,processed-in-r03r04r05-final-v001,R03,yes,1832.519158474512,11179.123319495891,841.0,604.0
S-039,IU-039,R03,processed-in-r03r04r05-final-v001,R03,yes,1825.1119945447244,11984.390816240682,906.0,294.0
S-040,IU-040,R03,processed-in-r03r04r05-final-v001,R03,yes,1824.765652003804,12293.19755180926,800.0,482.0
S-041,IU-041,R03,processed-in-r03r04r05-final-v001,R03,yes,1880.5741635985469,13063.567899574016,709.0,482.0
S-042,IU-042,R03,processed-in-r03r04r05-final-v001,R03,yes,3134.6492124266697,9902.464845103525,921.0,446.0
S-043,IU-043,R03,processed-in-r03r04r05-final-v001,R03,yes,3139.399607225012,10368.753107364812,870.0,482.0
S-044,IU-044,R03,processed-in-r03r04r05-final-v001,R03,yes,3099.7601879040994,11081.57595621464,973.0,390.0
S-045,IU-045,R03,processed-in-r03r04r05-final-v001,R03,yes,3117.257395201792,11499.123387312731,781.0,482.0
S-046,IU-046,R03,processed-in-r03r04r05-final-v001,R03,yes,3095.130603485697,12235.983386227665,923.0,256.0
S-047,IU-047,R03,processed-in-r03r04r05-final-v001,R03,yes,3100.0818546542323,12516.901165090509,777.0,482.0
S-048,IU-048,R03,processed-in-r03r04r05-final-v001,R03,yes,3162.2376232058705,13265.049358449884,661.0,482.0
S-049,IU-049,R03,processed-in-r03r04r05-final-v001,R03,yes,3105.9083812634744,13945.520400659088,937.0,351.0
S-050,IU-050,R03,processed-in-r03r04r05-final-v001,R03,yes,3092.3675832780245,14293.197483992424,727.0,482.0
S-051,IU-051,R03,processed-in-r03r04r05-final-v001,R03,yes,3059.548959970558,14952.456788462909,831.0,482.0
S-052,IU-052,R03,processed-in-r03r04r05-final-v001,R03,yes,1801.7123498789333,13915.419434947287,831.0,482.0
S-053,IU-053,R03,processed-in-r03r04r05-final-v001,R03,yes,1785.6119436820954,14411.372012326305,950.0,393.0
S-091,IU-091,R03,processed-in-r03r04r05-final-v001,R03,yes,4398.914234228727,14883.397825528758,850.0,482.0
S-092,IU-092,R03,processed-in-r03r04r05-final-v001,R03,yes,4413.785407324431,15412.220793058055,937.0,428.0
S-093,IU-093,R03,processed-in-r03r04r05-final-v001,R03,yes,4407.118537207243,16015.554151822704,957.0,348.0
S-094,IU-094,R03,processed-in-r03r04r05-final-v001,R03,yes,4419.118537207243,16384.387434293407,983.0,207.0
S-105,IU-105,R03,processed-in-r03r04r05-final-v001,R03,yes,1749.9563273393796,15045.070956347645,979.0,340.0
S-106,IU-106,R03,processed-in-r03r04r05-final-v001,R03,yes,1702.6820220117806,15426.295687792956,1050.0,482.0
S-107,IU-107,R03,processed-in-r03r04r05-final-v001,R03,yes,1701.4403622863647,15901.118604459622,1030.0,166.0
S-080,IU-080,R04,processed-in-r03r04r05-final-v001,R04,yes,5322.483118307442,9379.667543102609,988.0,448.0
S-081,IU-081,R04,processed-in-r03r04r05-final-v001,R04,yes,5345.983240377755,10054.334230114326,997.0,384.0
S-082,IU-082,R04,processed-in-r03r04r05-final-v001,R04,yes,6772.816614401192,9416.000917126044,986.0,386.0
S-083,IU-083,R04,processed-in-r03r04r05-final-v001,R04,yes,5333.166926462991,10982.308675163904,996.0,370.0
S-084,IU-084,R04,processed-in-r03r04r05-final-v001,R04,yes,5316.561708276229,11361.995569636076,965.0,326.0
S-085,IU-085,R04,processed-in-r03r04r05-final-v001,R04,yes,6938.109298259489,11002.13842677893,1040.0,440.0
S-086,IU-086,R04,processed-in-r03r04r05-final-v001,R04,yes,5344.180901217078,12083.328786711969,1005.0,430.0
S-087,IU-087,R04,processed-in-r03r04r05-final-v001,R04,yes,6932.442689721542,12061.18610395527,998.0,440.0
S-088,IU-088,R04,processed-in-r03r04r05-final-v001,R04,yes,5363.275857294268,12908.601108140536,978.0,482.0
S-089,IU-089,R04,processed-in-r03r04r05-final-v001,R04,yes,6957.918938326453,12935.209855350358,1008.0,391.0
S-090,IU-090,R04,processed-in-r03r04r05-final-v001,R04,yes,5376.371435536274,13745.18610395527,1013.0,432.0
S-095,IU-095,R04,processed-in-r03r04r05-final-v001,R04,yes,6883.72195035772,13671.40860688003,913.0,381.0
S-096,IU-096,R04,processed-in-r03r04r05-final-v001,R04,yes,6906.277422067,14050.211654753786,939.0,348.0
S-097,IU-097,R04,processed-in-r03r04r05-final-v001,R04,yes,6891.519920291432,14355.211654753786,937.0,458.0
S-098,IU-098,R04,processed-in-r03r04r05-final-v001,R04,yes,5471.530991744159,14889.17947799703,939.0,482.0
S-099,IU-099,R04,processed-in-r03r04r05-final-v001,R04,yes,5464.769573104437,15368.613600718383,909.0,119.0
S-100,IU-100,R04,processed-in-r03r04r05-final-v001,R04,yes,5469.4521961048085,15636.311959163324,931.0,329.0
S-101,IU-101,R04,processed-in-r03r04r05-final-v001,R04,yes,5474.507627652429,15970.565859600452,928.0,125.0
S-102,IU-102,R04,processed-in-r03r04r05-final-v001,R04,yes,5491.289727652851,16351.987231126468,964.0,279.0
S-103,IU-103,R04,processed-in-r03r04r05-final-v001,R04,yes,5479.936498443909,16865.732607647325,972.0,168.0
S-104,IU-104,R04,processed-in-r03r04r05-final-v001,R04,yes,5487.54754173818,17027.621513490427,939.0,182.0
S-116,IU-116,R04,processed-in-r03r04r05-final-v001,R04,yes,6897.582372666418,15648.037840725938,964.0,391.0
S-117,IU-117,R04,processed-in-r03r04r05-final-v001,R04,yes,6900.176222826674,16053.507924891854,953.0,251.0
S-118,IU-118,R04,processed-in-r03r04r05-final-v001,R04,yes,6939.78745939894,16325.952469366135,954.0,441.0
S-119,IU-119,R04,processed-in-r03r04r05-final-v001,R04,yes,6929.454024340346,16761.119034307543,938.0,414.0
S-010,IU-010,R05,processed-in-r03r04r05-final-v001,R05,yes,11047.469205882797,10567.71977164831,289.0,159.0
S-011,IU-011,R05,processed-in-r03r04r05-final-v001,R05,yes,11062.182428696744,10881.815116447298,264.0,70.0
S-012,IU-012,R05,processed-in-r03r04r05-final-v001,R05,yes,11064.088485954146,10759.869766926073,273.0,79.0
S-013,IU-013,R05,processed-in-r03r04r05-final-v001,R05,yes,12113.121019721762,10515.081972115684,877.0,81.0
S-014,IU-014,R05,processed-in-r03r04r05-final-v001,R05,yes,12158.811970405346,9798.50976821679,513.0,320.0
S-015,IU-015,R05,processed-in-r03r04r05-final-v001,R05,yes,12179.979572907903,10149.956940901891,487.0,274.0
S-016,IU-016,R05,processed-in-r03r04r05-final-v001,R05,yes,11963.352986522284,10972.748401117356,1369.0,258.0
S-017,IU-017,R05,processed-in-r03r04r05-final-v001,R05,yes,11619.582993150869,10211.85281958856,334.0,62.0
S-018,IU-018,R05,processed-in-r03r04r05-final-v001,R05,yes,11403.111805586022,11027.152626352095,436.0,80.0
S-019,IU-019,R05,processed-in-r03r04r05-final-v001,R05,yes,11659.724087855717,11551.91633724984,864.0,285.0
S-020,IU-020,R05,processed-in-r03r04r05-final-v001,R05,yes,11594.148410582537,11875.876174715664,1102.0,320.0
S-021,IU-021,R05,processed-in-r03r04r05-final-v001,R05,yes,11653.20455260513,12686.189886691853,975.0,431.0
S-120,IU-120,R05,processed-in-r03r04r05-final-v001,R05,yes,8990.588267651394,11094.044735016696,1025.0,353.0
S-121,IU-121,R05,processed-in-r03r04r05-final-v001,R05,yes,9019.254771557644,11465.711360993258,949.0,463.0
S-122,IU-122,R05,processed-in-r03r04r05-final-v001,R05,yes,8991.0878404053,12174.211711945409,994.0,320.0
S-123,IU-123,R05,processed-in-r03r04r05-final-v001,R05,yes,8982.921122876003,12508.711635651463,947.0,361.0
S-124,IU-124,R05,processed-in-r03r04r05-final-v001,R05,yes,8964.615333338592,12893.055538239354,980.0,482.0
S-125,IU-125,R05,processed-in-r03r04r05-final-v001,R05,yes,9225.181864572218,14092.589713883926,903.0,448.0
S-126,IU-126,R05,processed-in-r03r04r05-final-v001,R05,yes,9233.015116525345,14576.923087907364,834.0,210.0
