text_id,text,x,y,region_id,status
T-001,"sorting applyed to outter facing model, we cant expose entity model,",338.80317826704686,1746.2187225381049,R01,pending_transcript
T-002,so we need to apply sorting to entity model manually,338.80317826704686,1771.2187225381049,R01,pending_transcript
T-003,basics,315.98118516278373,232.41005622361467,R01,pending_transcript
T-004,if (string.IsNullOrWhiteSpace(orderBy)),1520.4620338933828,1226.842997305277,R01,pending_transcript
T-005,return query.OrderBy(a => a.LastName).ThenBy(a => a.FirstName);,1520.4620338933828,1251.842997305277,R01,pending_transcript
T-006,"// split: ""age desc,name""",1520.4620338933828,1301.842997305277,R01,pending_transcript
T-007,"var clauses = orderBy.Split(',', StringSplitOptions.RemoveEmptyEntries | StringSplitOptions.TrimEntries);",1520.4620338933828,1326.842997305277,R01,pending_transcript
T-008,IOrderedQueryable<Author>? ordered = null;,1520.4620338933828,1376.842997305277,R01,pending_transcript
T-009,foreach (var clause in clauses),1520.4620338933828,1426.842997305277,R01,pending_transcript
T-010,{,1520.4620338933828,1451.842997305277,R01,pending_transcript
T-011,"var parts = clause.Split(' ', StringSplitOptions.RemoveEmptyEntries | StringSplitOptions.TrimEntries);",1520.4620338933828,1476.842997305277,R01,pending_transcript
T-012,var field = parts[0].ToLowerInvariant();,1520.4620338933828,1501.842997305277,R01,pending_transcript
T-013,"var desc = parts.Length > 1 && parts[1].Equals(""desc"", StringComparison.OrdinalIgnoreCase);",1520.4620338933828,1526.842997305277,R01,pending_transcript
T-014,// whitelist fields,1520.4620338933828,1576.842997305277,R01,pending_transcript
T-015,"Func<Author, object> keySelector = field switch",1520.4620338933828,1601.842997305277,R01,pending_transcript
T-016,{,1520.4620338933828,1626.842997305277,R01,pending_transcript
T-017,"""name"" => a => a.LastName, // could be combined name; see note below",1520.4620338933828,1651.842997305277,R01,pending_transcript
T-018,"""age"" => a => a.DateOfBirth, // example if you sort by DOB instead of computed age",1520.4620338933828,1676.842997305277,R01,pending_transcript
T-019,"""maincategory"" => a => a.MainCategory!,",1520.4620338933828,1701.842997305277,R01,pending_transcript
T-020,"_ => throw new ArgumentException($""Sorting by '{field}' is not supported."")",1520.4620338933828,1726.842997305277,R01,pending_transcript
T-021,};,1520.4620338933828,1751.842997305277,R01,pending_transcript
T-022,if (ordered is null),1520.4620338933828,1801.842997305277,R01,pending_transcript
T-023,{,1520.4620338933828,1826.842997305277,R01,pending_transcript
T-024,ordered = desc ? query.OrderByDescending(keySelector) : query.OrderBy(keySelector);,1520.4620338933828,1851.842997305277,R01,pending_transcript
T-025,},1520.4620338933828,1876.842997305277,R01,pending_transcript
T-026,else,1520.4620338933828,1901.842997305277,R01,pending_transcript
T-027,{,1520.4620338933828,1926.842997305277,R01,pending_transcript
T-028,ordered = desc ? ordered.ThenByDescending(keySelector) : ordered.ThenBy(keySelector);,1520.4620338933828,1951.842997305277,R01,pending_transcript
T-029,},1520.4620338933828,1976.842997305277,R01,pending_transcript
T-030,},1520.4620338933828,2001.842997305277,R01,pending_transcript
T-031,public class AuthorsResourceParameters,2301.202865056577,595.7318861941677,R02,pending_transcript
T-032,{,2301.202865056577,620.7318861941677,R02,pending_transcript
T-033,public string? MainCategory { get; set; },2301.202865056577,645.7318861941677,R02,pending_transcript
T-034,public string? SearchQuery { get; set; },2301.202865056577,670.7318861941677,R02,pending_transcript
T-035,// Sorting,2301.202865056577,720.7318861941677,R02,pending_transcript
T-036,"public string? OrderBy { get; set; } = ""name"";",2301.202865056577,745.7318861941677,R02,pending_transcript
T-037,// Paging (often present with sorting),2301.202865056577,795.7318861941677,R02,pending_transcript
T-038,public int PageNumber { get; set; } = 1;,2301.202865056577,820.7318861941677,R02,pending_transcript
T-039,public int PageSize { get; set; } = 10;,2301.202865056577,845.7318861941677,R02,pending_transcript
T-040,},2301.202865056577,870.7318861941677,R02,pending_transcript
T-041,these are in foreach loop too,2788.812309106451,1761.9541429413075,R02,pending_transcript
T-042,using dynamic sorting helper (System.Linq.Dynamic.Core),4581.847820822381,455.4301243302608,R03,pending_transcript
T-043,controller behavior,7641.419477644574,3107.6984179091514,R04,pending_transcript
T-044,repository,7637.78311400821,3494.9711451818866,R04,pending_transcript
T-045,iqueryable extension,7686.87402309912,3978.607508818269,R04,pending_transcript
T-046,public static IQueryable<T> ApplySort<T>(,8487.480157687189,4165.274156989427,R04,pending_transcript
T-047,"this IQueryable<T> source,",8487.480157687189,4190.274156989427,R04,pending_transcript
T-048,"string? orderBy,",8487.480157687189,4215.274156989427,R04,pending_transcript
T-049,"Dictionary<string, PropertyMappingValue> mappingDictionary)",8487.480157687189,4240.274156989427,R04,pending_transcript
T-050,{,8487.480157687189,4265.274156989427,R04,pending_transcript
T-051,if (source is null) throw new ArgumentNullException(nameof(source));,8487.480157687189,4290.274156989427,R04,pending_transcript
T-052,if (mappingDictionary is null) throw new ArgumentNullException(nameof(mappingDictionary));,8487.480157687189,4315.274156989427,R04,pending_transcript
T-053,if (string.IsNullOrWhiteSpace(orderBy)) return source;,8487.480157687189,4340.274156989427,R04,pending_transcript
T-054,var orderByString = new StringBuilder();,8487.480157687189,4390.274156989427,R04,pending_transcript
T-055,"var clauses = orderBy.Split(',', StringSplitOptions.RemoveEmptyEntries | StringSplitOptions.TrimEntries);",8487.480157687189,4415.274156989427,R04,pending_transcript
T-056,foreach (var clause in clauses),8487.480157687189,4465.274156989427,R04,pending_transcript
T-057,{,8487.480157687189,4490.274156989427,R04,pending_transcript
T-058,var trimmed = clause.Trim();,8487.480157687189,4515.274156989427,R04,pending_transcript
T-059,"var descending = trimmed.EndsWith("" desc"", StringComparison.OrdinalIgnoreCase);",8487.480157687189,4540.274156989427,R04,pending_transcript
T-060,"var propertyName = trimmed.Split(' ', StringSplitOptions.RemoveEmptyEntries)[0];",8487.480157687189,4590.274156989427,R04,pending_transcript
T-061,"if (!mappingDictionary.TryGetValue(propertyName, out var mappingValue))",8487.480157687189,4640.274156989427,R04,pending_transcript
