item_type,item_id,secondary_id,region_id,sha256,status,previously_present,restored,assignment_count,evidence
image_use,S-001,IU-001,R02,6a38b927aa79c1e104fa433c7e7d03d8f760102d25ea3a58ce1926343ff54396,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-002,IU-002,R02,9558c9236c186e8e031c001268abccc10aaf93cbb5bf83c282b1550813368f30,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-003,IU-003,R02,8473ad45827467a23f29795658f22113e449ce3888c378b0252f7d58e8ecf8bd,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-004,IU-004,R01,4d945d9b6cc760e12e3c769f4da7664ab672458c1cafe2ae4b16f316c58b3325,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
image_use,S-005,IU-005,R01,c75a66a54d39b51d375ceee4a5cf92f0af7dff616ed436ad7f915d9e2a3af327,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
image_use,S-006,IU-006,R02,02b63f8cc02092f34b3850419d902165d0770d9004c23e3977ccd5820036ee3d,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-007,IU-007,R02,db7a23624ce12d3f0174abee5e81ff038be5c1591c50a3f040b470da8eda0fe7,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-008,IU-008,R04,bf9bcf270144a23ca750e4956df91025e9f7eb7be782239b810247628f6bc7e4,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: GroupBy, GroupJoin, and non-translatable client logic"
image_use,S-009,IU-009,R06,75a570fca156b944949ce863f89acfad7e2f03d8fed150b844878d489ba00431,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R06: Provider and overload limitations
image_use,S-010,IU-010,R06,75a570fca156b944949ce863f89acfad7e2f03d8fed150b844878d489ba00431,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R06: Provider and overload limitations
image_use,S-011,IU-011,R01,49b1cf57e3f06703099ddc4bcf822f08b642e563f823076b4daec5df30a38b5b,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
image_use,S-012,IU-012,R02,8fe9ea844dd7c5a9be8d931cbb2deb8fef7c89812b2bb4a944b028353561bd2d,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-013,IU-013,R01,54c6d731b0efa3f631aa15b2ac6059bef408c3d9a9f88808e2b17cded4cfca06,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
image_use,S-014,IU-014,R02,40fa83712f611e3c15d15c0f4287454b1f6d3a783f3303535a2b1f76e7f748cb,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-015,IU-015,R05,37c562f5f43b24b97361819249fabf4180c55e119814301090dc81073e5a35c0,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R05: Navigations, Include, query filters, tracking, and complex mappings"
image_use,S-016,IU-016,R04,f4e20d6878069d0eb630477a5d4852d8d8fc795a892f2108e003b8bc80633a4a,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: GroupBy, GroupJoin, and non-translatable client logic"
image_use,S-017,IU-017,R05,76dacafc0f7f2fd07c977b6bc51287dac2026b37afa9c5d1e8b0abdb64c4c704,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R05: Navigations, Include, query filters, tracking, and complex mappings"
image_use,S-018,IU-018,R05,691c3aacf87cea01b359c7b20657e516f0b7dcf9e30d73bd0137ca7fc2f00aca,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R05: Navigations, Include, query filters, tracking, and complex mappings"
image_use,S-019,IU-019,R02,b9a2b8abea99b5f91ed8f67bd576ff9e0707adec0b5d0b4393c8616a9b79df2a,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-020,IU-020,R01,70e0dcf369d1f317adb1f35c7418d068d42dff023d2a15d5300a05e439745c73,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
image_use,S-021,IU-021,R05,cea475c7478ef2cfbf134ae895094e95d2b1f395f32baf470cc37b012644e12b,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R05: Navigations, Include, query filters, tracking, and complex mappings"
image_use,S-022,IU-022,R04,95879082ca6feb38ba75f2d04c39202b4a1155ca20d86a03adfc1ab1606b6cb7,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: GroupBy, GroupJoin, and non-translatable client logic"
image_use,S-023,IU-023,R04,51c36709217e243f56fddcc6bac25af2db5b4a5665c492c1b79b7e98afa8e144,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: GroupBy, GroupJoin, and non-translatable client logic"
image_use,S-024,IU-024,R02,2375ca6b8008ef3a3c580b7d4f1b8f4ee32b2bc79d49a51680f2b998f2f5dc5f,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-025,IU-025,R02,f22fceae717a4f46e26269ae1b1303e7af76335cbb2745737c00a03e16cbd564,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-026,IU-026,R02,27d83080e3f50559f1df6caf3474e1e4d03ca9f802c347b0029427b585f445dc,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
image_use,S-027,IU-027,R04,87bb6852be542244523835e7a270f1cd1fa3bc4df0453ad7952305a1f4f260b9,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: GroupBy, GroupJoin, and non-translatable client logic"
image_use,S-028,IU-028,R05,c21ac593a78706816cf529799dd276c4f69ca9df11dc3656ba7efc378578827b,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R05: Navigations, Include, query filters, tracking, and complex mappings"
