idx,text,x,y,font_size
1,inner / left joins,18311.142855244027,112.1960179239909,116.0000203450521px
2,select many to sql,13722.025091528834,252.13293856478379,230.66662597656259px
3,with join in query syntax,18311.142855244027,257.196043355306,116.0000203450521px
4,and with multile from,18311.142855244027,402.19606878662114,116.0000203450521px
5,where filter after left join can lead to not inclu nulls,18613.483935556214,638.9902147334816,20px
6,so need to be careful,18613.483935556214,663.9902147334816,20px
7,inner and left joins,869.6560386262681,892.345487183685,83.40738932291764px
8,what doesnt translate well,8121.217749059301,921.9156013499911,260.00000000000006px
9,when including navigations in query,869.6560386262681,996.604723837332,83.40738932291764px
10,ef linq translation to sql,4258.578127084694,1060.0094869900345,114.66668701171874px
11,how we can loose data with query filters,869.6560386262681,1100.863960490979,83.40738932291764px
12,cross join,14539.994458407093,1208.227803405447,74.36433447997281px
13,know exact sql,6443.788602245686,1218.7409435590164,69.33337402343751px
14,list of unsupported,7937.104769200047,1219.6600367838491,70.66674804687499px
15,include == join,995.5822931698749,1239.527244509715,33.743586613581286px
16,when navigation has required() then ef uses inner join (because if this,995.5822931698749,1281.7067277766917,33.743586613581286px
17,shit is required - it must be there and we cant loose data with inner join),995.5822931698749,1323.8862110436683,33.743586613581286px
18,when navigation is optional then ef uses left join,995.5822931698749,1366.0656943106449,33.743586613581286px
19,"query filters break this shit, so when some navigation is required and",995.5822931698749,1450.424660844598,33.743586613581286px
20,it has query filter - we will build inner join and we may not fetch outer,995.5822931698749,1492.6041441115747,33.743586613581286px
21,!!!,6143.177655590412,1506.90485168076,68.88887532552037px
22,entities whoose children was filtered (we will fetch them if navigation is a collection,995.5822931698749,1534.7836273785513,33.743586613581286px
23,!!!,7615.313285262396,1541.1048139352627,54.285714285715976px
24,usually,14307.393779504238,1566.6276400534098,20px
25,and there is so children that wasnt filtered),995.5822931698749,1576.9631106455279,33.743586613581286px
26,we have,14307.393779504238,1591.6276400534098,20px
27,matched inner,14307.393779504238,1616.6276400534098,20px
28,collection element,14307.393779504238,1641.6276400534098,20px
29,for every outer coll,14307.393779504238,1666.6276400534098,20px
30,element,14307.393779504238,1691.6276400534098,20px
31,but if we dont,14307.393779504238,1741.6276400534098,20px
32,reference outer coll,14307.393779504238,1766.6276400534098,20px
33,then its cross and,14307.393779504238,1791.6276400534098,20px
34,that it,14307.393779504238,1816.6276400534098,20px
35,!!!,8938.635153234107,2272.4433006996983,69.3333740234375px
36,!!!,8903.635153234107,2613.307231913077,46.666687011718764px
37,inner join,14527.32473716227,2676.755526617343,74.36433447997281px
38,will translate to on syntax,15526.374711101495,2946.1702374290685,20px
39,left join,14582.610381292812,4064.658163209048,74.36433447997281px
40,"to create on expression, need to use multiple froms",16607.406276965707,4369.096016692154,44.888884715544776px
41,"cant do it with join, with join and then where you will",16607.406276965707,4425.207122586585,44.888884715544776px
42,join all the shit and then filter with where,16607.406276965707,4481.318228481016,44.888884715544776px
43,where,16461.450299917073,5011.433870696063,20px
44,filtering out the shit,16461.450299917073,5036.433870696063,20px
45,cross apply,14507.744297219979,5877.570052419618,74.36433447997281px
46,!!!,5005.17638361768,5924.443997475674,68.88887532552037px
47,so apply can be useful also,12908.715952490413,6364.88191505964,28.29629300820708px
48,when you need to do something,12908.715952490413,6400.252281319899,28.29629300820708px
49,with inner /right side table,12908.715952490413,6435.622647580158,28.29629300820708px
50,you can join but if you need just some,12908.715952490413,6506.363380100675,28.29629300820708px
51,little part of data with join you will,12908.715952490413,6541.733746360935,28.29629300820708px
52,create wide intermediate result,12908.715952490413,6577.104112621193,28.29629300820708px
53,and then you will process,12908.715952490413,6612.474478881452,28.29629300820708px
54,with apply you wont create that result,12908.715952490413,6683.21521140197,28.29629300820708px
55,you will just process per left/outer row,12908.715952490413,6718.585577662228,28.29629300820708px
56,??,9151.135153234107,6837.313956949698,20px
57,outer apply,14431.726391547832,7746.919460084642,74.36433447997281px
58,!!!,9088.64672032099,8294.438096405966,54.285714285715976px
59,need to place info clearly so i can find some sheet with some,9339.991534076571,8562.803810691685,20px
60,unsupported shit list quickly,9339.991534076571,8587.803810691685,20px
