source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,asset_path,evidence
S-001,IU-001,image-e7a649fc7e6c261c8cfbc2ae7329eda5855269bd,6a38b927aa79c1e104fa433c7e7d03d8f760102d25ea3a58ce1926343ff54396,ae9990c5fef7af29e6d01c73a91eaec16f1f97dd,13794.474534722973,693.1477186803468,1024.0,397.0,1024,397,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-001__6a38b927aa.png,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
S-002,IU-002,image-fdead6c90d3bd7eef14a9433e79770162546d95e,9558c9236c186e8e031c001268abccc10aaf93cbb5bf83c282b1550813368f30,010c09cf428bfcee9a6dc6475464e63ab42f216e,14850.307969781565,700.6477186803468,829.0,392.0,829,392,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-002__9558c9236c.png,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
S-003,IU-003,image-f66bede84750ad85410c794f86bd50769d7930d9,8473ad45827467a23f29795658f22113e449ce3888c378b0252f7d58e8ecf8bd,fd334fad5119ba4e9bcf5c077ddee784cc815c9e,18613.607762545398,836.5131709551601,892.0,393.0,892,393,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-003__8473ad4582.png,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
S-004,IU-004,image-914acaec563d8419217ffad25ba82b2b6ddb1bc4,4d945d9b6cc760e12e3c769f4da7664ab672458c1cafe2ae4b16f316c58b3325,e0f9725c66741c9b54280a95a646cca14e9ba5fb,5127.368206412804,1240.281694489233,826.0,349.0,826,349,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-004__4d945d9b6c.png,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
S-005,IU-005,image-407b32bcba5eda3a911d8263ad54c0f79878717c,c75a66a54d39b51d375ceee4a5cf92f0af7dff616ed436ad7f915d9e2a3af327,12b39094c59a51a4009d09a040949845b500316f,3886.0190242838985,1243.313479273449,836.0,335.0,836,335,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-005__c75a66a54d.png,"Visually reviewed screenshot assigned to R01: Translation pipeline, common operators, generated SQL, and materialization"
S-006,IU-006,image-3b764fbc11933822c72b0dc389d5812e09e242db,02b63f8cc02092f34b3850419d902165d0770d9004c23e3977ccd5820036ee3d,856d0d084572844f4cc1475deb521e03e3d69327,14504.219890087892,1243.8248783076278,757.0,482.0,910,580,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-006__02b63f8cc0.png,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
S-007,IU-007,image-fc620dff1a8b9ef38ee2191aa1f4373601d23dd2,db7a23624ce12d3f0174abee5e81ff038be5c1591c50a3f040b470da8eda0fe7,e406bc8ce979968f798590cc78eae082ee53e6bc,18674.959433552343,1255.7909487329339,553.0,310.0,553,310,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-007__db7a23624c.png,"Visually reviewed screenshot assigned to R02: JOIN, SelectMany, left joins, and filter placement"
S-008,IU-008,image-b7f0d5bdc18645e155c4970fff82bfd8e1bcc572,bf9bcf270144a23ca750e4956df91025e9f7eb7be782239b810247628f6bc7e4,647f62869f6ff6da67d51b1c535a745319df1afb,9075.635153234107,1338.5272699379866,716.0,300.0,716,300,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-008__bf9bcf2701.png,"Visually reviewed screenshot assigned to R04: GroupBy, GroupJoin, and non-translatable client logic"
S-009,IU-009,image-7f83211a47239f9bb0f5e6c95711b97667f828ed,75a570fca156b944949ce863f89acfad7e2f03d8fed150b844878d489ba00431,9bba97d21372781fb2fd8f01d1b55403d9de89f7,7762.968435704809,1362.1941476845614,808.0,320.0,808,320,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-009__75a570fca1.png,Visually reviewed screenshot assigned to R06: Provider and overload limitations
S-010,IU-010,image-7f83211a47239f9bb0f5e6c95711b97667f828ed,75a570fca156b944949ce863f89acfad7e2f03d8fed150b844878d489ba00431,9bba97d21372781fb2fd8f01d1b55403d9de89f7,7762.968435704809,1365.5274301552645,808.0,320.0,808,320,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-010__75a570fca1.png,Visually reviewed screenshot assigned to R06: Provider and overload limitations
