text_id,text,x,y,status
T-001,usecookiepolicy,4704.6959663159905,485.3196246800278,pending_transcript
T-002,---All options cheat sheet---,4118.029096198803,1511.986189621434,pending_transcript
T-003,consent,2941.6656494140625,626.6327660115555,pending_transcript
T-004,CheckConsentNeeded,3261.1660275562663,1987.480574768066,pending_transcript
T-005,IsEssential,3253.5469218084986,2612.2424504656105,pending_transcript
T-006,existing non essential cookies,282.43598023948834,3015.575987249465,pending_transcript
T-007,CheckConsentNeeded,4762.499279509391,1680.8139487915034,pending_transcript
T-008,MinimumSameSitePolicy,4734.1658444507975,2103.1473075561516,pending_transcript
T-009,HttpOnly,4930.832561980094,2478.7029309285476,pending_transcript
T-010,Secure,4925.27704033296,2813.147409281412,pending_transcript
T-011,ConsentCookie,4874.906624751362,3162.0362981703006,pending_transcript
T-012,ConsentCookie,3299.351204829487,3364.2585882093636,pending_transcript
T-013,ConsentCookieValue,4796.765163754677,3530.359544056901,pending_transcript
T-014,ConsentCookieValue,3163.431830421343,4037.026210723568,pending_transcript
T-015,OnAppendCookie,4844.765163754676,3788.137315052995,pending_transcript
T-016,OnAppendCookie,6317.863701336797,2560.5552329775996,pending_transcript
T-017,OnDeleteCookie,4849.209662452593,4145.470648386328,pending_transcript
T-018,OnDeleteCookie,9658.839971394043,3516.685364098852,pending_transcript
T-019,usecases,9658.839971394043,3646.796575239802,pending_transcript
T-020,What is cookie deletion,5883.4376959519695,3904.396127367689,pending_transcript
T-021,plain,5821.782491197434,5063.987567021804,pending_transcript
T-022,Response.Cookies.Delete,5821.782491197434,5194.098778162754,pending_transcript
T-023,When does deltetion occur,7207.0914090354445,3918.7496789851502,pending_transcript
T-024,force some security defaults,8400.353588346963,3864.0906827976155,pending_transcript
T-025,on deleted cookies,8400.353588346963,3960.0431243787316,pending_transcript
T-026,examples,1986.1095610119046,2010.1249942016598,pending_transcript
T-027,essential consent,500.39510091145803,1984.1083178274966,pending_transcript
T-028,cookie,500.39510091145803,2114.028968491326,pending_transcript
T-029,what if there no,10.0,159.96581960042275,pending_transcript
T-030,COnsent cookie,10.0,372.7436567179352,pending_transcript
T-031,how to create consent cookie,10.0,585.5214938354476,pending_transcript
T-032,!!!,10872.983176406506,4993.412920423181,pending_transcript
T-033,!!!,10886.495245302527,6530.569818723738,pending_transcript
T-034,stilll valid usecases,13466.137374312751,4010.0353209238137,pending_transcript
T-035,callbacks vs better static pattern,11385.631466383868,3628.2676614687175,pending_transcript
T-036,issues from global ondelete,10923.409176344805,5463.823183115854,pending_transcript
T-037,mostly for defaults,9649.759208395137,3847.3996582765153,pending_transcript
T-038,or when we have simple same options,9649.759208395137,3917.343886831231,pending_transcript
T-039,for both onappend and ondelete,9649.759208395137,3987.2881153859466,pending_transcript
T-040,configured name,240.7682775984522,1414.204490254645,pending_transcript
T-041,configured value,240.7682775984522,1514.204490254645,pending_transcript
T-042,!!!,4829.959497379558,3371.545359723666,pending_transcript
