source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-001,aeeaaf2afa,429.621,216.067,813.0,443.0,NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!! | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-002,2,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-002,b19b07e693,1332.355,227.374,940.0,399.0,NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!! | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-003,3,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-003,c8d85c4b09,368.572,713.399,992.0,267.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-004,4,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-004,538e029474,376.341,1020.514,877.0,479.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-005,5,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-005,a02a07511a,385.778,1535.128,941.0,204.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-006,6,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-006,5044002298,386.682,1809.153,898.0,363.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-007,7,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-007,8311cc16d5,362.345,2239.12,955.0,425.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-008,8,SCOPEIDISP-R01-disposable-lifetime-using-dispose,SCOPEIDISP-R01,scopeidisp-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",IU-008,f09e849c9c,382.258,2688.884,838.0,482.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | WTF ARE ALL OF THESE | SCOPES AND IDISPOSABLE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-009,1,SCOPEIDISP-R02-di-scopes-services-scopefactory,SCOPEIDISP-R02,scopeidisp-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Dependency Injection scopes: singleton/scoped/transient lifetimes, IServiceScope, IServiceScopeFactory, CreateScope, resolving scoped services, and scope disposal.",IU-009,2ddc28854a,413.215,3191.323,965.0,320.0,!!! | WTF ARE ALL OF THESE | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
S-010,2,SCOPEIDISP-R02-di-scopes-services-scopefactory,SCOPEIDISP-R02,scopeidisp-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Dependency Injection scopes: singleton/scoped/transient lifetimes, IServiceScope, IServiceScopeFactory, CreateScope, resolving scoped services, and scope disposal.",IU-010,84914e6cc4,407.984,3526.482,1048.0,434.0,WTF ARE ALL OF THESE | !!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT
