image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256_10,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,e5b4d9ee69,image-1993f3182fca07888821d702d6cb32c9e909352d,9807.496649815224,609.1297522650802,1040.0,469.0,1040,469,source/images/e5b4d9ee69.png
S-002,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,30b34be08e,image-b8bdd2d371d33d599c4afaf3b8827129b1fe8e0c,12215.591171582444,723.3574659911046,816.0,268.0,816,268,source/images/30b34be08e.png
S-003,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,b82e947c86,image-f7542771b5b856d34b8c86fbf3aba10560da607e,12214.376885868158,1008.3813917723546,727.0,357.0,727,357,source/images/b82e947c86.png
S-004,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,a7d1d4d3c9,image-9ad89f2fc0248f3b18169261ed6db892ec06b25d,9819.385240310015,1095.0741492377365,962.0,374.0,962,374,source/images/a7d1d4d3c9.png
S-005,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,e2bd158a47,image-86abeef51f34229bf47b2d373830e281bfd343fb,12235.71027733021,1384.0003231339615,631.0,341.0,631,341,source/images/e2bd158a47.png
S-006,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,31276ca03b,image-68a6e96a84b75119b0a6a5dbbdb2e1ed85318c71,9806.42981631913,1506.5475345187679,897.0,482.0,952,512,source/images/31276ca03b.png
S-007,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,a4d0b547ed,image-99281f9e9181aa566a140eb6a4e9937930759546,12228.7340287253,1729.5955902935593,744.0,446.0,744,446,source/images/a4d0b547ed.png
S-008,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,fa0f8f9ad1,image-32611e84111896d46d4d84d48b28f001d9c9423f,9848.663102858844,2024.5371178520963,959.0,253.0,959,253,source/images/fa0f8f9ad1.png
S-009,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,73f1b7989a,image-d0e4d85a2101fd7a16540e9324c003f61d0a0182,14467.75332093214,2090.716094808541,848.0,229.0,848,229,source/images/73f1b7989a.png
S-010,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,102bd723c7,image-bfa900bd37ff84377eab2cf7964091c7e87dad31,16619.569752110416,2099.193983423321,939.0,447.0,939,447,source/images/102bd723c7.png
S-011,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,5a23326dc4,image-49c09d06b562f4aa4628b86f05f3341d3b0d59ab,15583.665288115346,2105.3054971969223,847.0,377.0,847,377,source/images/5a23326dc4.png
S-012,R01,"stored-procedure purpose, trade-offs, T-SQL syntax, ADO.NET execution and SCOPE_IDENTITY",recovered_missing,processed,dd1201238c,image-d0b6dd3b8fec2b04cfe7da40455b2440681cfca9,12261.25795450655,2207.4765717388727,618.0,275.0,618,275,source/images/dd1201238c.png
