idx,text,x,y,font_size,region,status
1,stored proc with,9710.29636294999,173.27870251464844,185.3333740234375px,R01,closed-by-stage1-final-coverage
2,dif sql api's,9710.29636294999,404.9454200439453,185.3333740234375px,R01,closed-by-stage1-final-coverage
3,why stored procedures,12021.68635154896,594.3557517053896,106.85714285714279px,R01,closed-by-stage1-final-coverage
4,stored procedures,14095.714697484196,1644.1870570681574,166.71327057651712px,R01,closed-by-stage1-final-coverage
5,ado.net usage,14095.714697484196,1852.5786452888037,166.71327057651712px,R01,closed-by-stage1-final-coverage
6,syntax,15674.153284810493,1942.6473393830072,199.04764229910725px,R01,closed-by-stage1-final-coverage
7,scope_identity(),17123.101284461532,3052.3386519668466,75.11110432942698px,R01,closed-by-stage1-final-coverage
8,ef core and stored proc,7388.291025066821,3819.8288048993527,203.61905343191904px,R01,closed-by-stage1-final-coverage
9,usage,7388.291025066821,4074.3526216892515,203.61905343191904px,R01,closed-by-stage1-final-coverage
10,manual queries,5400.227522654153,4107.968706322065,222.6666259765625px,R01,closed-by-stage1-final-coverage
11,cant buld query on top,5080.265105740904,4350.186998938427,72.67176708214686px,R01,closed-by-stage1-final-coverage
12,of stored procedure in sql server,5080.265105740904,4441.02670779111,72.67176708214686px,R01,closed-by-stage1-final-coverage
13,returning data with stored procedure,16316.516835672744,4519.778005595267,236.35664340023084px,R01,closed-by-stage1-final-coverage
14,"fromsql for tracked,",6484.64557423758,4537.012045214119,70.56790726273142px,R01,closed-by-stage1-final-coverage
15,CUD operations ef core mapping,9129.059186292216,4563.90575318211,151.428606305804px,R01,closed-by-stage1-final-coverage
16,db calls with/without stored procedure,3333.680857705014,4599.143270531404,87.55556640624998px,R01,closed-by-stage1-final-coverage
17,sql server doesn allow composing over interm results of,5122.495784517863,4599.496957549905,38.20030458809248px,R01,closed-by-stage1-final-coverage
18,entity mapped,6484.64557423758,4625.221929292533,70.56790726273142px,R01,closed-by-stage1-final-coverage
19,stored procedure,5122.495784517863,4647.24733828502,38.20030458809248px,R01,closed-by-stage1-final-coverage
20,asenumerable starts db call,5122.495784517863,4694.997719020136,38.20030458809248px,R01,closed-by-stage1-final-coverage
