label_id,region,semantic_review_status,x,y,text
T-001,R01,processed,9710.29636294999,10.0,stored proc with
T-002,R01,processed,9710.29636294999,10.0,dif sql api's
T-003,R01,processed,12021.68635154896,500.2146088482468,why stored procedures
T-004,R01,processed,14095.714697484196,1497.312665690246,stored procedures
T-005,R01,processed,14095.714697484196,1497.312665690246,ado.net usage
T-006,R01,processed,15674.153284810493,1767.2863665174937,syntax
T-007,R01,processed,17123.101284461532,2986.1657690526213,scope_identity()
T-008,R01,processed,7388.291025066821,3640.4404188258322,ef core and stored proc
T-009,R01,processed,7388.291025066821,3640.4404188258322,usage
T-010,R01,processed,5400.227522654153,3911.7994088367136,manual queries
T-011,R01,processed,5080.265105740904,4286.163172139055,cant buld query on top
T-012,R01,processed,5080.265105740904,4286.163172139055,of stored procedure in sql server
T-013,R01,processed,16316.516835672744,4311.547802759664,returning data with stored procedure
T-014,R01,processed,9129.059186292216,4430.497151026697,CUD operations ef core mapping
T-015,R01,processed,9129.059186292216,4430.497151026697,to stored procefures
T-016,R01,processed,6484.64557423758,4474.841718915653,"fromsql for tracked,"
T-017,R01,processed,6484.64557423758,4474.841718915653,entity mapped
T-018,R01,processed,6484.64557423758,4474.841718915653,select results
T-019,R01,processed,3333.680857705014,4522.006816527497,db calls with/without stored procedure
T-020,R01,processed,5122.495784517863,4565.842489207796,sql server doesn allow composing over interm results of
T-021,R01,processed,5122.495784517863,4565.842489207796,stored procedure
T-022,R01,processed,5122.495784517863,4565.842489207796,asenumerable starts db call
T-023,R01,processed,16407.43785417775,4860.927078790128,result from select
T-024,R01,processed,16407.43785417775,4860.927078790128,output params
T-025,R01,processed,16407.43785417775,4860.927078790128,output param return
T-026,R01,processed,16407.43785417775,4860.927078790128,when nocount actually useful
T-027,R01,processed,17863.401554503824,5130.503912269918,can we read
T-028,R01,processed,17863.401554503824,5130.503912269918,select from stored proc
T-029,R01,processed,17863.401554503824,5130.503912269918,while using executesql
T-030,R01,processed,17863.401554503824,5130.503912269918,reading select with fromsql
T-031,R01,processed,6412.793767596955,5192.619564510271,database.sql query for single
T-032,R01,processed,6412.793767596955,5192.619564510271,non entity
T-033,R01,processed,6412.793767596955,5192.619564510271,not tracked stored proc results
T-034,R05,processed,18904.946465324825,5352.882831598001,can we get output params with fromsql?
T-035,R02,processed,8033.357659996913,5520.391316856823,ef core
T-036,R02,processed,8033.357659996913,5520.391316856823,using linq and stored procefures
T-037,R02,processed,6492.256418015209,5861.907321593619,executesqlinterpolated
T-038,R02,processed,6492.256418015209,5861.907321593619,usage
T-039,R02,processed,6373.898743480731,6606.774495661621,!!!
T-040,R05,processed,17564.011612493145,6857.741223492858,database.sql query for select from sp
T-041,R05,processed,17564.011612493145,6857.741223492858,for single values as value
T-042,R05,processed,17564.011612493145,6857.741223492858,can it get output params?
T-043,R05,processed,17564.011612493145,6857.741223492858,can fromsql get single value?
T-044,R02,processed,10241.905148460755,7450.653337987066,cud operations examples
T-045,R02,processed,3770.0,7459.288699431449,cud operations mappig methods  for savechanges
