source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-001,f940cbc9a0,1331.327,358.751,720.0,462.0,"dbconnection | undo state changes | clos connection | rules | sqlserver dbconnection | get ordinal | example | !!! | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-002,2,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-002,6ecd9b3c68,4083.42,467.17,958.0,264.0,"undo state changes | clos connection | rules | sqlserver dbconnection | get ordinal | dbconnection | example | !!! | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-003,3,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-003,fc8f905b5a,6589.979,673.86,860.0,432.0,"sqlserver dbconnection | example | get ordinal | undo state changes | clos connection | rules | !!! | dbconnection | Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS"
S-004,4,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-004,d8f8e00f40,7978.613,706.238,843.0,463.0,"example | sqlserver dbconnection | get ordinal | undo state changes | clos connection | rules | !!! | Transactions | dbconnection | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS"
S-005,5,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-005,01c67b2b90,4075.205,787.718,963.0,381.0,"undo state changes | clos connection | rules | get ordinal | sqlserver dbconnection | !!! | dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-006,6,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-006,cdefec32c4,1352.766,830.334,696.0,463.0,"dbconnection | undo state changes | clos connection | rules | get ordinal | sqlserver dbconnection | !!! | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-007,7,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-007,28dbfa05f9,5438.266,1126.09,828.0,482.0,"get ordinal | sqlserver dbconnection | !!! | undo state changes | clos connection | rules | example | dbconnection | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-008,8,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-008,c35eb0cca6,6566.646,1130.527,832.0,316.0,"get ordinal | sqlserver dbconnection | example | !!! | undo state changes | clos connection | rules | Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | dbconnection"
S-009,9,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-009,9d8fb0bc34,7978.247,1186.508,774.0,321.0,"example | get ordinal | sqlserver dbconnection | !!! | undo state changes | clos connection | rules | Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | dbconnection"
S-010,10,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-010,e573eb04cd,2783.333,1200.101,838.0,382.0,"get ordinal | undo state changes | clos connection | rules | dbconnection | !!! | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-011,11,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-011,7c2ea3d42b,35.943,1280.611,725.0,482.0,"dbconnection | get ordinal | undo state changes | clos connection | rules | !!! | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
