source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,f940cbc9a02197840022f085827bdbfd98d1fccb,f940cbc9a0,S-001__f940cbc9a0.png,1331.327,358.751,720.0,462.0,"dbconnection | undo state changes | clos connection | rules | sqlserver dbconnection | get ordinal | example | !!! | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-002,IU-002,6ecd9b3c686a477026a3515f99abb6fe84ecbe5b,6ecd9b3c68,S-002__6ecd9b3c68.png,4083.42,467.17,958.0,264.0,"undo state changes | clos connection | rules | sqlserver dbconnection | get ordinal | dbconnection | example | !!! | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-003,IU-003,fc8f905b5a6df9cdc7392034346a01464832a1df,fc8f905b5a,S-003__fc8f905b5a.png,6589.979,673.86,860.0,432.0,"sqlserver dbconnection | example | get ordinal | undo state changes | clos connection | rules | !!! | dbconnection | Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-004,IU-004,d8f8e00f400b1981841cbdf952524f2eebe64d33,d8f8e00f40,S-004__d8f8e00f40.png,7978.613,706.238,843.0,463.0,"example | sqlserver dbconnection | get ordinal | undo state changes | clos connection | rules | !!! | Transactions | dbconnection | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-005,IU-005,01c67b2b90dfda967ccf9ccba206b614d8e5f14d,01c67b2b90,S-005__01c67b2b90.png,4075.205,787.718,963.0,381.0,"undo state changes | clos connection | rules | get ordinal | sqlserver dbconnection | !!! | dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-006,IU-006,cdefec32c4b7c6d61c9f3b986bf7157f3a6882ba,cdefec32c4,S-006__cdefec32c4.png,1352.766,830.334,696.0,463.0,"dbconnection | undo state changes | clos connection | rules | get ordinal | sqlserver dbconnection | !!! | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-007,IU-007,28dbfa05f9308962099100855cabe16cb4d8cc27,28dbfa05f9,S-007__28dbfa05f9.png,5438.266,1126.09,828.0,482.0,"get ordinal | sqlserver dbconnection | !!! | undo state changes | clos connection | rules | example | dbconnection | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-008,IU-008,c35eb0cca655d7f0a3daae1a14718e2c3d61ad23,c35eb0cca6,S-008__c35eb0cca6.png,6566.646,1130.527,832.0,316.0,"get ordinal | sqlserver dbconnection | example | !!! | undo state changes | clos connection | rules | Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | dbconnection",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-009,IU-009,9d8fb0bc343db36c7838dc5ef89afc6217bd11f8,9d8fb0bc34,S-009__9d8fb0bc34.png,7978.247,1186.508,774.0,321.0,"example | get ordinal | sqlserver dbconnection | !!! | undo state changes | clos connection | rules | Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | dbconnection",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-010,IU-010,e573eb04cd2dd3c29005d2419c0286d08706ca2f,e573eb04cd,S-010__e573eb04cd.png,2783.333,1200.101,838.0,382.0,"get ordinal | undo state changes | clos connection | rules | dbconnection | !!! | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-011,IU-011,7c2ea3d42b58cd6d1111d2c7fd623a09b43ca56d,7c2ea3d42b,S-011__7c2ea3d42b.png,35.943,1280.611,725.0,482.0,"dbconnection | get ordinal | undo state changes | clos connection | rules | !!! | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
