image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,01f6deb987db6426484a86d088cca6e1d678777f21cb26ce87692ff2528ac56e,01f6deb987db,image-7d09f27d271991bfbfa0c9562f894f44e605a6bf,4778.944476506616,257.486200936597,887.0,482.0,1000,544,source/images/01f6deb987db6426484a86d088cca6e1d678777f21cb26ce87692ff2528ac56e.png
S-002,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,abf6261d10e92458540135fea9ac1e0eece47292b5cc9a81fcd27c646c6ec282,abf6261d10e9,image-943a701cd8a81acb2cbc8239d5150948730b7195,6397.3887479041405,673.1029386656228,974.0,118.0,974,118,source/images/abf6261d10e92458540135fea9ac1e0eece47292b5cc9a81fcd27c646c6ec282.png
S-003,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,b8efdd8eec7957c3b20c87d18b2bd6a2c2ebd22319cd21cb926b3cc510079f77,b8efdd8eec79,image-f94a9a9bef16ae3ce74be5b6927043a62a8a4822,4739.603549510817,771.1186995415119,1011.0,476.0,1011,476,source/images/b8efdd8eec7957c3b20c87d18b2bd6a2c2ebd22319cd21cb926b3cc510079f77.png
S-004,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,c87725dde91fba2f4f89cfbffc48073e1b87fb6a82baabf8ac8338df953108ce,c87725dde91f,image-9a31a5f3f0a622ef90b4dd910c60b09dc9278a72,4748.07971092265,1241.8805752390545,975.0,464.0,975,464,source/images/c87725dde91fba2f4f89cfbffc48073e1b87fb6a82baabf8ac8338df953108ce.png
S-005,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,01fc8c1ce22b4a5ea0d344e2509056a98c0bb587af42d942153f02034cf8995e,01fc8c1ce22b,image-8304885eb45c1bffca083d5a24ae59178d1097aa,6291.293567937622,1255.3886747496072,1030.0,462.0,1030,462,source/images/01fc8c1ce22b4a5ea0d344e2509056a98c0bb587af42d942153f02034cf8995e.png
S-006,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,1b25c8362600523d6a5ef29e6b139f28462656c4f9629706f6367a5c508d4d4e,1b25c8362600,image-a1b944572a91930d224e5503871b52c0d92b6400,9759.3981435342,1825.1543209463343,920.0,482.0,1011,530,source/images/1b25c8362600523d6a5ef29e6b139f28462656c4f9629706f6367a5c508d4d4e.png
S-007,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,bc1b809e14b57725769bfb308a7e1b6606d629dcd6108a6390e834ae7f52ef85,bc1b809e14b5,image-36cc70d133d130d01224f14158ff4fa70badab6d,8481.818564830077,1917.838543564576,1135.0,154.0,1135,154,source/images/bc1b809e14b57725769bfb308a7e1b6606d629dcd6108a6390e834ae7f52ef85.png
S-008,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,627659d8c458cbb81af4e41719f514a64816c3e6f12be74ecdb085e21867e799,627659d8c458,image-10a47640abb0f5a2fa5e58a3fc93230126d79bbf,221.07969968192992,2061.2576428377724,925.0,479.0,925,479,source/images/627659d8c458cbb81af4e41719f514a64816c3e6f12be74ecdb085e21867e799.png
S-009,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,4fc16864be5c8a36fe2982f86a1969491e0d60b984b78008a859e0338f4d7798,4fc16864be5c,image-5fe6bbb2217d82d9fddd0cc36796d061fd30d3b7,6214.6050739365055,2075.460321303741,1000.0,479.0,1000,479,source/images/4fc16864be5c8a36fe2982f86a1969491e0d60b984b78008a859e0338f4d7798.png
S-010,R01,"primary-handler patterns, redirects, decompression, cookies and top-level option selection",recovered_missing,processed,dbf5fd3dfbd5d47d92bfc33468de1a6fc4630ad3e834c743cb0b2a00fb083530,dbf5fd3dfbd5,image-ecbf9a6b2bb0d810b909993d6a48112d11f1c793,8425.373984751952,2084.2830727800756,1019.0,170.0,1019,170,source/images/dbf5fd3dfbd5d47d92bfc33468de1a6fc4630ad3e834c743cb0b2a00fb083530.png
