source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,region_decision,coverage_status,nearest_labels_for_search_only,review_note
S-092,bf90b85d46485b9a8eb3296421393da483c6d256,bf90b85d46,18948.687,37399.738,941.0,460.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-063: Valid token | L-059: distinguish Challengefrom auth failure | L-060: Forbid | L-062: Invalid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-093,ee6cdebfd82cff02ddad3cdf3d6c1acf13523d1d,ee6cdebfd8,18939.854,37877.572,902.0,401.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-060: Forbid | L-063: Valid token | L-059: distinguish Challengefrom auth failure | L-111: !!!,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-094,6990b98636141053f6d8fc22043b8a10c55cb120,6990b98636,18931.187,38295.405,996.0,452.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-060: Forbid | L-111: !!! | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-095,ff5142b08eed2060325e4fe6c6957b11479e0047,ff5142b08e,18967.853,38920.249,1013.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-058: Challenge | L-111: !!! | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-096,43e80ec8080d307a4565e1dc4bfacc908adcfd8e,43e80ec808,18953.687,39438.738,1031.0,332.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-058: Challenge | L-111: !!! | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-097,458f844a606485dee454de17d00902bc22e70ac5,458f844a60,18099.354,37365.238,513.0,79.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-057: Key rollover logic | L-111: !!! | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-098,58179930a83ab908a5b3ed239cecff7354627c4f,58179930a8,17876.376,37473.582,876.0,596.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-111: !!! | L-057: Key rollover logic | L-060: Forbid,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-099,70882727e4885cc3ace28092325bd57ea0254417,70882727e4,17890.912,38147.749,792.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-111: !!! | L-059: distinguish Challengefrom auth failure | L-060: Forbid | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-100,b0d16ee4734da408b3bf0613fcb4e79bda3fe2f7,b0d16ee473,17917.455,38644.113,760.0,376.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-060: Forbid | L-111: !!! | L-059: distinguish Challengefrom auth failure | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-101,698d61650ca312c56cc499e359a4e8a3101b1591,698d61650c,17804.673,39045.462,976.0,461.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-102,5fd99a87b0771bc8886880bf6baffc220c7fc635,5fd99a87b0,17809.523,39515.527,929.0,309.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-103,8fb08319498fd57cc16b7824cd94387ebe7dc2f0,8fb0831949,19095.374,40983.371,972.0,231.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-058: Challenge | L-111: !!! | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-104,58b3d9fb0c9a05d9fe4449941075cab48d8232f8,58b3d9fb0c,19110.26,41241.698,814.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-105,9480027f073174cb62e8c2c0e1568a0836d368d4,9480027f07,19096.961,41702.483,977.0,237.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-106,06e933bd1e964373ce230296bc5e27fb4d7f10bf,06e933bd1e,18052.152,40983.76,941.0,457.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-107,158d2428fde5efb434ef7af38f9ce2e6119f79b1,158d2428fd,17957.875,41445.393,1007.0,404.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-108,b692cf3630d3136385d24088e048e30a54a7df15,b692cf3630,17943.75,41885.777,1032.0,472.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-109,fdf10e463d16bb1dcf19929d341adc05c0ad70ac,fdf10e463d,17915.135,42390.916,1008.0,365.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-060: Forbid | L-111: !!! | L-058: Challenge | L-059: distinguish Challengefrom auth failure | L-063: Valid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-134,1ad00343473d5e123a7c689ff3b46ff52be233c0,1ad0034347,16896.104,29088.128,946.0,428.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-051: Add claims | L-052: store request local values | L-050: reject disabled | L-055: SaveToken | L-049: ontokenValidated/Succes path,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-135,1f0e3b18a2ba07f1f1dc6803b06a6891d2ec5b76,1f0e3b18a2,16905.522,29540.971,832.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-052: store request local values | L-051: Add claims | L-055: SaveToken | L-050: reject disabled | L-056: OnAuthenticationFailed/FailurePath,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-136,89d54def1b925eee147d06294106b59e4db5a2d5,89d54def1b,16893.27,30186.183,925.0,463.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-052: store request local values | L-055: SaveToken | L-051: Add claims | L-056: OnAuthenticationFailed/FailurePath | L-050: reject disabled,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
