label_id,x,y,text
L-001,3284.599,4218.906,context
L-002,1690.713,4579.158,schemeprovider
L-003,1537.819,5441.308,handlerprovider
L-004,3302.035,2885.573,"middleware, invoke(check)"
L-005,5940.852,11811.187,!!!
L-006,6039.773,10031.972,!!!
L-007,7758.255,11714.842,!!!
L-008,5497.062,19222.179,they impliauthenticationsign in/out handler
L-009,5923.588,2843.796,useAuthenticationAuthenticationMiddleware
L-010,1083.588,3050.463,middleware toauthservice
L-011,4516.921,270.462,base shit
L-012,4950.254,23157.129,oidc shit
L-013,13530.254,677.129,cookie shit
L-014,15490.253,15830.463,jwt shit
L-015,770.254,8937.129,base authhandler
L-016,5803.372,4912.419,context.AuthenticateAsync andAuthentication Service
L-017,5857.372,6425.419,Auth Scheme Provider
L-018,5848.269,7736.759,Auth Handler provider
L-019,4654.677,11454.436,forwarding
L-020,3221.418,10006.473,resolvetargetdecide whether to forwardor return null
L-021,2937.813,10656.359,authenticateasynccall handlerauthenticateonce(hauth is the method to implement)
L-022,5988.01,13734.436,challenge
L-023,5521.343,18673.325,session handlingsign in/out AuthneitcationHandler
L-024,6094.677,16401.103,forbid
L-025,6752.72,19439.251,sign out
L-026,5604.571,19451.103,sign in
L-027,4278.534,16295.891,defaultforbid schemeabout forbid not being thepart of authenticate
L-028,7876.649,10511.387,authenticate request onceintended flow
L-029,3137.273,8920.829,initializeasyncmultiple shemes for handlerresolve options from monitor
L-030,3346.971,4766.426,AuthServicedecide sheme and handlerget ticketz
L-031,3053.833,11962.243,forward options
L-032,2924.881,12763.2,concrete forward
L-033,2983.402,14263.025,forward default selector
L-034,2985.996,16346.261,forward default
L-035,1893.063,11946.311,order/priority
L-036,768.255,11975.054,valid example
L-037,8390.473,2795.356,special handlers
L-038,9166.063,3332.42,HandleRequestAsync
L-039,14245.417,24270.373,"handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response"
L-040,14430.179,26624.659,handleforbid
L-041,13382.475,21669.02,obsoletesecurityTokenValidators
L-042,13492.475,22153.465,"on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result"
L-043,13507.86,22861.157,if failure fire eventreturn failure
L-044,13666.688,23449.728,catch errors if authfailed rusultis there return itotherwise rethrow ex
L-045,13656.549,20944.576,if dont use obsolete shit(always )then use modern Options.TokenHanlders TO validate token
L-046,13659.512,20629.02,setup validation params(possible signing key fetches)
L-047,14466.476,20054.23,if app didnt set token in event - parse header
L-048,14455.58,19360.12,HandleAuthenticatefire messagereceived to give opportunity to set token to context
L-049,17868.17,27017.694,ontokenValidated/Succes path
L-050,16866.688,27814.731,reject disabled
L-051,16934.188,28973.064,Add claims
L-052,16975.855,30089.731,store request local values
L-053,16873.818,33368.071,custom failure result
L-054,16879.972,34021.404,suppress failure
L-055,18000.346,31176.877,SaveToken
L-056,17552.013,32398.544,OnAuthenticationFailed/FailurePath
L-057,17802.68,34870.544,Key rollover logic
L-058,18807.865,37057.211,Challenge
L-059,16383.103,37104.83,distinguish Challengefrom auth failure
L-060,19080.458,40725.359,Forbid
L-061,20446.214,34045.544,No token
L-062,20476.983,34646.57,Invalid token
L-063,20434.932,35218.877,Valid token
L-064,20308.014,33742.544,Possible result outcomes
L-065,17871.504,25477.031,Token Validation
L-066,17812.088,23702.93,Setup Token Validation params
L-067,17866.502,22181.741,Auth Header lookup
