source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,66dd53e7f8673b6d6f12253f7d5253dadfef5fb8,66dd53e7f8,6000.816,3184.357,982.0,432.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-009: useAuthenticationAuthenticationMiddleware | L-016: context.AuthenticateAsync andAuthentication Service | L-037: special handlers | L-038: HandleRequestAsync | L-017: Auth Scheme Provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-002,89edc9a8770b2083042afa182e5cecbd77909ad1,89edc9a877,6024.99,3761.645,710.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-016: context.AuthenticateAsync andAuthentication Service | L-009: useAuthenticationAuthenticationMiddleware | L-037: special handlers | L-017: Auth Scheme Provider | L-038: HandleRequestAsync,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-003,e4a50dea2aba52817bfff40b0a579c7925010997,e4a50dea2a,6010.621,4264.503,956.0,397.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-016: context.AuthenticateAsync andAuthentication Service | L-009: useAuthenticationAuthenticationMiddleware | L-017: Auth Scheme Provider | L-037: special handlers | L-038: HandleRequestAsync,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-004,58d7299b32c2bc1763605b15764a8bd8373ef3bf,58d7299b32,6000.454,4679.67,953.0,190.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-016: context.AuthenticateAsync andAuthentication Service | L-017: Auth Scheme Provider | L-009: useAuthenticationAuthenticationMiddleware | L-037: special handlers | L-018: Auth Handler provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-005,280eabcaeac332fe108946640cd8d649a513a6ee,280eabcaea,6071.955,5178.514,823.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-016: context.AuthenticateAsync andAuthentication Service | L-017: Auth Scheme Provider | L-018: Auth Handler provider | L-009: useAuthenticationAuthenticationMiddleware | L-030: AuthServicedecide sheme and handlerget ticketz,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-006,b66210c4a886df8b516576bae766e1450cdf16d9,b66210c4a8,6090.996,5672.561,761.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-017: Auth Scheme Provider | L-016: context.AuthenticateAsync andAuthentication Service | L-018: Auth Handler provider | L-009: useAuthenticationAuthenticationMiddleware | L-030: AuthServicedecide sheme and handlerget ticketz,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-007,93a6709164395bb87cb84654f6622d0a7ca996c1,93a6709164,6080.601,6144.033,971.0,288.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-017: Auth Scheme Provider | L-016: context.AuthenticateAsync andAuthentication Service | L-018: Auth Handler provider | L-009: useAuthenticationAuthenticationMiddleware | L-030: AuthServicedecide sheme and handlerget ticketz,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-008,17926e5788b5e087f52e2fe9ff5302c4f5cda3e9,17926e5788,6104.583,6590.853,777.0,463.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-017: Auth Scheme Provider | L-018: Auth Handler provider | L-016: context.AuthenticateAsync andAuthentication Service | L-006: !!! | L-030: AuthServicedecide sheme and handlerget ticketz,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-009,a0fbfd24c7df702018ccda31a2347352812652c3,a0fbfd24c7,6081.934,7060.02,915.0,255.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-018: Auth Handler provider | L-017: Auth Scheme Provider | L-016: context.AuthenticateAsync andAuthentication Service | L-006: !!! | L-028: authenticate request onceintended flow,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-010,5b3dd95c3d775b66c3826408be3e8a5874afaeeb,5b3dd95c3d,6088.985,7324.084,905.0,412.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-018: Auth Handler provider | L-017: Auth Scheme Provider | L-006: !!! | L-016: context.AuthenticateAsync andAuthentication Service | L-028: authenticate request onceintended flow,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-011,5aef5dde781237646d3794d8feda9db094638af8,5aef5dde78,6086.818,7859.558,1016.0,299.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-018: Auth Handler provider | L-017: Auth Scheme Provider | L-006: !!! | L-028: authenticate request onceintended flow | L-016: context.AuthenticateAsync andAuthentication Service,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
