source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-261,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-262,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-263,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-264,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-265,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-266,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-267,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-268,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-269,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-270,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-271,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-272,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-273,Stage5c,R11B,processed-in-r11b-v001,R11B,processed-in-r11b-v001,yes-for-r11b-stage5c,no-for-stage5c-transcript,no,yes
S-274,Stage5b,R12,processed-in-r12-v001,R12,processed-in-r12-v001,yes-for-r12-stage5b,no-for-stage5b-transcript,no,yes
S-275,Stage5c,R09D,processed-in-r09d-v001,R09D,processed-in-r09d-v001,yes-for-r09d-stage5c,no-for-stage5c-transcript,no,yes
S-276,Stage5b,R13,processed-in-r13-v001,R13,processed-in-r13-v001,yes-for-r13-stage5b,no-for-stage5b-transcript,no,yes
S-277,Stage5b,R12,processed-in-r12-v001,R12,processed-in-r12-v001,yes-for-r12-stage5b,no-for-stage5b-transcript,no,yes
S-278,Stage5b,R12,processed-in-r12-v001,R12,processed-in-r12-v001,yes-for-r12-stage5b,no-for-stage5b-transcript,no,yes
S-279,Stage5b,R12,processed-in-r12-v001,R12,processed-in-r12-v001,yes-for-r12-stage5b,no-for-stage5b-transcript,no,yes
S-280,Stage5c,R09D,processed-in-r09d-v001,R09D,processed-in-r09d-v001,yes-for-r09d-stage5c,no-for-stage5c-transcript,no,yes
