source_id,image_use_id,boundary_region,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,stage4w2_visual_decision
S-065,IU-065,R03,1a557e01c2,1994.132,6636.076,826,332,r03-correction-notify-select-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows notifyOnChangeProps/select continuation; not R09A.
S-066,IU-066,R03,3b93be2992,3297.684,6731.287,834,362,r03-correction-notify-select-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck shows notifyOnChangeProps/select continuation; not R09A.
S-109,IU-109,R04A,39e62ae511,9033.527,9580.732,408,201,r04a-correction-static-staleness-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck shows static/staleness continuation; not R09A.
S-110,IU-110,R04A,96bd41a485,11373.687,9617.883,941,375,r04a-correction-static-staleness-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck shows static/staleness continuation; not R09A.
S-113,IU-113,R04B,2bc6c3c458,7487.485,9843.954,954,479,r04b-correction-functional-refetchinterval-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck shows functional refetchInterval; not R09A.
S-118,IU-118,R05,5230e3ed40,3059.904,10604.865,919,406,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-119,IU-119,R05,2ced60a702,1414.865,10877.397,704,121,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-121,IU-121,R05,70259fd00d,3127.73,11026.709,752,482,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-122,IU-122,R05,c74a0b5ca9,1395.502,11047.217,830,482,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-136,IU-136,R05,90f673f1e8,1372.484,11483.302,884,433,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-137,IU-137,R05,cf6de009a3,3147.849,11541.365,792,373,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-148,IU-148,R05,ade73b8922,1367.103,11952.04,830,246,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-156,IU-156,R05,8f1063ec18,1365.522,12209.121,719,482,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-166,IU-166,R05,9b8c6d0493,1338.746,12720.278,921,420,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
