source_id,group_key,batch_from_queue,expected_rebuild,expected_status,expected_region,ledger_status,ledger_region,ledger_decision_is_final,ledger_must_recheck,bad_placeholder_signal_found,closure_ok
S-065,R03-v002-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r03-v002-correction,R03,processed-in-r03-v002-correction,R03,yes-for-r03-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-066,R03-v002-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r03-v002-correction,R03,processed-in-r03-v002-correction,R03,yes-for-r03-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-109,R04A-v002-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r04a-v002-correction,R04A,processed-in-r04a-v002-correction,R04A,yes-for-r04a-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-110,R04A-v002-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r04a-v002-correction,R04A,processed-in-r04a-v002-correction,R04A,yes-for-r04a-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-113,R04B-v002-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r04b-v002-correction,R04B,processed-in-r04b-v002-correction,R04B,yes-for-r04b-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-118,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-119,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-121,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-122,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-136,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
