source_id,image_use_id,fileId_short,image_file,status,stage6a_group,theme,visible_text,notes
S-403,IU-403,4d034f9fe0,S-403__4d034f9fe0.png,verified-visible-ocr-assisted,R21,11. Transitions: keeping previous data visible,"11. Transitions: keeping previous data visible
This part is about making Suspense feel smoother during changes like:
* pagination
* filtering
* changing tabs
* changing selected item
Without a transition, changing input may immediately suspend and show fallback.
That can cause a flash:
* old content disappears
© spinner appears
* new content appears
Sometimes that feels too jumpy.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-414,IU-414,86c00bd7de,S-414__86c00bd7de.png,verified-visible-ocr-assisted,R21,startTransition,"startTransition
React lets you mark an update as a transition.
During that transition, React may keep showing previous UI while the new suspended UI is preparing.
Example
«> TypeScript 0
import * as React from 'react""
import { Suspense } from 'react'
function ProductsPage() {
const [page, setPage] = React .useState(1)
const [isPending, startTransition] = React.useTransition()","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-420,IU-420,95c0e9bb43,S-420__95c0e9bb43.png,verified-visible-ocr-assisted,R21,return (,"return (
<div>
<button
onClick={() => {
startTransition(() => {
setPage((p) => p - 1)
vn
hb
disabled={page === 1}
>
Prev
</button>
<button
onClick={() => {
startTransition(() => {
setPage((p) => p + 1)
vn
hb
>
Next
</button>
{isPending && <small>Updating. . .</small>}
1","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-423,IU-423,5d5a0ccf6e,S-423__5d5a0ccf6e.png,verified-visible-ocr-assisted,R21,startTransition(fn),"startTransition(fn)
Wrap state updates inside it.
> TypeScript oO
startTransition(() => {
setPage(2)
vn
Those updates become transition updates.
isPending
Boolean that becomes [##ué) while the transition is still in progress.
You can use it for small feedback like:
> TypeScript ia)
{isPending && <small>Updating. ..</smal1>}","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-424,IU-424,3be0fe3997,S-424__3be0fe3997.png,verified-visible-ocr-assisted,R21,Good:,"Good:
> TypeScript oO
{isPending && <small>Updating. . .</smal1>}

Usually less good:
«> TypeScript ia’)
{isPending ? <BigSpinner /> : <FullUI />}

because that often defeats the point of keeping previous UI visible.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-425,IU-425,04afe6e8fc,S-425__04afe6e8fc.png,verified-visible-ocr-assisted,R21,<Suspense tallback={<div>Loading page.. .</div>}>,"<Suspense tallback={<div>Loading page.. .</div>}>
<ProductsPageContent page={page} />
</Suspense>
</div>
)
+
function ProductsPageContent({ page }: { page: number }) {
const { data } = useSuspenseQuery({
querykey: ['products', page],
queryFn: () => fetchProducts(page),
n
return (
<ul
{data.items.map((item: any) => (
<li key={item.id}>{item.name}</1i>
»}
</ul>
)
+","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-429,IU-429,64ae29536d,S-429__64ae29536d.png,verified-visible-ocr-assisted,R21,2. Why React needs this,"2. Why React needs this
Not all state updates feel equally urgent.
Urgent updates
Things the user expects immediately:

© typing in an input

* licking a button

* opening a menu

+ checkbox toggle feedback","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-433,IU-433,0ff4794c70,S-433__0ff4794c70.png,verified-visible-ocr-assisted,R21,What this improves,"What this improves

When page changes:
* React can keep showing previous page briefly
* instead of instantly switching to fallback
+ then swap to the new page when ready

This makes navigation feel smoother.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-436,IU-436,5b31422c36,S-436__5b31422c36.png,verified-visible-ocr-assisted,R21,Non-urgent updates,"Non-urgent updates
Things that may take a bit more work:
* rendering a huge filtered list
* changing a page of results
* navigating to data that suspends
* expensive search result updates
Without transitions, React often treats them the same way.
That can cause:
* input lag
* flashing spinners/fallbacks
old Ul disappearing too soon
*  janky rendering","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-438,IU-438,8298e740e1,S-438__8298e740e1.png,verified-visible-ocr-assisted,R21,12. Suspense vs placeholderData,"12. Suspense vs placeholderData

These solve similar UX problems in different ways.

placeholderData

Lets {useQuery show temporary previous data while new data loads.

Suspense + transitions

Lets React keep old rendered UI visible while the new suspended UI prepares.

Rough rule
* Ifyou want classic query control and explicit states, use useQuery + placeholderData
«If your app uses Suspense architecture, use Suspense + transitions","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
