source_id,image_index,file,status,readability,cut_off,confidence,theme,notes
MUT-S001,130,488e3dbdf9.png,verified,high,no,high,mutation variable flow and optimistic update overview,Source chips like `TanStack +1` are visible but omitted from transcript body.
MUT-S002,005,55a51e51f4.png,verified,high,no,high,optimistic update code example,This image appears twice in the mutation region; also used by MUT-S009.
MUT-S003,003,5bec075fe3.png,verified,high,no,high,cancelQueries / optimistic update race,Visually checked against original PNG.
MUT-S004,150,73b5e8fd66.png,verified,high,no,high,mutate vs mutateAsync / mutate,Visually checked against original PNG.
MUT-S005,004,f128bccab6.png,verified-visible-partial,high,yes,high-for-visible-text,standard optimistic update flow,The screenshot is cut off below `Example:`. Do not infer the missing example from this screenshot; the example is visible in MUT-S002/MUT-S009.
MUT-S006,149,7de4e030ee.png,verified,high,no,high,mutate UI example,Code-only screenshot. Visually checked against original PNG.
MUT-S007,151,a7ac382dd0.png,verified,high,no,high,mutateAsync,Visually checked against original PNG.
MUT-S008,148,8641ca8bc2.png,verified,high,no,high,immutable updates only,Original screenshot has separate Good/Bad TypeScript blocks; transcript keeps them together while preserving content.
MUT-S009,005,55a51e51f4.png,verified-duplicate-of-MUT-S002,high,no,high,optimistic update code example,Same underlying PNG as MUT-S002.
MUT-S010,152,e7fe1b2b60.png,verified,high,no,high,when to use mutate,Visually checked against original PNG.
MUT-S011,153,7ec1a778b8.png,verified,high,no,high,when to use mutateAsync,Visually checked against original PNG.
MUT-S012,131,69bab5a10b.png,verified,high,no,high,best mental model for lifecycle callbacks,Visible source chip `TanStack +1` omitted from transcript body.
MUT-S013,147,c11c8e7392.png,verified,high,no,high,manual updates get hard,Visually checked against original PNG.
MUT-S014,006,850109ec0c.png,verified,high,no,high,useQuery v5 callbacks removed / mutation callbacks remain,Visible source chips `tanstack.com +1` and `tanstack.com +2` omitted from transcript body.
MUT-S015,154,4b9ba54f93.png,verified,high,no,high,mutate vs mutateAsync example,Visually checked against original PNG. Source chip `TanStack +1` omitted from transcript body.
MUT-S016,145,9373bdbda3.png,verified,high,no,high,what onMutate returns,Visually checked against original PNG.
MUT-S017,007,37ac0e6a45.png,verified,high,no,high,cancellation handling in mutation callbacks,Visible source chip `tanstack.com +2` omitted from transcript body.
MUT-S018,144,6759acc16a.png,verified,high,no,high,onMutate signature,Visually checked against original PNG. Source chip `TanStack` omitted from transcript body.
MUT-S019,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S020,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S021,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S022,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S023,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S024,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S025,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S026,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S027,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S028,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S029,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S030,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S031,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S032,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S033,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S034,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S035,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
MUT-S036,,,not-verified-yet,unknown,unknown,not-assessed,pending visual verification,"Placeholder. To be completed in the next per-region consolidation/correction archive, not as a small batch archive."
