source_id,image_use_id,fileId_short,image_file,status,theme,text,code,notes
S-224,IU-224,37ac0e6a45,S-224__37ac0e6a45.png,verified-visible-from-contact-sheet,cancellation handling for optimistic updates,"Do I need to do anything special in `useQuery` for cancellation?

Usually, no.

For optimistic updates, the recommended handling is:

- call `cancelQueries` in `onMutate`
- prefer `{ silent: true }`
- rollback in the mutation's `onError`
- refetch/invalidate in `onSettled`",,Readable; duplicated later by S-254.
S-233,IU-233,7ace83dc39,S-233__7ace83dc39.png,verified-visible-from-contact-sheet,getMutationCache is lower-level mutation cache access,"`getMutationCache()`

This returns the `MutationCache` connected to the `QueryClient`.

What the mutation cache is:

It is the low-level store for mutation entries:

- pending mutations
- paused mutations
- mutation state/status
- metadata and mutation execution

Just like with `getQueryCache()`, most app code does not need this directly. Usually you use:

- `useMutation`
- `isMutating`
- mutation defaults
- `resumePausedMutations`

instead of touching the mutation cache directly.",,Readable.
S-236,IU-236,488e3dbdf9,S-236__488e3dbdf9.png,verified-visible-from-contact-sheet,onMutate receives variables and returns rollback context,"`mutate(variables)` and `mutateAsync(variables)` both pass those variables into `onMutate`, `mutationFn`, `onSuccess`, `onError`, and `onSettled`. `onMutate` runs before the mutation function, which is why it's the right place to do the optimistic cache update and return rollback info for later callbacks.

So the flow you described is right:

1. call `mutate(...)` or `mutateAsync(...)`
2. `onMutate` gets the same variables
3. optimistically write to cache before server responds
4. return previous state or rollback context
5. if server mutation fails, `onError` uses that returned value to restore state
6. `onSettled` usually invalidates to resync with server truth",,Readable.
S-238,IU-238,5bec075fe3,S-238__5bec075fe3.png,verified-visible-from-contact-sheet,cancel old fetches before optimistic update,"Why `cancelQueries` matters in optimistic updates.

TanStack's optimistic update guide literally says to cancel outgoing refetches so they don't overwrite your optimistic update.

The problem without cancellation:

Imagine this timeline:

1. `[""todos""]` query is on screen
2. a refetch is already in flight
3. user edits/adds a todo
4. you optimistically call `setQueryData` and show the new todo immediately
5. the older in-flight refetch finishes with stale server data
6. that old response writes into cache and wipes out your optimistic change

That is the race you are preventing.

So the idea is: cancel old fetches first, then write optimistic data, then later sync with the server result.",,Readable.
S-239,IU-239,73b5e8fd66,S-239__73b5e8fd66.png,verified-visible-from-contact-sheet,mutate vs mutateAsync,"`mutate` vs `mutateAsync`

`mutate`

Use when you want the callback-style flow and do not need to `await` the mutation result directly.

You usually rely on:

- `onSuccess`
- `onError`
- `onSettled`

for follow-up behavior. The docs describe `mutate` as returning `void`.",mutation.mutate(newTodo),Readable.
S-242,IU-242,f128bccab6,S-242__f128bccab6.png,verified-visible-from-contact-sheet,standard optimistic update flow with cancelQueries,"3) Standard optimistic update flow with `cancelQueries`

TanStack's documented flow is:

1. `onMutate`
2. cancel outgoing refetches
3. snapshot previous cache value
4. write optimistic value with `setQueryData`
5. if mutation fails, roll back using the snapshot
6. on settled, invalidate/refetch to sync with server",,Readable.
S-243,IU-243,7de4e030ee,S-243__7de4e030ee.png,verified-visible-from-contact-sheet,return full object from onMutate for callbacks,Example where `onMutate` returns a full object. Later callbacks can use that object for rollback or local UI state.,"function RenameButton() {
  const mutation = useMutation({
    mutationFn: updateUser,

    onMutate: (variables) => {
      return {
        rollback: () => mutation.mutate({ id: 1, name: 'Alice' }),
        disabledButton: isPending,
      }
    },
  })

  return (
    <button disabled={mutation.isPending}>
      Rename
    </button>
  )
}",Readable code card; exact demo variable names are less important than returned object idea.
S-244,IU-244,a7ac382dd0,S-244__a7ac382dd0.png,verified-visible-from-contact-sheet,mutateAsync returns Promise and can be awaited,"`mutateAsync`

Use when you want a Promise and order with `await` / `try-catch`.

The docs say `mutateAsync` is similar to `mutate`, but returns a Promise that resolves on success or throws on error.","try {
  const result = await mutation.mutateAsync(newTodo)
  other(result)
} catch (err) {}",Readable.
S-245,IU-245,8641ca8bc2,S-245__8641ca8bc2.png,verified-visible-from-contact-sheet,immutable updates only for setQueryData,"21.2 Immutable updates only

Always return a new object/array.

Good:

Bad:

If you return the same reference after mutating it, observers may not update correctly.","// Good
queryClient.setQueryData(['users'], (old = []) => [
  ...old,
  { id: crypto.randomUUID(), name: 'Ann' },
])

// Bad
queryClient.setQueryData(['users'], (old = []) => {
  old.push(newUser)
  return old
})",Readable.
S-247,IU-247,e7fe1b2b60,S-247__e7fe1b2b60.png,verified-visible-from-contact-sheet,when to use mutate,"When to use which

Use `mutate` when:

- you are happy with mutation callbacks
- you trigger the mutation from UI events
- you do not need the result inline in surrounding code",,Readable.
