source_id,image_use_id,fileId_short,image_file,status,stage6a_group,theme,visible_text,notes
S-485,IU-485,8551008f16,S-485__8551008f16.png,verified-visible-ocr-assisted,R21,39. Best practices summary,"39. Best practices summary
Always do these
* cteate one stable QueryClient
© put every query input into the queryKey
© treat staleTime and gcTime as different concepts
* handle loading/error states safely
* use custom hooks for reusable queries
* prefer declarative key changes over manual (refetch
* use invalidation after writes unless manual cache updates are clearly simpler
* keep cache updates immutable
* use query key factories in medium/large apps
* prefer network mocking over mocking {useQuery) in tests","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-489,IU-489,2a8a82cfff,S-489__2a8a82cfff.png,verified-visible-ocr-assisted,R21,Be careful with these,"Be careful with these

* creating QueryClient inside a component

* forgetting dynamic values in the key

* accessing (data.map(...) before data exists

© using queries for server writes

© mutating cached objects in place

© overusing manual |etQuérybata) for complex list scenarios
* confusing isPending, isLoading, and isFetching
* confusing staleTime with gcTime

© mocking [useQuery) directly in tests

«  destructuring query results with the rest operator

* assuming Suspense queries support ‘enabled","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-503,IU-503,e6431cdcfb,S-503__e6431cdcfb.png,verified-visible-ocr-assisted,R23,27. Infinite queries,"27. Infinite queries
*  useInfiniteQuery
* one long logical cache entry
*° data.pages
* = data_pageParams
© initialPageParam
*  getNextPageParam
*©  fetchNextPage
*  hasNextPage
©  isFetchingNextPage
* flatten pages
* bidirectional infinite queries
* intersection observer for load-more
* consistency on refetch
28. Query purity
* queries for reading only
query functions should be idempotent
* no server side effects in queries
* writes belong to mutations","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-504,IU-504,8f84323643,S-504__8f84323643.png,verified-visible-ocr-assisted,R23,11. Refetch triggers,"11. Refetch triggers
«key changes
* mount/new observer
* window focus
* reconnect
*  refetchOnMount
© refetchOnWindowFocus
* — refetchOnReconnect
12. Cache lifetime
* active query
* inactive query
© observer count = 0
© gcTime
«default garbage collection idea
* freshness vs retention
* fresh data can still be garbage-collected if inactive","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-505,IU-505,4501984f59,S-505__4501984f59.png,verified-visible-ocr-assisted,R23,33. Optimistic updates,"33. Optimistic updates

* instant Ul updates before server confirms
* cancel in-flight queries

«snapshot previous cache

* optimistic [SetQueryData

© rollback on error

invalidate on settle

* useful for predictable UI changes

34. Defaults and configuration

© global defaults in (QueryClignt

*  defaultOptions

* queries

© mutations

© per-key defaults with setQueryDefaults
© per-query override in useQuery","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-506,IU-506,aff7a63b67,S-506__aff7a63b67.png,verified-visible-ocr-assisted,R23,18. ESLint support,"18. ESLint support

© @tanstack/eslint-plugin-query

* exhaustive key dependency checking
19. Parallel queries

© multiple (useQuery) calls

* separate lifecycle per query

* parallel fetching for independent resources
20. Multiple requests in one query

© one (querykn

© Promise.all

* one cache entry

* one loading state

* one error state

* one retry lifecycle

* no separate deduplication","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-509,IU-509,18e061539b,S-509__18e061539b.png,verified-visible-ocr-assisted,R23,5. Query states,"5. Query states
*° status
*°  fetchStatus
* isPending
* isLoading
© isFetching
© isError
*  isSuccess
* isStale
6. Safe rendering
© guard against data being undefined
* loading branch
© error branch
* success branch
«render order of async states","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-510,IU-510,cbf6a625d3,S-510__cbf6a625d3.png,verified-visible-ocr-assisted,R23,59. Persisted mutations,"59. Persisted mutations
© mutation defaults for restore
* replay persisted writes
* resume in original order
* side effects after restore
60. Real-time / WebSockets
© push-based updates
* invalidate on server message
* direct setQueryData from server message
* real-time app strategy
* event-driven freshness
61. On-demand app strategy
© staleTime: Infinity
* rely on server push
* invalidate from events
© direct cache writes from events
* no time-based freshness checks","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-511,IU-511,ebb15590fa,S-511__ebb15590fa.png,verified-visible-ocr-assisted,R23,React Query / TanStack Query Cheat Sheet Topics,"React Query / TanStack Query Cheat Sheet Topics
1. Core idea

© server-state manager

* async, promise-based state

* caching

* background refetching

* loading/error/success states

* query vs mutation

* server state vs client state","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-514,IU-514,410db3d5df,S-514__410db3d5df.png,verified-visible-ocr-assisted,R23,77. Core architecture mental model,"77. Core architecture mental model
© observers
* cache
* subscriptions
* Ulupdates triggered from cache changes
* adapters built on query core
78. Performance philosophy
* render cheaper rather than only render less
© React.memo
°  useMemo
© useCallback
© query structural sharing
* small subscriptions via (select","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
