source_id,from_stage6a,stage6d_decision,reason
S-386,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready."
S-389,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready."
S-393,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready."
S-396,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready."
S-401,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready."
S-403,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-414,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-420,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-423,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-424,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-425,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-429,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-433,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-436,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-438,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-446,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-447,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-486,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-490,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-493,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-496,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-498,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-499,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-501,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats."
S-416,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers."
S-422,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers."
S-428,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers."
