source_id,stage4j_candidate_group,closure_group,closure_decision,ledger_coverage_status,ledger_region,ledger_decision_is_final,ledger_must_recheck,closure_ok,notes
S-123,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-124,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-125,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-127,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-129,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-133,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-134,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-135,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-138,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-139,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-141,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-143,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-144,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-147,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-149,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-151,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-153,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-154,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-155,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-158,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-160,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-161,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-164,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-167,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-168,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-169,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-170,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-173,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-175,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-177,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-178,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-179,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-182,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-183,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-184,already-processed-r07-overlap,R07-overlap,excluded-from-R08-already-r07,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,Formal 51-row R08 candidate checklist item.
S-185,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-187,r08c-queryclient-outside-react-and-shape-discipline,R08C,processed-in-r08c-v001,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,Formal 51-row R08 candidate checklist item.
S-190,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-191,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-193,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-194,r08d-low-level-cache-resume-paused-candidate,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-197,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-198,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-200,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-204,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-206,r08a-queryclient-methods-filters-core,R08A,processed-in-r08a-v001,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,Formal 51-row R08 candidate checklist item.
S-207,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-212,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-216,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-219,r08b-refetch-cancel-options-and-cache-helpers,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-221,r08d-low-level-cache-resume-paused-candidate,R08B,processed-in-r08b-v001,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,Formal 51-row R08 candidate checklist item.
S-186,side-check-not-in-formal-r08-51,R07-overlap-side-check,excluded-from-R08-already-r07,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,S-186 was repeatedly side-checked during R08A/R08B/R08C as local overlap but is not part of the formal 51-row R08 checklist.
