source_id,from_stage5a,stage5c_decision,reason
S-288,R09D,R12,useSuspenseQuery / Suspense API card
S-295,R09D,R12,useSuspenseQuery limitations / enabled card
S-300,R09D,R12,serial Suspense behavior card
S-284,R14,R09D,mutation networkMode / paused offline mutations
S-290,R14,R09D,networkMode always
S-303,R14,R09D,computed async value with networkMode always
S-309,R14,R09D,offlineFirst option example
S-311,R14,R09D,offlineFirst cache/storage backed cases
S-320,R14,R09D,fetch served from cache / offlineFirst
S-326,R14,R09D,service worker / HTTP cache offlineFirst reasoning
S-374,R09D,R14,query.state.dataUpdatedAt / persistence pruning by age
