source_id,image_use_id,fileId,fileId_short,x,y,x_center,y_center,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,IU-001,d6b1d011504b977930aa710b1ceec9038a1966b3,d6b1d01150,4836.124,498.431,5143.624,739.431,615,482,L-002: using react query + http cache with headers from server | L-003: you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency | L-001: react query + browser cache,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column seed / practical recommendation,Included in R01 v002 after visual/semantic boundary review: right column seed / practical recommendation
S-002,IU-002,33ee5bc86fba10907bfede9f27883fc7474145e5,33ee5bc86f,3573.116,823.559,4004.116,1017.559,862,388,L-003: you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency | L-002: using react query + http cache with headers from server | L-001: react query + browser cache,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: left column seed / manual ETag handling,Included in R01 v002 after visual/semantic boundary review: left column seed / manual ETag handling
S-003,IU-003,3ba9d991a7c6df51a91335c05afd9c729f63faf4,3ba9d991a7,4829.173,1008.254,5234.673,1242.254,811,468,L-002: using react query + http cache with headers from server | L-003: you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency | L-001: react query + browser cache,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column seed / React Query does not know browser cache headers,Included in R01 v002 after visual/semantic boundary review: right column seed / React Query does not know browser cache headers
S-004,IU-004,6368f8adce83dfe65e71c0a90548198d79df4f74,6368f8adce,3590.376,1238.967,4003.376,1444.967,826,412,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: left column continuation / send ETag back later,Included in R01 v002 after visual/semantic boundary review: left column continuation / send ETag back later
S-005,IU-005,cf6c2e813c38365981c1078a55308d52f1e22cd8,cf6c2e813c,4807.08,1505.559,5280.08,1578.559,946,146,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / main idea,Included in R01 v002 after visual/semantic boundary review: right column continuation / main idea
S-006,IU-006,335ef6b606fbf060616caa8b537dbffab198fd0e,335ef6b606,4866.747,1702.004,5234.747,1939.004,736,474,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / browser cache layer,Included in R01 v002 after visual/semantic boundary review: right column continuation / browser cache layer
S-007,IU-007,a9a9655e930f113f1ced5cc49e899518e32fb3ce,a9a9655e93,3613.321,1713.44,3906.321,1954.44,586,482,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: left column continuation / HTTP cache revalidation,Included in R01 v002 after visual/semantic boundary review: left column continuation / HTTP cache revalidation
S-008,IU-008,77eaf12c681b2c9e72960a48300bb49cc8d99c32,77eaf12c68,10073.886,2016.562,10428.886,2257.562,710,482,L-004: statuses | L-005: examples | L-008: Isloading and when there is no data and no fetching,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-009,IU-009,a7f13d6d3d3b3473b6e0dbf877368f6e85c5a570,a7f13d6d3d,4915.349,2209.848,5162.849,2450.848,495,482,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / React Query cache layer,Included in R01 v002 after visual/semantic boundary review: right column continuation / React Query cache layer
S-010,IU-010,b62d140856841e43c376a93d721c5d68cf2b833d,b62d140856,3601.579,2258.707,4007.079,2465.707,811,414,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: left column continuation / API requests treated as don't use cache,Included in R01 v002 after visual/semantic boundary review: left column continuation / API requests treated as don't use cache
S-011,IU-011,1d512b6a911de2d60b2f44dc7d7a53b85fe11fec,1d512b6a91,8847.853,2316.043,9259.853,2557.043,824,482,L-006: fund | L-004: statuses | L-011: throwing/swallowing errors,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
