source_id,image_index,file,status,readability,cut_off,confidence,theme,notes
MUT-S019,146,a6d0648cd6.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,why invalidate in onSettled,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S020,143,ae6ed651d2.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,variables argument,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S021,155,db2d4aae55.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,return invalidateQueries Promise keeps pending,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S022,156,e2bb07761c.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,without returning invalidation Promise,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S023,142,507dbfa569.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,context.client,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S024,157,35935e7b35.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,returning the Promise code snippet,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S025,158,c8aefd2cea.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,returning Promise behavior steps,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S026,141,5f990bee01.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,mutationFn,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S027,140,ed4ef609cc.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,onSuccess signature and data argument,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S028,159,9d4d2d9cfa.png,pending-visual-verification,unknown,yes,not-assessed-for-literal-transcript,why pending matters / cut off,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S029,139,57a7aa95ed.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,data returned from mutationFn,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S030,138,27b93b199a.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,variables / onMutateResult availability,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S031,137,c35292d43d.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,onSuccess typical usage,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S032,136,56c5c8888e.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,onError signature and arguments,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S033,135,82af270795.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,onError rollback usage,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S034,134,c7dccde3bc.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,onSettled signature and arguments,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S035,133,1cb0706b7f.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,onMutateResult / context / onSettled example,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
MUT-S036,132,af1044b3cf.png,pending-visual-verification,unknown,unknown,not-assessed-for-literal-transcript,async callbacks are awaited,Raw OCR draft was intentionally removed from the main region file because it contained encoding/OCR corruption. Verify against original PNG before adding exact transcript.
