source_id,from_stage6a,final_decision,reason,ledger_region,ledger_status,correction_ok
S-384,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety.",R15,processed-in-r15-v002-correction,yes
S-388,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety.",R15,processed-in-r15-v002-correction,yes
S-392,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety.",R15,processed-in-r15-v002-correction,yes
S-395,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety.",R15,processed-in-r15-v002-correction,yes
S-419,R19,R16,"Local error UI, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retry ordering, and reset/retry flow.",R16,processed-in-r16-v001,yes
S-406,R19,R18,"Global query defaults, per-key defaults, per-query overrides, query key factories, and query option factories.",R18,processed-in-r18-v001,yes
S-415,R19,R18,"Global query defaults, per-key defaults, per-query overrides, query key factories, and query option factories.",R18,processed-in-r18-v001,yes
S-426,R19,R20,Early performance/select cards that Stage6a put near testing but visual reading shows belong to R20.,R20,processed-in-r20-v002-correction,yes
S-431,R19,R20,Early performance/select cards that Stage6a put near testing but visual reading shows belong to R20.,R20,processed-in-r20-v002-correction,yes
S-443,R19,R20,Early performance/select cards that Stage6a put near testing but visual reading shows belong to R20.,R20,processed-in-r20-v002-correction,yes
S-458,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-465,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-471,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-472,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-475,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-479,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-482,R22,R17,Step-by-step comparison of pagination with Suspense without and with useTransition.,R17,processed-in-r17-v002-comparison,yes
S-386,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready.",R12,processed-in-r12-v003-tail,yes
S-389,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready.",R12,processed-in-r12-v003-tail,yes
S-393,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready.",R12,processed-in-r12-v003-tail,yes
S-396,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready.",R12,processed-in-r12-v003-tail,yes
S-401,R21,R12,"Suspense tail: parallel Suspense queries, separate boundaries, dependent queries, and continued rendering after data is ready.",R12,processed-in-r12-v003-tail,yes
S-403,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-414,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-420,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-423,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-424,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-425,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-429,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-433,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-436,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-438,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-446,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-447,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-486,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-490,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-493,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-496,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-498,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-499,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-501,R21,R17,"useTransition continuation: startTransition, previous UI visibility, Suspense vs placeholderData, and transition UX caveats.",R17,processed-in-r17-v003-tail,yes
S-416,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-422,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-428,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-437,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-444,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-454,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-457,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-464,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-469,R21,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-507,R23,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-528,R23,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-533,R23,R16,"ErrorBoundary / QueryErrorResetBoundary flow: query error, render throw, fallback, Try Again, reset both React and query layers.",R16,processed-in-r16-v002-reset-flow,yes
S-448,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-452,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-455,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-461,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-463,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-467,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-470,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-473,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-476,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-480,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-484,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-488,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-492,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-495,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-497,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-500,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-502,R21,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-512,R23,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-513,R23,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-516,R23,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-524,R23,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-535,R23,R19,"Testing continuation: MSW setup, handlers/server, cache seeding, render helper, loading/error tests, and why not to mock useQuery.",R19,processed-in-r19-v002-testing-msw,yes
S-477,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-478,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-481,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-483,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-487,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-491,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-494,R21,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-508,R23,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-531,R23,R20,"select continuation: pure selectors, stable selector references, inline selector recomputation, access to data argument, and observer mental model.",R20,processed-in-r20-v003-selector-tail,yes
S-485,R21,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-489,R21,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-503,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-504,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-505,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-506,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
