source_id,image_use_id,region_id,region_name,fileId,fileId_short,x,y,x_pct,y_pct,width,height,rotation,nearest_label_ids,nearest_labels,transcription_status,opened_read,confidence,suggested_region_file
S-001,IU-001,R01,React Query + browser/HTTP cache,d6b1d011504b977930aa710b1ceec9038a1966b3,d6b1d01150,4836.123599551272,498.43104093036527,24.64,1.05,615.0,482.0,0.0,"L-002,L-003,L-001",L-002: using react query + http cache with headers from server | L-003: you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency | L-001: react query + browser cache,not-transcribed,no,high,regions/R01-react-query-+-browser-http-cache.md
S-002,IU-002,R01,React Query + browser/HTTP cache,33ee5bc86fba10907bfede9f27883fc7474145e5,33ee5bc86f,3573.11610422391,823.5592020734621,18.21,1.73,862.0,388.0,0.0,"L-003,L-002,L-001",L-003: you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency | L-002: using react query + http cache with headers from server | L-001: react query + browser cache,not-transcribed,no,high,regions/R01-react-query-+-browser-http-cache.md
S-003,IU-003,R01,React Query + browser/HTTP cache,3ba9d991a7c6df51a91335c05afd9c729f63faf4,3ba9d991a7,4829.173401383326,1008.2538965618731,24.61,2.12,811.0,468.0,0.0,"L-002,L-003,L-001",L-002: using react query + http cache with headers from server | L-003: you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency | L-001: react query + browser cache,not-transcribed,no,high,regions/R01-react-query-+-browser-http-cache.md
S-004,IU-004,UNASSIGNED,Unassigned / outside current Stage 1 regions,6368f8adce83dfe65e71c0a90548198d79df4f74,6368f8adce,3590.3758155954392,1238.9665642696343,18.29,2.6,826.0,412.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-005,IU-005,UNASSIGNED,Unassigned / outside current Stage 1 regions,cf6c2e813c38365981c1078a55308d52f1e22cd8,cf6c2e813c,4807.079557867472,1505.5594627743703,24.49,3.16,946.0,146.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-006,IU-006,UNASSIGNED,Unassigned / outside current Stage 1 regions,335ef6b606fbf060616caa8b537dbffab198fd0e,335ef6b606,4866.746590745076,1702.0040021623863,24.8,3.57,736.0,474.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-007,IU-007,UNASSIGNED,Unassigned / outside current Stage 1 regions,a9a9655e930f113f1ced5cc49e899518e32fb3ce,a9a9655e93,3613.320652940028,1713.439966504884,18.41,3.59,586.0,482.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-008,IU-008,R02,"Query basics: statuses, keys, enabled, manual refetch",77eaf12c681b2c9e72960a48300bb49cc8d99c32,77eaf12c68,10073.886186823933,2016.5617070346489,51.33,4.23,710.0,482.0,0.0,"L-004,L-005,L-008",L-004: statuses | L-005: examples | L-008: Isloading and when there is no data and no fetching,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-009,IU-009,UNASSIGNED,Unassigned / outside current Stage 1 regions,a7f13d6d3d3b3473b6e0dbf877368f6e85c5a570,a7f13d6d3d,4915.349454275431,2209.847874232699,25.05,4.64,495.0,482.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-010,IU-010,UNASSIGNED,Unassigned / outside current Stage 1 regions,b62d140856841e43c376a93d721c5d68cf2b833d,b62d140856,3601.5790219756464,2258.707395432837,18.35,4.74,811.0,414.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
