source_id,decision,candidate_type,reason
S-127,included-in-R08C-v001,r08c-shared-queryclient-file,Create one shared QueryClient file
S-133,included-in-R08C-v001,r08c-setqueriesdata-per-entry-old,setQueriesData updater runs once per matching cache entry
S-135,included-in-R08C-v001,r08c-olddata-shape-source,How oldData shape is known
S-141,included-in-R08C-v001,r08c-shared-client-react-and-outside,Use the same QueryClient instance in React and outside React
S-149,included-in-R08C-v001,r08c-mixed-shape-danger,Problem when one matching query stores another shape
S-155,included-in-R08C-v001,r08c-outside-react-use-cases-caveat,When QueryClient outside React is useful and same-instance caveat
S-160,included-in-R08C-v001,r08c-setqueriesdata-compatible-shape-rule,Rule of thumb for setQueriesData compatible shapes
S-170,included-in-R08C-v001,r08c-avoid-mixed-shapes-clearer-keys,Avoid mixed shapes with clearer keys
S-179,included-in-R08C-v001,r08c-centralize-query-keys,Centralize query keys with key factories
S-187,included-in-R08C-v001,r08c-inspect-and-prefer-invalidation,Use getQueriesData first and prefer invalidation when shapes differ
S-123,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-124,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-125,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-138,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-139,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-144,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-151,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-154,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-158,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-161,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-164,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-168,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-173,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-177,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-183,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-185,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-206,already-processed-R08A,context-only,Already completed in R08A; not part of R08C transcript.
S-129,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-134,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-143,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-147,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-153,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-167,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-169,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-175,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-178,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-182,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-190,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-191,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-193,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-194,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-197,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-198,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-200,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-204,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-207,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-212,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-216,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-219,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-221,already-processed-R08B,context-only,Already completed in R08B; not part of R08C transcript.
S-184,excluded-overlap-already-R07,already-processed-overlap,Already processed in R07 v004; not R08C.
S-186,excluded-overlap-already-R07,already-processed-overlap,Already processed in R07 v004; not R08C.
