order,id,x,y,w,h,fileId_short,source_id,image_index_number,image_path_guess,ocr_assisted_transcript,theme,readability,literal_status
1,488e3dbdf9a6cb4c4e1fc7b19f59f3f0f2d0d9d1,8854.085802345482,16878.507886705953,919.0,385.0,488e3dbdf9,MUT-S001,130,images/130__488e3dbdf9__Pasted Image ...png,"mutate(variables) and mutateAsync(variables) both pass those variables into onMutate , mutationFn ,
onSuccess, onError , and onSettled. onMutate runs before the mutation function, which is why it’s the
right place to do the optimistic cache update and return rollback info for later callbacks. nsec -
So the flow you described is right:

1. call mutate(...) or mutateAsync(...)

2. ‘ontustate gets the same variables

3. optimistically write to cache before server responds

4. return previous state or rollback context

5. if server mutation fails, onError uses that returned value to restore state

6. ‘onSettled usually invalidates to resync with server truth. tas -",mutation variable flow and optimistic update overview,medium,OCR-assisted draft; needs visual verification for exact literal transcript
2,55a51e51f437dec3ab46facc5bf4c15fa89fb739,7986.61580278099,16935.841492996446,659.0,430.0,55a51e51f4,MUT-S002,005,images/005__55a51e51f4__Pasted Image ...png,"Example:
> TypeScript a)
const mutation = useMutation({
mutationFn: updateTodo,
onMutate: async (newlodo, context) => {
await context.client.cancelQueries({ queryKey: ['todos'] })
const previousTodos = context.client. getQueryData([ ""todos ])
context .client .setQueryData([‘todos'], (old) => [---old, newTodo])
return { previousTodos }
hb
onError: (err, newlodo, onMutateResult, context) => {
context .client .setQueryData(['todos'], onMutateResult . previousTodos)
Lb
onSettled: (data, _error, _vars, result, context) => {
context .client .invalidateQueries({ queryKey: [‘todos""] })
Lb
v
That exact pattern is straight from the docs. —snsacccom",optimistic update code example,medium,OCR-assisted draft; needs visual verification for exact literal transcript
3,5bec075fe3a00d87161356e7a274af579f00ec7d,6916.566107463917,16946.731954640047,730.0,430.0,5bec075fe3,MUT-S003,003,images/003__5bec075fe3__Pasted Image ...png,"2) Why cancelQueries matters in optimistic updates
TanStack's optimistic update guide literally says to cancel outgoing refetches so they don’t overwrite your
optimistic update. trstsckcom -
The problem without cancellation
Imagine this timeline:
1. [‘todos""] query is on screen
2. arefetch is already in flight
3. user edits/adds a todo
4. you optimistically call setQueryData and show the new todo immediately
5. the older in-flight refetch finishes with stale server data
6. that old response writes into cache and wipes out your optimistic change
That is the race you are preventing.  tansackcom +
So the idea is:
cancel old fetches first, then write optimistic data, then later sync with the server result. sostctcom",cancelQueries / optimistic update race,medium,partially visually checked; transcript still should be reviewed for exactness
4,73b5e8fd6633fa9ba78bafbcccd16fe04b9bbff9,10593.16445683154,17012.91577644281,895.0,449.0,73b5e8fd66,MUT-S004,150,images/150__73b5e8fd66__Pasted Image ...png,"mutate VS mutateAsync
mutate
Use when you want the callback-style flow and do not need to await the mutation result directly.
> TypeScript io)
mutation.mutate(newTodo)
You usually rely on:
© onSuccess
© onError
© onSettled
for follow-up behavior. The docs describe mutate as returning void.  tnstac",mutate vs mutateAsync / mutate,medium,OCR-assisted draft; needs visual verification for exact literal transcript
5,f128bccab609bf76456a2477f30f835e7c60be09,6910.122285020871,17378.39833647599,740.0,308.0,f128bccab6,MUT-S005,004,images/004__f128bccab6__Pasted Image ...png,"3) Standard optimistic update flow with cancelqueries
TanStack’s documented flow is:

1. onMutate

2. cancel outgoing refetches

3. snapshot previous cache value

4. write optimistic value with setQueryData

5. if mutation fails, roll back using the snapshot

6. on settled, invalidate/refetch to sync with server.  tanstackcom
a",standard optimistic update flow,medium,OCR-assisted draft; needs visual verification for exact literal transcript
6,7de4e030ee7931b275819747d155a5b5e1961264,7933.861449475125,17379.455151515096,826.0,341.0,7de4e030ee,MUT-S006,149,images/149__7de4e030ee__Pasted Image ...png,"function RenameButton() {
const mutation = useMutation({
mutationFn: updateUser,
»
return (
<button
onClick={() => mutation.mutate({ id: '1', newName: ‘Alice’ })}
disabled={mutation.isPending}
>
{mutation.isPending ? ‘Saving...' : ‘Rename'}
</button>
»)
+",mutate UI example,medium,OCR-assisted draft; needs visual verification for exact literal transcript
7,a7ac382dd02a306fb445523ca92904a1b2f9e6db,10585.537580727096,17476.156658468637,898.0,354.0,a7ac382dd0,MUT-S007,151,images/151__a7ac382dd0__Pasted Image ...png,"mutateAsync
Use when you want a Promise and prefer await / try-catch .
> TypeScript io)
try {
const result = await mutation.mutateAsync(newTodo)
} catch (err) {
// handle error
+
The docs say mutateAsync is similar to mutate but returns a Promise that resolves on success or throws on
error. —Tanstack -",mutateAsync,medium,OCR-assisted draft; needs visual verification for exact literal transcript
8,8641ca8bc2b715e8fdb5f2b7714d1d00fff5a680,9089.586359062072,17497.9868759713,994.0,572.0,8641ca8bc2,MUT-S008,148,images/148__8641ca8bc2__Pasted Image ...png,"21.2 Immutable updates only
Always return a new object/array.
Good
> TypeScript a)
queryClient.setQueryData([‘user', id], (prev: any) =>
prev ? { ..-prev, name: newName } : prev
»)
LETe
> TypeScript a)
queryClient.setQueryData([‘user', id], (prev: any) => {
prev.name = newName
return prev
»
If you return the same reference after mutating it, observers may not update correctly.",immutable updates only,medium,OCR-assisted draft; needs visual verification for exact literal transcript
9,55a51e51f437dec3ab46facc5bf4c15fa89fb739,6900.3469783098935,17711.6840507617,659.0,430.0,55a51e51f4,MUT-S009,005,images/005__55a51e51f4__Pasted Image ...png,"Example:
> TypeScript a)
const mutation = useMutation({
mutationFn: updateTodo,
onMutate: async (newlodo, context) => {
await context.client.cancelQueries({ queryKey: ['todos'] })
const previousTodos = context.client. getQueryData([ ""todos ])
context .client .setQueryData([‘todos'], (old) => [---old, newTodo])
return { previousTodos }
hb
onError: (err, newlodo, onMutateResult, context) => {
context .client .setQueryData(['todos'], onMutateResult . previousTodos)
Lb
onSettled: (data, _error, _vars, result, context) => {
context .client .invalidateQueries({ queryKey: [‘todos""] })
Lb
v
That exact pattern is straight from the docs. —snsacccom",optimistic update code example,medium,OCR-assisted draft; needs visual verification for exact literal transcript
10,e7fe1b2b605cb9ef250315cf99077da63100fc4c,10603.074527341678,17839.138117344504,617.0,191.0,e7fe1b2b60,MUT-S010,152,images/152__e7fe1b2b60__Pasted Image ...png,"When to use which
Use mutate when:
* you are happy with mutation callbacks
* you trigger the mutation from UI events
* you do not need the result inline in surrounding code",when to use mutate,medium,OCR-assisted draft; needs visual verification for exact literal transcript
