region_source_id,source_id,image_use_id,image_index,file,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,text,code,notes
MUT-S001,MUT-S001,,130,488e3dbdf9.png,488e3dbdf9,verified,r10-v005-included-source,high,no,high,mutation variable flow and optimistic update overview,"`mutate(variables)` and `mutateAsync(variables)` both pass those variables into `onMutate`, `mutationFn`, `onSuccess`, `onError`, and `onSettled`. `onMutate` runs before the mutation function, which is why it's the right place to do the optimistic cache update and return rollback info for later callbacks.

So the flow you described is right:

1. call `mutate(...)` or `mutateAsync(...)`
2. `onMutate` gets the same variables
3. optimistically write to cache before server responds
4. return previous state or rollback context
5. if server mutation fails, `onError` uses that returned value to restore state
6. `onSettled` usually invalidates to resync with server truth.",,Source chips like `TanStack +1` are visible but omitted from transcript body.
MUT-S002,MUT-S002,,005,55a51e51f4.png,55a51e51f4,verified,r10-v005-included-source,high,no,high,optimistic update code example,"Example:

That exact pattern is straight from the docs.","const mutation = useMutation({
  mutationFn: updateTodo,
  onMutate: async (newTodo, context) => {
    await context.client.cancelQueries({ queryKey: ['todos'] })

    const previousTodos = context.client.getQueryData(['todos'])

    context.client.setQueryData(['todos'], (old) => [...old, newTodo])

    return { previousTodos }
  },
  onError: (err, newTodo, onMutateResult, context) => {
    context.client.setQueryData(['todos'], onMutateResult.previousTodos)
  },
  onSettled: (_data, _error, _vars, _result, context) => {
    context.client.invalidateQueries({ queryKey: ['todos'] })
  },
})",This image appears twice in the mutation region; also used by MUT-S009.
MUT-S003,MUT-S003,,003,5bec075fe3.png,5bec075fe3,verified,r10-v005-included-source,high,no,high,cancelQueries / optimistic update race,"2) Why `cancelQueries` matters in optimistic updates

TanStack's optimistic update guide literally says to cancel outgoing refetches so they don't overwrite your optimistic update.

The problem without cancellation

Imagine this timeline:

1. `['todos']` query is on screen
2. a refetch is already in flight
3. user edits/adds a todo
4. you optimistically call `setQueryData` and show the new todo immediately
5. the older in-flight refetch finishes with stale server data
6. that old response writes into cache and wipes out your optimistic change

That is the race you are preventing.

So the idea is:

cancel old fetches first, then write optimistic data, then later sync with the server result.",,Visually checked against original PNG.
MUT-S004,MUT-S004,,150,73b5e8fd66.png,73b5e8fd66,verified,r10-v005-included-source,high,no,high,mutate vs mutateAsync / mutate,"`mutate` vs `mutateAsync`

`mutate`

Use when you want the callback-style flow and do not need to `await` the mutation result directly.

You usually rely on:

- `onSuccess`
- `onError`
- `onSettled`

for follow-up behavior. The docs describe `mutate` as returning `void`.",mutation.mutate(newTodo),Visually checked against original PNG.
MUT-S005,MUT-S005,,004,f128bccab6.png,f128bccab6,verified-visible-partial,r10-v005-included-source,high,yes,high-for-visible-text,standard optimistic update flow,"3) Standard optimistic update flow with `cancelQueries`

TanStack's documented flow is:

1. `onMutate`
2. cancel outgoing refetches
3. snapshot previous cache value
4. write optimistic value with `setQueryData`
5. if mutation fails, roll back using the snapshot
6. on settled, invalidate/refetch to sync with server.

Example:",,The screenshot is cut off below `Example:`. Do not infer the missing example from this screenshot; the example is visible in MUT-S002/MUT-S009.
MUT-S006,MUT-S006,,149,7de4e030ee.png,7de4e030ee,verified,r10-v005-included-source,high,no,high,mutate UI example,,"function RenameButton() {
  const mutation = useMutation({
    mutationFn: updateUser,
  })

  return (
    <button
      onClick={() => mutation.mutate({ id: '1', newName: 'Alice' })}
      disabled={mutation.isPending}
    >
      {mutation.isPending ? 'Saving...' : 'Rename'}
    </button>
  )
}",Code-only screenshot. Visually checked against original PNG.
MUT-S007,MUT-S007,,151,a7ac382dd0.png,a7ac382dd0,verified,r10-v005-included-source,high,no,high,mutateAsync,"`mutateAsync`

Use when you want a Promise and prefer `await` / `try-catch`.

The docs say `mutateAsync` is similar to `mutate` but returns a Promise that resolves on success or throws on error.","try {
  const result = await mutation.mutateAsync(newTodo)
} catch (err) {
  // handle error
}",Visually checked against original PNG.
MUT-S008,MUT-S008,,148,8641ca8bc2.png,8641ca8bc2,verified,r10-v005-included-source,high,no,high,immutable updates only,"21.2 Immutable updates only

Always return a new object/array.

Good

Bad

If you return the same reference after mutating it, observers may not update correctly.","// Good
queryClient.setQueryData(['user', id], (prev: any) =>
  prev ? { ...prev, name: newName } : prev
)

// Bad
queryClient.setQueryData(['user', id], (prev: any) => {
  prev.name = newName
  return prev
})",Original screenshot has separate Good/Bad TypeScript blocks; transcript keeps them together while preserving content.
MUT-S009,MUT-S009,,005,55a51e51f4.png,55a51e51f4,verified-duplicate-of-MUT-S002,r10-v005-included-source,high,no,high,optimistic update code example,"Example:

That exact pattern is straight from the docs.","const mutation = useMutation({
  mutationFn: updateTodo,
  onMutate: async (newTodo, context) => {
    await context.client.cancelQueries({ queryKey: ['todos'] })

    const previousTodos = context.client.getQueryData(['todos'])

    context.client.setQueryData(['todos'], (old) => [...old, newTodo])

    return { previousTodos }
  },
  onError: (err, newTodo, onMutateResult, context) => {
    context.client.setQueryData(['todos'], onMutateResult.previousTodos)
  },
  onSettled: (_data, _error, _vars, _result, context) => {
    context.client.invalidateQueries({ queryKey: ['todos'] })
  },
})",Same underlying PNG as MUT-S002.
MUT-S010,MUT-S010,,152,e7fe1b2b60.png,e7fe1b2b60,verified,r10-v005-included-source,high,no,high,when to use mutate,"When to use which

Use `mutate` when:

- you are happy with mutation callbacks
- you trigger the mutation from UI events
- you do not need the result inline in surrounding code",,Visually checked against original PNG.
