source_id,image_use_id,region,fileId_short,sha256_12,x,y,width,height,source_image_path,audit_copy_path,status,notes
S-001,IU-001,R01,f249fbf833,7d60c3726418,4962.306,10.0,777.0,482.0,source/images/f249fbf833.png,audit-assets/R01R02R03-source-images/S-001__f249fbf833.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-002,IU-002,R01,77bb7ba354,f05fea59f26c,4966.373,592.975,798.0,482.0,source/images/77bb7ba354.png,audit-assets/R01R02R03-source-images/S-002__77bb7ba354.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-003,IU-003,R01,90f21d9024,71e7ae407be3,4980.322,1741.855,849.0,122.0,source/images/90f21d9024.png,audit-assets/R01R02R03-source-images/S-003__90f21d9024.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-004,IU-004,R01,b18577c0cc,cd9a55b5fc0d,4965.681,1887.413,753.0,482.0,source/images/b18577c0cc.png,audit-assets/R01R02R03-source-images/S-004__b18577c0cc.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-005,IU-005,R01,0a4282bbc9,dbdb5aa37626,565.631,2332.228,937.0,300.0,source/images/0a4282bbc9.png,audit-assets/R01R02R03-source-images/S-005__0a4282bbc9.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-006,IU-006,R01,e5918f0ff6,b52c4845c506,4953.917,2489.233,918.0,318.0,source/images/e5918f0ff6.png,audit-assets/R01R02R03-source-images/S-006__e5918f0ff6.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-007,IU-007,R01,87d8092a99,21dcc7fc1552,592.735,2802.024,815.0,482.0,source/images/87d8092a99.png,audit-assets/R01R02R03-source-images/S-007__87d8092a99.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-008,IU-008,R01,d0aef9f51a,d59e5944a7a5,4962.917,2825.733,932.0,413.0,source/images/d0aef9f51a.png,audit-assets/R01R02R03-source-images/S-008__d0aef9f51a.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-009,IU-009,R01,0c4ff6bc2c,4ce0549d3e47,612.91,3447.262,869.0,482.0,source/images/0c4ff6bc2c.png,audit-assets/R01R02R03-source-images/S-009__0c4ff6bc2c.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-010,IU-010,R01,6fe3c8e94c,c618edc7b21c,628.202,4107.132,949.0,374.0,source/images/6fe3c8e94c.png,audit-assets/R01R02R03-source-images/S-010__6fe3c8e94c.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-011,IU-011,R01,18338b912c,b10e4c47c22a,2859.126,4119.241,1266.0,482.0,source/images/18338b912c.png,audit-assets/R01R02R03-source-images/S-011__18338b912c.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-012,IU-012,R01,1cd388eaf0,fa8443e76300,4991.483,4174.257,907.0,482.0,source/images/1cd388eaf0.png,audit-assets/R01R02R03-source-images/S-012__1cd388eaf0.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-013,IU-013,R01,0598fdfbe3,2fb69621e370,2867.229,4708.508,608.0,46.0,source/images/0598fdfbe3.png,audit-assets/R01R02R03-source-images/S-013__0598fdfbe3.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-014,IU-014,R01,6fe3c8e94c,c618edc7b21c,643.44,4720.466,949.0,374.0,source/images/6fe3c8e94c.png,audit-assets/R01R02R03-source-images/S-014__6fe3c8e94c.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-015,IU-015,R01,7ece0bee62,350f04cd497d,2866.74,4757.759,996.0,482.0,source/images/7ece0bee62.png,audit-assets/R01R02R03-source-images/S-015__7ece0bee62.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-016,IU-016,R01,afabb7a58b,3cd23adbf8d6,4997.434,4806.257,778.0,482.0,source/images/afabb7a58b.png,audit-assets/R01R02R03-source-images/S-016__afabb7a58b.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-017,IU-017,R01,8c7fbc3064,521bdd8d2a77,2803.07,5267.756,868.0,146.0,source/images/8c7fbc3064.png,audit-assets/R01R02R03-source-images/S-017__8c7fbc3064.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-018,IU-018,R01,2496d8e9e6,6ee78631f0df,4996.745,5437.246,939.0,431.0,source/images/2496d8e9e6.png,audit-assets/R01R02R03-source-images/S-018__2496d8e9e6.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-019,IU-019,R01,5a896f7892,dd03bae98dd1,2797.679,5532.85,1306.0,362.0,source/images/5a896f7892.png,audit-assets/R01R02R03-source-images/S-019__5a896f7892.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-020,IU-020,R02,90a126c292,ab6beef57317,4993.334,6003.59,860.0,482.0,source/images/90a126c292.png,audit-assets/R01R02R03-source-images/S-020__90a126c292.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
