use_id,image_id,filename,region_id,x,y,width,height,opacity,transform,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-706e71ad6c6aa1c598f0e533426555a0c3d5b7d1,image-706e71ad6c6aa1c598f0e533426555a0c3d5b7d1.png,R01,397.6438372473003,7347.961135150763,670.0,438.0,1,translate(397.6438372473003 7347.961135150763) rotate(0 335 219),,"[""T-004"", ""T-008"", ""T-007""]","[""edpoint names + min flow"", ""what endpoint who should have"", ""code and tokens""]",pending_supplemental_transcript
IU-002,image-446e1e19f9357edbe4dc67520bc461a0f7aed451,image-446e1e19f9357edbe4dc67520bc461a0f7aed451.png,R01,376.48520396977074,7001.357892730746,652.0,342.0,1,translate(376.48520396977074 7001.357892730746) rotate(0 326 171),,"[""T-004"", ""T-008"", ""T-024""]","[""edpoint names + min flow"", ""what endpoint who should have"", ""not storing access tokens in browsers cookie auth properties""]",pending_supplemental_transcript
IU-003,image-4bd547be160d4ebdb3cc704ed1a498c686e7f7d6,image-4bd547be160d4ebdb3cc704ed1a498c686e7f7d6.png,R01,402.2497695738439,6628.038232461411,441.0,349.0,1,translate(402.2497695738439 6628.038232461411) rotate(0 220.5 174.5),,"[""T-004"", ""T-024"", ""T-006""]","[""edpoint names + min flow"", ""not storing access tokens in browsers cookie auth properties"", ""def challenge scheme how works""]",pending_supplemental_transcript
IU-004,image-40b0783c4f4b698ce35f30d4fef9cda6834bb714,image-40b0783c4f4b698ce35f30d4fef9cda6834bb714.png,R01,399.9018518089524,6192.300108158961,480.0,430.0,1,translate(399.9018518089524 6192.300108158961) rotate(0 239.99077490774926 215),,"[""T-004"", ""T-024"", ""T-006""]","[""edpoint names + min flow"", ""not storing access tokens in browsers cookie auth properties"", ""def challenge scheme how works""]",pending_supplemental_transcript
IU-005,image-e17f7743b7766dbef3fc332e4a0b674f91467557,image-e17f7743b7766dbef3fc332e4a0b674f91467557.png,R01,356.01981871783755,5758.966803889993,509.0,430.0,1,translate(356.01981871783755 5758.966803889993) rotate(0 254.34905660377353 215),,"[""T-004"", ""T-024"", ""T-006""]","[""edpoint names + min flow"", ""not storing access tokens in browsers cookie auth properties"", ""def challenge scheme how works""]",pending_supplemental_transcript
IU-006,image-c573706c4aeeb5a8d3016dd049caa6dbc3c37afc,image-c573706c4aeeb5a8d3016dd049caa6dbc3c37afc.png,R01,280.4171844242137,5364.057164035412,639.0,388.0,1,translate(280.4171844242137 5364.057164035412) rotate(0 319.5 194),,"[""T-024"", ""T-004"", ""T-006""]","[""not storing access tokens in browsers cookie auth properties"", ""edpoint names + min flow"", ""def challenge scheme how works""]",pending_supplemental_transcript
IU-007,image-ae55543198ee366f7fdf5e926b576dbcd194599f,image-ae55543198ee366f7fdf5e926b576dbcd194599f.png,R01,280.0758061512952,4884.520023416235,611.0,482.0,1,translate(280.0758061512952 4884.520023416235) rotate(0 305.7144861830743 241.15625),,"[""T-024"", ""T-004"", ""T-023""]","[""not storing access tokens in browsers cookie auth properties"", ""edpoint names + min flow"", ""what to do for prod""]",pending_supplemental_transcript
IU-008,image-b2dd71d3cbd7f374dde603b3b6434406262cfb7f,image-b2dd71d3cbd7f374dde603b3b6434406262cfb7f.png,R01,253.40143735389938,4503.731820494688,667.0,375.0,1,translate(253.40143735389938 4503.731820494688) rotate(0 333.5 187.5),,"[""T-024"", ""T-023"", ""T-022""]","[""not storing access tokens in browsers cookie auth properties"", ""what to do for prod"", ""how api gets key fro idp endpoint, what is automatic""]",pending_supplemental_transcript
IU-009,image-2cbc05ea662fd811193f2861986c41f6c17632fe,image-2cbc05ea662fd811193f2861986c41f6c17632fe.png,R01,238.7346689619717,4137.842914651579,623.0,369.0,1,translate(238.7346689619717 4137.842914651579) rotate(0 311.5 184.5),,"[""T-023"", ""T-022"", ""T-024""]","[""what to do for prod"", ""how api gets key fro idp endpoint, what is automatic"", ""not storing access tokens in browsers cookie auth properties""]",pending_supplemental_transcript
IU-010,image-a33fad8e587c308d583a0c6908df33dc09ce8f65,image-a33fad8e587c308d583a0c6908df33dc09ce8f65.png,R01,171.1792490400967,3733.342965514219,727.0,418.0,1,translate(171.1792490400967 3733.342965514219) rotate(0 363.5 209),,"[""T-023"", ""T-022"", ""T-021""]","[""what to do for prod"", ""how api gets key fro idp endpoint, what is automatic"", ""jwt api/idp asymmetric keys""]",pending_supplemental_transcript
IU-011,image-428bcae2f40b285b07a5b99269b97c1c628f6fa9,image-428bcae2f40b285b07a5b99269b97c1c628f6fa9.png,R01,101.34571225624313,3298.454110533743,760.0,430.0,1,translate(101.34571225624313 3298.454110533743) rotate(0 380 215),,"[""T-023"", ""T-022"", ""T-021""]","[""what to do for prod"", ""how api gets key fro idp endpoint, what is automatic"", ""jwt api/idp asymmetric keys""]",pending_supplemental_transcript
IU-012,image-e7e905f858e393358def550043b082a8092e4aaf,image-e7e905f858e393358def550043b082a8092e4aaf.png,R01,101.46972538090631,2814.5200488475402,642.0,482.0,1,translate(101.46972538090631 2814.5200488475402) rotate(0 320.9872844827587 241.15625),,"[""T-022"", ""T-023"", ""T-021""]","[""how api gets key fro idp endpoint, what is automatic"", ""what to do for prod"", ""jwt api/idp asymmetric keys""]",pending_supplemental_transcript
IU-013,image-cfc6af529042451ce3f59b438c38c8d5dfbb85dc,image-cfc6af529042451ce3f59b438c38c8d5dfbb85dc.png,R01,51.95697934608688,2522.5651131379072,857.0,284.0,1,translate(51.95697934608688 2522.5651131379072) rotate(0 428.5 142),,"[""T-022"", ""T-023"", ""T-021""]","[""how api gets key fro idp endpoint, what is automatic"", ""what to do for prod"", ""jwt api/idp asymmetric keys""]",pending_supplemental_transcript
IU-014,image-245f562c414de7844949e634bbcba31483831c04,image-245f562c414de7844949e634bbcba31483831c04.png,R01,10.0,2026.075550149626,872.0,482.0,1,translate(10 2026.075550149626) rotate(0 435.7902312992128 241.15625),,"[""T-022"", ""T-023"", ""T-021""]","[""how api gets key fro idp endpoint, what is automatic"", ""what to do for prod"", ""jwt api/idp asymmetric keys""]",pending_supplemental_transcript
IU-015,image-2f92c66c96a62fd05ba5c5b812832ee177acc0ef,image-2f92c66c96a62fd05ba5c5b812832ee177acc0ef.png,R02,3491.901152428987,1965.3913495617035,724.0,51.0,1,translate(3491.901152428987 1965.3913495617035) rotate(0 362 25.5),,"[""T-001"", ""T-002"", ""T-003""]","[""sending hashed with secret and then sending secret to"", ""get tokens"", ""needed for idp to prove that its you who initialized the flow""]",pending_supplemental_transcript
IU-016,image-9b7b11c2198652c57afa855f361283ba6bfa1b57,image-9b7b11c2198652c57afa855f361283ba6bfa1b57.png,R02,3490.2345264524247,2088.058036573422,738.0,347.0,1,translate(3490.2345264524247 2088.058036573422) rotate(0 369 173.5),,"[""T-001"", ""T-002"", ""T-003""]","[""sending hashed with secret and then sending secret to"", ""get tokens"", ""needed for idp to prove that its you who initialized the flow""]",pending_supplemental_transcript
IU-017,image-d9e0ba36dbb98131e05fbe36fa204b268b5e7f18,image-d9e0ba36dbb98131e05fbe36fa204b268b5e7f18.png,R02,3561.734404382112,2433.7246015148285,731.0,77.0,1,translate(3561.734404382112 2433.7246015148285) rotate(0 365.5 38.5),,"[""T-003"", ""T-002"", ""T-001""]","[""needed for idp to prove that its you who initialized the flow"", ""get tokens"", ""sending hashed with secret and then sending secret to""]",pending_supplemental_transcript
IU-018,image-3e5bc985cd4cc03c3f585a6e0d0f35c8dedc459c,image-3e5bc985cd4cc03c3f585a6e0d0f35c8dedc459c.png,R02,3528.4012744992997,2506.3913495617035,555.0,193.0,1,translate(3528.4012744992997 2506.3913495617035) rotate(0 277.5 96.5),,"[""T-003"", ""T-002"", ""T-001""]","[""needed for idp to prove that its you who initialized the flow"", ""get tokens"", ""sending hashed with secret and then sending secret to""]",pending_supplemental_transcript
IU-019,image-2e33ad63b7209f67e77c699b4d054f6586dd8dae,image-2e33ad63b7209f67e77c699b4d054f6586dd8dae.png,R02,3542.4010303586747,3076.058036573422,439.0,131.0,1,translate(3542.4010303586747 3076.058036573422) rotate(0 219.5 65.5),,"[""T-021"", ""T-003"", ""T-002""]","[""jwt api/idp asymmetric keys"", ""needed for idp to prove that its you who initialized the flow"", ""get tokens""]",pending_supplemental_transcript
IU-020,image-76856ca89b0e9481e3fbe2a5d72b1733aed79103,image-76856ca89b0e9481e3fbe2a5d72b1733aed79103.png,R02,3761.067900475862,3041.5579145031097,559.0,152.0,1,translate(3761.067900475862 3041.5579145031097) rotate(0 279.5 76),,"[""T-021"", ""T-003"", ""T-002""]","[""jwt api/idp asymmetric keys"", ""needed for idp to prove that its you who initialized the flow"", ""get tokens""]",pending_supplemental_transcript
IU-021,image-d69893d562737159638243dad6580e5778762a48,image-d69893d562737159638243dad6580e5778762a48.png,R02,4078.734404382114,2992.3914105968597,249.0,53.0,1,translate(4078.734404382114 2992.3914105968597) rotate(0 124.5 26.5),,"[""T-003"", ""T-002"", ""T-001""]","[""needed for idp to prove that its you who initialized the flow"", ""get tokens"", ""sending hashed with secret and then sending secret to""]",pending_supplemental_transcript
IU-022,image-6694d90702bbcee3e1c885ec5b27df6f89294ca3,image-6694d90702bbcee3e1c885ec5b27df6f89294ca3.png,R02,3547.4012744992997,2962.057975538266,541.0,87.0,1,translate(3547.4012744992997 2962.057975538266) rotate(0 270.5 43.5),,"[""T-021"", ""T-003"", ""T-002""]","[""jwt api/idp asymmetric keys"", ""needed for idp to prove that its you who initialized the flow"", ""get tokens""]",pending_supplemental_transcript
IU-023,image-777455adfcfe697ea7026f3ee02cfecb85a7cbd0,image-777455adfcfe697ea7026f3ee02cfecb85a7cbd0.png,R02,3536.2345264524247,2874.558036573422,574.0,86.0,1,translate(3536.2345264524247 2874.558036573422) rotate(0 287 43),,"[""T-021"", ""T-003"", ""T-002""]","[""jwt api/idp asymmetric keys"", ""needed for idp to prove that its you who initialized the flow"", ""get tokens""]",pending_supplemental_transcript
IU-024,image-4b7e4e65fbfb033e95af8a7b1b6db30158148ca3,image-4b7e4e65fbfb033e95af8a7b1b6db30158148ca3.png,R02,3739.234648522737,2702.558036573422,560.0,166.0,1,translate(3739.234648522737 2702.558036573422) rotate(0 280 83),,"[""T-003"", ""T-002"", ""T-001""]","[""needed for idp to prove that its you who initialized the flow"", ""get tokens"", ""sending hashed with secret and then sending secret to""]",pending_supplemental_transcript
