region,source_id,image_use_id,file_sha256_12,x,y,width,height,stage1_status,source_image_path
R01,S-001,IU-001,a29458ad831e,2013.895303062107,10.0,933.0,379.0,verified-semantic-transcript,source/images/a29458ad831e.png
R01,S-002,IU-002,9f4d8ee4ac82,2037.5381602049638,400.73821149551077,840.0,188.0,verified-semantic-transcript,source/images/9f4d8ee4ac82.png
R01,S-003,IU-003,62cb122f183e,6418.241605408526,559.0008685404027,913.0,449.0,verified-semantic-transcript,source/images/62cb122f183e.png
R01,S-004,IU-004,3a998d5c3052,2946.9902335595343,1015.7537673712068,959.0,453.0,verified-semantic-transcript,source/images/3a998d5c3052.png
R01,S-005,IU-005,4e12b5abd196,6481.282369165202,1020.8135133953153,732.0,482.0,verified-semantic-transcript,source/images/4e12b5abd196.png
R02,S-006,IU-006,c1141c29d4a1,1199.0630850972348,1041.0471448787284,953.0,413.0,verified-semantic-transcript,source/images/c1141c29d4a1.png
R02,S-007,IU-007,63e7ad298f38,1398.5378901625973,1464.8041257651494,712.0,482.0,verified-semantic-transcript,source/images/63e7ad298f38.png
R02,S-008,IU-008,78a30f9db169,6484.594896444812,1473.4160537187345,759.0,413.0,verified-semantic-transcript,source/images/78a30f9db169.png
R02,S-009,IU-009,18ff465919cd,2971.172690893054,1486.5156140043837,890.0,221.0,verified-semantic-transcript,source/images/18ff465919cd.png
R02,S-010,IU-010,c3d282ebc89a,2969.4504008539916,1715.1822806710552,909.0,457.0,verified-semantic-transcript,source/images/c3d282ebc89a.png
R02,S-011,IU-011,f5a0ba42236f,1369.459081195515,2002.383034946426,883.0,283.0,verified-semantic-transcript,source/images/f5a0ba42236f.png
R02,S-012,IU-012,793416d90639,6494.804195044111,2007.2153923148144,759.0,260.0,verified-semantic-transcript,source/images/793416d90639.png
R02,S-013,IU-013,cef8dd545b1a,2972.228212540189,2179.015614004413,919.0,336.0,verified-semantic-transcript,source/images/cef8dd545b1a.png
R02,S-014,IU-014,6ed85c274f18,6499.397045554497,2282.3192670197823,821.0,482.0,verified-semantic-transcript,source/images/6ed85c274f18.png
R03,S-015,IU-015,12171d6fc182,1405.9641425156997,2296.8503198743274,522.0,83.0,verified-semantic-transcript,source/images/12171d6fc182.png
R03,S-016,IU-016,33958b438ad7,3005.6229408010586,2543.0816031808354,722.0,482.0,verified-semantic-transcript,source/images/33958b438ad7.png
R03,S-017,IU-017,cba92eff8f25,6501.005081068832,2784.6033568155617,836.0,60.0,verified-semantic-transcript,source/images/cba92eff8f25.png
R03,S-018,IU-018,33958b438ad7,1411.2570135834103,2800.8392189535807,722.0,482.0,verified-semantic-transcript,source/images/33958b438ad7.png
R03,S-019,IU-019,f337360bbdf5,6558.700839737025,2916.8672396779075,1000.0,237.0,verified-semantic-transcript,source/images/f337360bbdf5.png
R03,S-020,IU-020,d3a1fef3504a,2979.5613932856304,3042.8489473377413,881.0,215.0,verified-semantic-transcript,source/images/d3a1fef3504a.png
R03,S-021,IU-021,362a37e8ddef,1372.0365734054567,3311.693899662496,863.0,188.0,verified-semantic-transcript,source/images/362a37e8ddef.png
R03,S-022,IU-022,dce77759e439,1387.0227807666952,3508.446311621665,911.0,307.0,verified-semantic-transcript,source/images/dce77759e439.png
