symbol_id,file_sha256_12,x,y,width,height,rotation,source_id,image_use_id,candidate_region,source_image_path
image-6f275788908e2bad421c651971e92d59b88af9e9,a29458ad831e,2013.895303062107,10.0,933.0,379.0,0.0,S-001,IU-001,R01,source/images/a29458ad831e.png
image-bea1cb281cac6d4df003be35b28823aae1b7bb16,9f4d8ee4ac82,2037.5381602049638,400.73821149551077,840.0,188.0,0.0,S-002,IU-002,R01,source/images/9f4d8ee4ac82.png
image-75977f3c87e09c65917b28b0418555a2cf30105f,62cb122f183e,6418.241605408526,559.0008685404027,913.0,449.0,0.0,S-003,IU-003,R01,source/images/62cb122f183e.png
image-50aafd6ab75742ea1030625344f4b7092f45416e,3a998d5c3052,2946.9902335595343,1015.7537673712068,959.0,453.0,0.0,S-004,IU-004,R01,source/images/3a998d5c3052.png
image-a49ea26eafdfefadbb175d49598b69a0ce7a74d1,4e12b5abd196,6481.282369165202,1020.8135133953153,732.0,482.0,0.0,S-005,IU-005,R01,source/images/4e12b5abd196.png
image-9f8434c012b95989eca274248d5e8393e83ba302,c1141c29d4a1,1199.0630850972348,1041.0471448787284,953.0,413.0,0.0,S-006,IU-006,R02,source/images/c1141c29d4a1.png
image-953051d5aa0d5bd89c6c0b28544c1c183639fa90,63e7ad298f38,1398.5378901625973,1464.8041257651494,712.0,482.0,0.0,S-007,IU-007,R02,source/images/63e7ad298f38.png
image-f20d120d5b74306f1e7ecce9411e7e099f0dc4b0,78a30f9db169,6484.594896444812,1473.4160537187345,759.0,413.0,0.0,S-008,IU-008,R02,source/images/78a30f9db169.png
image-ccf4f8cdc1e2866a36fe0e957eeca2eeb089ad12,18ff465919cd,2971.172690893054,1486.5156140043837,890.0,221.0,0.0,S-009,IU-009,R02,source/images/18ff465919cd.png
image-35d84ef620af7e1cb75e3f0420a6c256cab6cf11,c3d282ebc89a,2969.4504008539916,1715.1822806710552,909.0,457.0,0.0,S-010,IU-010,R02,source/images/c3d282ebc89a.png
image-8055fa3c4cf9a46546a19ffb759b1e97100f29ac,f5a0ba42236f,1369.459081195515,2002.383034946426,883.0,283.0,0.0,S-011,IU-011,R02,source/images/f5a0ba42236f.png
image-7ed261ba1416ad2b2f7d8779266054540e4a9324,793416d90639,6494.804195044111,2007.2153923148144,759.0,260.0,0.0,S-012,IU-012,R02,source/images/793416d90639.png
image-b1ba419a581da30fd04ff2a636aff914535b2f8f,cef8dd545b1a,2972.228212540189,2179.015614004413,919.0,336.0,0.0,S-013,IU-013,R02,source/images/cef8dd545b1a.png
image-fdeb4ce27d5d6c1d0c07f3a4b30ee4db134661d1,6ed85c274f18,6499.397045554497,2282.3192670197823,821.0,482.0,0.0,S-014,IU-014,R02,source/images/6ed85c274f18.png
image-9994d6e623385a21f973f2c9c66265d69e458247,12171d6fc182,1405.9641425156997,2296.8503198743274,522.0,83.0,0.0,S-015,IU-015,R03,source/images/12171d6fc182.png
image-e99bf3c356b411078394b37438af01e9ff0bccc2,33958b438ad7,3005.6229408010586,2543.0816031808354,722.0,482.0,0.0,S-016,IU-016,R03,source/images/33958b438ad7.png
image-a259fde558b147ea3ce51b44fbec8e5cbde37fbf,cba92eff8f25,6501.005081068832,2784.6033568155617,836.0,60.0,0.0,S-017,IU-017,R03,source/images/cba92eff8f25.png
image-e99bf3c356b411078394b37438af01e9ff0bccc2,33958b438ad7,1411.2570135834103,2800.8392189535807,722.0,482.0,0.0,S-018,IU-018,R03,source/images/33958b438ad7.png
image-56d6153541a842b88f4ed82e583369e3af2e0e19,f337360bbdf5,6558.700839737025,2916.8672396779075,1000.0,237.0,0.0,S-019,IU-019,R03,source/images/f337360bbdf5.png
image-90c16aafdb10cfb4f514ca27c9efc98255d2ba48,d3a1fef3504a,2979.5613932856304,3042.8489473377413,881.0,215.0,0.0,S-020,IU-020,R03,source/images/d3a1fef3504a.png
image-3d268e539181e10e1670bbad9172c38fb01af2df,362a37e8ddef,1372.0365734054567,3311.693899662496,863.0,188.0,0.0,S-021,IU-021,R03,source/images/362a37e8ddef.png
image-8ea9bf7a8a8cb5a63d230a8c69d5f2eb017ee0dc,dce77759e439,1387.0227807666952,3508.446311621665,911.0,307.0,0.0,S-022,IU-022,R03,source/images/dce77759e439.png
