target,unique_screenshots,image_uses,text_labels,duplicate_extra_placements,remaining_unclosed
_ai-conspects/STRING  TRIM,2,2,0,0,0
_ai-conspects/last element sharp,2,2,0,0,0
_ai-conspects/last element,2,2,0,0,0
_ai-conspects/sheet regex sharp,1,1,2,0,0
_ai-conspects/string to char list,1,1,0,0,0
"_ai-conspects/js url safe, encodeuri",2,2,0,0,0
_ai-conspects/REPLACE,1,1,2,0,0
_ai-conspects/delete,1,1,0,0,0
_ai-conspects/sheet exec order,1,1,5,0,0
_ai-conspects/Enumerable static methods,1,1,3,0,0
_ai-conspects/STRING SORT,1,1,1,0,0
_ai-conspects/any in exists,1,1,0,0,0
_ai-conspects/STRING REMOVE INSERT,1,1,0,0,0
_ai-conspects/STRING INDEX,1,1,2,0,0
_ai-conspects/CONTAINS STARTSWITH ENDSWITH,1,1,0,0,0
_ai-conspects/STRING SPLIT,1,1,0,0,0
_ai-conspects/STRING PADDING,1,1,0,0,0
_ai-conspects/prog inline styles css,3,3,1,0,0
_ai-conspects/string join,2,2,0,0,0
"_ai-conspects/useref, when need to have ref from obj created in useeffect + when need to access someting inside effect without incl into dep array",4,4,5,0,0
