label_id,text,x,y,font_size,fill
L-001,with upsert,3049.254,3898.842,20px,#d3d3d3
L-002,create flow IF  id missing,3041.254,4022.842,20px,#d3d3d3
L-003,and then update flow as normal patch,3031.92,4564.176,20px,#d3d3d3
L-004,need to check if jsonpatchdoc valid first,4184.99,3227.372,20px,#d3d3d3
L-005,for system.text.json patch(we write modelstate errors manually),4723.047,3160.72,20px,#d3d3d3
L-006,"WHEN YOU HAVE SOME RULES, THAT CAN MAKE MODELSTATE INVALID AND YOU DIDNT REMOVE",1572.916,106.402,80.34285714285716px,#d3d3d3
L-007,"AUTO RESPONSE ON INVALID MODELSTATE,",1572.916,206.831,80.34285714285716px,#d3d3d3
L-008,YOU HAVE INVALIDMODELSTATERESPONSEFACTORY CALLBACK THAT BUILDS RESPONSE AND RETURNS iACTIONRESULT,522.822,527.171,84.00000000000001px,#d3d3d3
L-009,SO WE CAN GET IT AND EXECUTE,1317.638,2491.135,20px,#d3d3d3
L-010,IT WITH OUR ACTIONCONTEXT TO,1317.638,2516.135,20px,#d3d3d3
L-011,DO MANUAL VALIDATION BUT WITH,1317.638,2541.135,20px,#d3d3d3
L-012,CURRENT CONFIG,1317.638,2566.135,20px,#d3d3d3
L-013,HELPER FOR MANUAL VALIDATOIN,3971.541,1672.232,116.00000000000001px,#d3d3d3
L-014,CREATE PD FROM MODELSTATE,3538.507,1660.894,20px,#d3d3d3
L-015,"NOT RELATED, ABOUT PATCH VALIDATION",3762.134,3081.192,48.44444444444455px,#d3d3d3
L-016,TRYVALIDATEMODEL,10.0,1252.555,98.22216796874999px,#d3d3d3
L-017,APICONTROLLER  AND,6858.697,157.303,167.20000000000007px,#d3d3d3
L-018,modelstate filter,6858.697,366.303,167.20000000000007px,#d3d3d3
L-019,implicit required for non nullable reference types,6858.697,575.303,167.20000000000007px,#d3d3d3
