item_type,item_id,secondary_id,region_id,sha256,status,previously_present,restored,assignment_count,evidence
image_use,S-001,IU-001,R03,49d93faa70ef41387636a13668d06ac3234dc111cc1e28dd9e7a80361583db08,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R03: ExecuteInTransaction, SaveChanges(false), verification, and ambiguous commit"
image_use,S-002,IU-002,R03,5cc4212256a1336c5f4fdd316f1d850929c1b6eaa4bbdc1997069705d122df5a,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R03: ExecuteInTransaction, SaveChanges(false), verification, and ambiguous commit"
image_use,S-003,IU-003,R01,b250a2e44a18436a7d75b807088d74a5a5318a66c13f4fe24a9c311659caa0a6,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Execution-strategy configuration, defaults, and diagnostics"
image_use,S-004,IU-004,R04,05559bc7183b5e495515b8178fc752b8a024b9cd6071a9fe59300138900fc3a4,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R04: Savepoints inside manual transactions
image_use,S-005,IU-005,R01,6221c10c2da1e8397cad625f2d4c913d8b7f10141fc2a156f97eb0c1d3e13feb,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Execution-strategy configuration, defaults, and diagnostics"
image_use,S-006,IU-006,R01,0643b0617a6a0fb20051e069b23ee0fead9d35f69c97ef190b701a93ece37e95,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Execution-strategy configuration, defaults, and diagnostics"
image_use,S-007,IU-007,R01,3bdbd1be00aa56f69a7133f781f56b9a06acc39d28bc3c0353f08d30feedef48,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Execution-strategy configuration, defaults, and diagnostics"
image_use,S-008,IU-008,R03,11ffb03c441c6f00d54f5875c56df5807953713f38f0b7de30a0baa236b8389f,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R03: ExecuteInTransaction, SaveChanges(false), verification, and ambiguous commit"
image_use,S-009,IU-009,R03,da236a9b348b2e16902675addb98706fa60ccec76d0fec2ea31f76b40b58d1b2,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R03: ExecuteInTransaction, SaveChanges(false), verification, and ambiguous commit"
image_use,S-010,IU-010,R01,605247d5c2d2f80db0f4cdabf9104675521f59dfa6c9dfb33b47e3326b359def,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Execution-strategy configuration, defaults, and diagnostics"
image_use,S-011,IU-011,R01,ef26f1b7a57f2c45b6ce0ed24cd75d0ec387d98d5a4320d73676d8254bee4c84,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: Execution-strategy configuration, defaults, and diagnostics"
image_use,S-012,IU-012,R04,0cad8f6106ed2c7c6dbfad5df807806056ce524d2795bfe894164c92a4dc7f27,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R04: Savepoints inside manual transactions
