target,source,unique_screenshots,image_uses,text_labels,duplicate_extra_placements,remaining_unclosed
_ai-conspects/promise.all,promise.all.svg,11,11,2,0,0
_ai-conspects/vitest test errors,vitest test errors.svg,7,7,20,0,0
_ai-conspects/map and weakmap js,map and weakmap js.svg,11,11,0,0,0
_ai-conspects/Bitwise checking for all combinations,Bitwise checking for all combinations.svg,14,14,14,0,0
_ai-conspects/BALANCING GROUPS .NET,BALANCING GROUPS .NET.svg,14,14,24,0,0
_ai-conspects/vitest mocking,vitest mocking.svg,6,6,22,0,0
"_ai-conspects/regex, reusing, compiled","regex, reusing, compiled.svg",11,11,9,0,0
"_ai-conspects/parse string to int,float,double","parse string to int,float,double.svg",9,9,0,0,0
_ai-conspects/pagination offset take,pagination offset take.svg,10,10,2,0,0
_ai-conspects/set js,set js.svg,12,12,28,0,0
