source_id,image_use_id,symbol_id,file_id,filename,x,y,width,height,cx,cy,candidate_region,candidate_region_name
S-001,IU-001,image-f0961a1bc5540653a20ab28e51e0731143434979,a07a857712,a07a857712.png,3096.53135178466,6112.025074830875,779.0,482.0,3486.03135178466,6353.025074830875,R03,locking / cache stampede / expiration and catastrophic locking cases
S-002,IU-002,image-12f6729ac40d3f3fdca29d92c3cd982003bb836b,93c99589f7,93c99589f7.png,871.300270510761,8494.160323893055,903.0,450.0,1322.800270510761,8719.160323893055,R03,locking / cache stampede / expiration and catastrophic locking cases
S-003,IU-003,image-c2737b4b74c61be991e53e8e9b668bfc008509a5,501b75f2ac,501b75f2ac.png,910.39825165196,9000.226160481601,865.0,482.0,1342.89825165196,9241.226160481601,R03,locking / cache stampede / expiration and catastrophic locking cases
S-004,IU-004,image-afe2e4d00ba3ef33ccba87925e219d21f602b0b5,13af009f71,13af009f71.png,1971.6893289417503,8495.160120442539,920.0,248.0,2431.6893289417503,8619.160120442539,R03,locking / cache stampede / expiration and catastrophic locking cases
S-005,IU-005,image-5be2cc5d6bacf25a19a955eb5a8bf0e1740e9e29,af0289fa13,af0289fa13.png,1962.0780821969593,8755.882410481616,937.0,391.0,2430.5780821969593,8951.382410481616,R03,locking / cache stampede / expiration and catastrophic locking cases
S-006,IU-006,image-9f44904e25303e1b0cb4e4f3d971bc8169b70cba,2aaf2fbea2,2aaf2fbea2.png,3083.966937177428,8494.993555501133,931.0,435.0,3549.466937177428,8712.493555501133,R03,locking / cache stampede / expiration and catastrophic locking cases
S-007,IU-007,image-aedf673b64cdc41f6f8202363028289ff45454af,ea126928c5,ea126928c5.png,3057.894989154528,8946.892806803211,963.0,482.0,3539.394989154528,9187.892806803211,R03,locking / cache stampede / expiration and catastrophic locking cases
S-008,IU-008,image-159b25f40738d17cd80c2a7d435a91cdb3a39eea,a61d082ca4,a61d082ca4.png,4288.911415530292,8506.049117838367,938.0,284.0,4757.911415530292,8648.049117838367,R03,locking / cache stampede / expiration and catastrophic locking cases
S-009,IU-009,image-501aa59f030fcd292c62782a2325448fba0b8f62,0b0a2b110f,0b0a2b110f.png,4290.078163577167,8803.215804850086,893.0,407.0,4736.578163577167,9006.715804850086,R03,locking / cache stampede / expiration and catastrophic locking cases
S-010,IU-010,image-2c57952d4cb57070e0674d6fcbe7f3d23a6ecab2,35d600a131,35d600a131.png,5401.078041506855,8497.549117838367,919.0,301.0,5860.578041506855,8648.049117838367,R03,locking / cache stampede / expiration and catastrophic locking cases
S-011,IU-011,image-965f5811a1163d0e8e691caeb52ce6c281baefa6,c2f2084dcf,c2f2084dcf.png,5400.809283779845,8797.559554850086,746.0,482.0,5773.809283779845,9038.559554850086,R03,locking / cache stampede / expiration and catastrophic locking cases
S-012,IU-012,image-24d991446701346d6a7adcfeaeb876ad372423dc,ed21c73211,ed21c73211.png,5389.078041506855,9302.21574381493,927.0,209.0,5852.578041506855,9406.71574381493,R03,locking / cache stampede / expiration and catastrophic locking cases
S-013,IU-013,image-7038cc02c3362633aca2381e5b3d79c66fc81e9f,670d97bf4d,670d97bf4d.png,3057.427369432142,9881.432837146407,907.0,482.0,3510.927369432142,10122.432837146407,R03,locking / cache stampede / expiration and catastrophic locking cases
S-014,IU-014,image-75bea3835826383135aaf23dab853c1ca6597e90,1cab54a00a,1cab54a00a.png,3047.7318593043183,10372.832273975975,922.0,304.0,3508.7318593043183,10524.832273975975,R03,locking / cache stampede / expiration and catastrophic locking cases
