source_id,image_use_id,file_id,filename,candidate_region,status,x,y,width,height,notes
S-001,IU-001,a07a857712,a07a857712.png,R03,closed-by-stage1,3096.53,6112.03,779.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-002,IU-002,93c99589f7,93c99589f7.png,R03,closed-by-stage1,871.3,8494.16,903.0,450.0,Closed by R01R02R03R04 final coverage transcript v001.
S-003,IU-003,501b75f2ac,501b75f2ac.png,R03,closed-by-stage1,910.4,9000.23,865.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-004,IU-004,13af009f71,13af009f71.png,R03,closed-by-stage1,1971.69,8495.16,920.0,248.0,Closed by R01R02R03R04 final coverage transcript v001.
S-005,IU-005,af0289fa13,af0289fa13.png,R03,closed-by-stage1,1962.08,8755.88,937.0,391.0,Closed by R01R02R03R04 final coverage transcript v001.
S-006,IU-006,2aaf2fbea2,2aaf2fbea2.png,R03,closed-by-stage1,3083.97,8494.99,931.0,435.0,Closed by R01R02R03R04 final coverage transcript v001.
S-007,IU-007,ea126928c5,ea126928c5.png,R03,closed-by-stage1,3057.89,8946.89,963.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-008,IU-008,a61d082ca4,a61d082ca4.png,R03,closed-by-stage1,4288.91,8506.05,938.0,284.0,Closed by R01R02R03R04 final coverage transcript v001.
S-009,IU-009,0b0a2b110f,0b0a2b110f.png,R03,closed-by-stage1,4290.08,8803.22,893.0,407.0,Closed by R01R02R03R04 final coverage transcript v001.
S-010,IU-010,35d600a131,35d600a131.png,R03,closed-by-stage1,5401.08,8497.55,919.0,301.0,Closed by R01R02R03R04 final coverage transcript v001.
S-011,IU-011,c2f2084dcf,c2f2084dcf.png,R03,closed-by-stage1,5400.81,8797.56,746.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-012,IU-012,ed21c73211,ed21c73211.png,R03,closed-by-stage1,5389.08,9302.22,927.0,209.0,Closed by R01R02R03R04 final coverage transcript v001.
S-013,IU-013,670d97bf4d,670d97bf4d.png,R03,closed-by-stage1,3057.43,9881.43,907.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-014,IU-014,1cab54a00a,1cab54a00a.png,R03,closed-by-stage1,3047.73,10372.83,922.0,304.0,Closed by R01R02R03R04 final coverage transcript v001.
S-015,IU-015,32df8fab78,32df8fab78.png,R03,closed-by-stage1,3085.8,6755.22,961.0,277.0,Closed by R01R02R03R04 final coverage transcript v001.
S-016,IU-016,d2acf561f2,d2acf561f2.png,R03,closed-by-stage1,3062.56,7045.93,966.0,463.0,Closed by R01R02R03R04 final coverage transcript v001.
S-017,IU-017,620ab4f5dd,620ab4f5dd.png,R03,closed-by-stage1,3067.95,7654.05,899.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-018,IU-018,1ff208d0e1,1ff208d0e1.png,R01,closed-by-stage1,2970.16,2735.44,837.0,206.0,Closed by R01R02R03R04 final coverage transcript v001.
S-019,IU-019,edb0e7dc45,edb0e7dc45.png,R02,closed-by-stage1,1093.37,3911.11,700.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-020,IU-020,d28e2fff98,d28e2fff98.png,R02,closed-by-stage1,1072.18,4427.67,814.0,341.0,Closed by R01R02R03R04 final coverage transcript v001.
S-021,IU-021,6cdfc869ba,6cdfc869ba.png,R02,closed-by-stage1,2040.99,3912.39,804.0,263.0,Closed by R01R02R03R04 final coverage transcript v001.
S-022,IU-022,cc5c2657b4,cc5c2657b4.png,R02,closed-by-stage1,2044.72,4181.98,827.0,360.0,Closed by R01R02R03R04 final coverage transcript v001.
S-023,IU-023,c416ee7e8a,c416ee7e8a.png,R02,closed-by-stage1,2995.82,3907.22,841.0,209.0,Closed by R01R02R03R04 final coverage transcript v001.
S-024,IU-024,80b6a189a9,80b6a189a9.png,R02,closed-by-stage1,2989.97,4120.31,829.0,408.0,Closed by R01R02R03R04 final coverage transcript v001.
S-025,IU-025,2884070308,2884070308.png,R02,closed-by-stage1,4122.02,3905.53,796.0,242.0,Closed by R01R02R03R04 final coverage transcript v001.
S-026,IU-026,6ed131fd98,6ed131fd98.png,R02,closed-by-stage1,4125.78,4174.75,827.0,468.0,Closed by R01R02R03R04 final coverage transcript v001.
S-027,IU-027,8adb75ce8a,8adb75ce8a.png,R02,closed-by-stage1,4112.08,4651.88,807.0,213.0,Closed by R01R02R03R04 final coverage transcript v001.
S-028,IU-028,8b1cc490f8,8b1cc490f8.png,R02,closed-by-stage1,4130.08,4951.3,697.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
