label_id,text,x,y,font_size,candidate_region
T-001,include == join,995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-002,when navigation has required() then ef uses inner join (because if this,995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-003,shit is required - it must be there and we cant loose data with inner join),995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-004,when navigation is optional then ef uses left join,995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-005,"query filters break this shit, so when some navigation is required and",995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-006,it has query filter - we will build inner join and we may not fetch outer,995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-007,entities whoose children was filtered (we will fetch them if navigation is a collection,995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-008,and there is so children that wasnt filtered),995.5822931698749,728.1191263116052,33.743586613581286px,R01
T-009,inner and left joins,869.6560386262681,337.18355879864976,83.40738932291764px,R01
T-010,when including navigations in query,869.6560386262681,337.18355879864976,83.40738932291764px,R01
T-011,how we can loose data with query filters,869.6560386262681,337.18355879864976,83.40738932291764px,R01
T-012,query filters,2770.7972004965613,10.0,228.88891601562497px,R02
T-013,!!!,4081.6770840046233,1281.5778116771548,61.5962982614777px,R02
T-014,ignore query filters,4212.699754108334,1333.192802930132,61.5962982614777px,R02
T-015,multiple filters,4097.410893562705,1905.3540448083108,70.45228370159998px,R02
