label_id,x,y,font_size,candidate_region,text
L-001,16742.651102654192,235.31456705943128,86.13332519531248,R04,manual executiong
L-002,16742.651102654192,235.31456705943128,86.13332519531248,R04,custom pipeline
L-003,16742.651102654192,235.31456705943128,86.13332519531248,R04,+
L-004,16742.651102654192,235.31456705943128,86.13332519531248,R04,provider
L-005,18282.99677355026,267.3193994956482,73.3333362926137,R04,passing context to
L-006,18282.99677355026,267.3193994956482,73.3333362926137,R04,classic polly
L-007,18282.99677355026,267.3193994956482,73.3333362926137,R04,+
L-008,18282.99677355026,267.3193994956482,73.3333362926137,R04,getting pipeline from registry
L-009,15195.930503720521,437.5904464280675,101.77778764204542,R03,if want to pass
L-010,15195.930503720521,437.5904464280675,101.77778764204542,R03,someting into context
L-011,19726.41844791176,509.4539304359623,238.6665039062499,R04,classic
L-012,29682.842965942695,509.8575567253765,276.0000000000001,R07,shared impl
L-013,2702.5899541015515,565.5394996635141,113.86663411458362,R01,args args in shouldhandle
L-014,2702.5899541015515,565.5394996635141,113.86663411458362,R01,why do we need to attach request to context
L-015,7637.4165334641,693.333155314127,158.666748046875,R02,new standart vs custom
L-016,60.78687879774225,702.0766504488283,90.22225952148439,R01,"delay generator, way to fallback to defaults"
L-017,22871.35939500184,745.1032930404417,150.66668701171864,R05,extensions
L-018,10477.495625112162,749.4537778480717,457.3334960937498,R02,custom
L-019,5473.86707664763,786.9957504365757,140.88891601562497,R01,setting properties
L-020,15247.005675901846,883.0843238210964,34.22223307291678,R03,need to execute pipeline manually
L-021,15247.005675901846,883.0843238210964,34.22223307291678,R03,OR
L-022,15247.005675901846,883.0843238210964,34.22223307291678,R03,pass to request options and get pipeline from provider
L-023,15247.005675901846,883.0843238210964,34.22223307291678,R03,and execute it manually
L-024,15247.005675901846,883.0843238210964,34.22223307291678,R03,IN BOTH we pass context
L-025,24454.054067787773,1064.912643044392,134.2020265572588,R05,examples
L-026,22830.592379741967,1107.4060746602972,36.533349609374994,R05,classic polly httppolicyextensions
L-027,22830.592379741967,1107.4060746602972,36.533349609374994,R05,1what counts as  transient http failure
L-028,22830.592379741967,1107.4060746602972,36.533349609374994,R05,2 transient status codes (when have your own exception handling)
L-029,22830.592379741967,1107.4060746602972,36.533349609374994,R05,3 attach around httpclient with confiigured trans errors handling
L-030,22830.592379741967,1107.4060746602972,36.533349609374994,R05,4 registry
L-031,12503.169784852253,1114.840653186,107.70372178819449,R03,making request with pipeline.execute
L-032,15329.186816612115,1199.7788911835619,20.0,R03,so to have delegating handler that gets pipeline with pipelineprovider
L-033,15329.186816612115,1199.7788911835619,20.0,R03,based on request properties
L-034,15329.186816612115,1199.7788911835619,20.0,R03,or
L-035,15329.186816612115,1199.7788911835619,20.0,R03,creating a wrapper that runs pipeline.execute and passes context
L-036,15329.186816612115,1199.7788911835619,20.0,R03,look like the cleanest options
L-037,15329.186816612115,1199.7788911835619,20.0,R03,for simple scenarios its better to create wrapper with manual pipeline
L-038,15329.186816612115,1199.7788911835619,20.0,R03,and delegatinghandler if there is some complex conditional shit
L-039,12454.498231433685,1269.7671662394769,20.0,R03,"the pipeline, not handler, you cant use handler for manual execution"
L-040,21823.669302818893,1272.585515656121,81.33337402343746,R05,cheat sheet
L-041,31613.12103079539,2249.350713326172,20.0,R07,using Polly;
L-042,31613.12103079539,2249.350713326172,20.0,R07,using Polly.Timeout;
L-043,31613.12103079539,2249.350713326172,20.0,R07,using Polly.Bulkhead;
L-044,31613.12103079539,2249.350713326172,20.0,R07,using Polly.CircuitBreaker;
L-045,31613.12103079539,2249.350713326172,20.0,R07,using Polly.Retry;
L-046,31613.12103079539,2249.350713326172,20.0,R07,using Polly.Wrap;
L-047,31613.12103079539,2249.350713326172,20.0,R07,using Polly.Extensions.Http;
L-048,31613.12103079539,2249.350713326172,20.0,R07,using System.Net;
L-049,31613.12103079539,2249.350713326172,20.0,R07,public static class PollyPolicies
L-050,31613.12103079539,2249.350713326172,20.0,R07,{
L-051,31613.12103079539,2249.350713326172,20.0,R07,public static IAsyncPolicy<HttpResponseMessage> CreateHttpPolicy()
L-052,31613.12103079539,2249.350713326172,20.0,R07,{
L-053,31613.12103079539,2249.350713326172,20.0,R07,// 1) Per-try timeout
L-054,31613.12103079539,2249.350713326172,20.0,R07,var timeout = Policy.TimeoutAsync<HttpResponseMessage>(
L-055,31613.12103079539,2249.350713326172,20.0,R07,"TimeSpan.FromSeconds(10),"
L-056,31613.12103079539,2249.350713326172,20.0,R07,TimeoutStrategy.Pessimistic);
L-057,31613.12103079539,2249.350713326172,20.0,R07,// 2) Retry with exponential backoff + jitter
L-058,31613.12103079539,2249.350713326172,20.0,R07,var jitterer = new Random();
L-059,31613.12103079539,2249.350713326172,20.0,R07,var retry = HttpPolicyExtensions
L-060,31613.12103079539,2249.350713326172,20.0,R07,".HandleTransientHttpError() // HttpRequestException, 5xx, 408"
L-061,31613.12103079539,2249.350713326172,20.0,R07,.Or<TimeoutRejectedException>()
L-062,31613.12103079539,2249.350713326172,20.0,R07,.WaitAndRetryAsync(
