source_id,region,coverage_status,decision_is_final,duplicate_source_ids,notes
S-004,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-005,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-007,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-008,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-008,S-068",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-016,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-021,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-021,S-079",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-022,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-022,S-092",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-025,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-031,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-031,S-083",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-034,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-047,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-052,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-064,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-073,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-074,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-116,R01,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-006,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-019,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-039,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-041,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-053,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-056,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-068,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-008,S-068",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-077,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-079,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-021,S-079",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-082,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-083,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-031,S-083",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-088,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-092,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-022,S-092",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-094,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-101,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-114,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-118,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-127,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-134,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-138,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-144,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-150,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-151,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-156,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-161,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-167,R02,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-013,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-023,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-026,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-032,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-033,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,"S-001,S-033",Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-035,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-040,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-042,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-048,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-051,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-055,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-057,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-060,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-065,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-067,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-070,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-076,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-080,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-084,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-089,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-093,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-095,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-102,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-103,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-105,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-109,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
