source_id,region,decision,reason
S-001,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-002,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-003,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-009,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-010,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-011,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-020,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-024,R04,included-in-r04r05r06-v001,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns"
S-038,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-045,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-058,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-066,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-078,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-087,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-090,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-099,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-104,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-111,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-119,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
S-129,R04,included-in-r04r05r06-v001,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration"
