idx,symbol_id,file_sha,x,y,w,h,rot
1,image-f77b121226a25ae7f948b63b21fb015e8d1ef0b3,12146b1298,1115.0397600446431,10.0,994.0,409.0,0.0
2,image-960c4fd332a5fad1bb0f5de87eea818fd427b852,6b406c9592,10.0,1198.3176516578314,999.0,393.0,0.0
3,image-8845bf3bc3cc8d8a2f2827a8f6a422c63e02207c,9665f02a1c,83.38734863281297,1606.9946332659038,826.0,482.0,0.0
4,image-9281c26d855af4e7820b007a186bdaf4ed6b65ba,81313a6009,2011.0715157645095,1559.7223554338718,974.0,434.0,0.0
5,image-6014fa98b18c962ffedaff460e81564f413e5cf0,295292ca18,1103.0631917317717,437.0953143891834,957.0,311.0,0.0
6,image-621973e136b9f47042ac5688a42cec7de850200f,e164b777bb,2121.879830079151,3998.604929606121,885.0,482.0,0.0
7,image-efc421fb5a1ff15ffed6d449c07eeed4695c8b27,1c1740524f,2084.5800218661548,3817.2611033121757,970.0,155.0,0.0
8,image-cef9d4ab2793578c571ea39b5c727c7cb2f0bca0,d0254b0a3c,2095.413304336858,3419.2611033121757,925.0,371.0,0.0
9,image-a86d2ce70cb052b0ebd196a4571221d0e6683ad9,332f339168,2089.413304336858,3116.094385782879,987.0,284.0,0.0
10,image-8b7197931e484da988c6783a8f6f640168647972,0c5820a20b,2112.913304336858,2853.9277445475273,730.0,245.0,0.0
11,image-f0101fa2244862d27967df572e992073407edbac,4c940ec7fd,2049.0800218661548,2389.594385782879,941.0,457.0,0.0
12,image-9963c1f5446ca13a308e806095860f71ba867d0d,7dff2e989d,2033.2467393954516,2032.4277445475273,1026.0,308.0,0.0
