source_id,type,region,status,note,x,y,width,height,symbol_id,sha256,file,text
I001,image_use,R01,closed,Closed by stage1 final coverage transcript.,360.18435407723246,308.3594660400013,764.0,338.0,image-c5d92dd162ee4dc0cec0d1afa408ee65f552e78d,f220da9096d49825f4b779915bdc79a41a87b58874e80d14fd6ca32850dd182f,source/images/image-c5d92dd162ee4dc0cec0d1afa408ee65f552e78d.png,
I002,image_use,R01,closed,Closed by stage1 final coverage transcript.,1373.4991185872177,346.45343173278525,1056.0,297.0,image-9356e971a883e957ada210c29537f6ba50a02d2b,8c3687e119e2095b3cc272982026ec8b328a257bc9c1adee9d8794c90f4a954d,source/images/image-9356e971a883e957ada210c29537f6ba50a02d2b.png,
I003,image_use,R01,closed,Closed by stage1 final coverage transcript.,2764.235969958775,375.23041028469197,791.0,281.0,image-e30dffc38f07d3cf33afaee66c20fda0193e072d,ee48d568b4b7ef74e86b75f5d93890f97ee51e8392ad921f4234479cb8962ea1,source/images/image-e30dffc38f07d3cf33afaee66c20fda0193e072d.png,
I004,image_use,R01,closed,Closed by stage1 final coverage transcript.,3835.204436493189,384.14106269855074,946.0,173.0,image-b9b040c7efa2f302ff224b64972f8497c940e966,8d7c4c7f00a6b3485905b3cf5d28a61daf3d5a0fec757be0818c77266d93f19d,source/images/image-b9b040c7efa2f302ff224b64972f8497c940e966.png,
I005,image_use,R01,closed,Closed by stage1 final coverage transcript.,3836.4468237446104,584.4289044954257,1072.0,410.0,image-20af60e27d86a8fcb8b997432591918c99ea4b4d,b950ad4776eead136d9fd9c9b0ae93df8b6a56be8b28103b32061237e9d8cbb2,source/images/image-20af60e27d86a8fcb8b997432591918c99ea4b4d.png,
I006,image_use,R01,closed,Closed by stage1 final coverage transcript.,325.3915295921479,667.3750244561979,775.0,203.0,image-0dec519f38a2a9fe8b3a422a54213e07f85a8dfa,5d1aca5ccd741343387fee0218c04f1626efa3f32cfaf30cdba0b5a8b0d90fa1,source/images/image-0dec519f38a2a9fe8b3a422a54213e07f85a8dfa.png,
I007,image_use,R01,closed,Closed by stage1 final coverage transcript.,1366.3322484700302,681.1914688421602,857.0,378.0,image-6fcb4694e5a0332b0b51b2b78fb97a6bdc5ea4e2,15cd885105d10ef10e60ca3aa1808ee572b33fb323fab4fe1a5dc261ce3240ae,source/images/image-6fcb4694e5a0332b0b51b2b78fb97a6bdc5ea4e2.png,
I008,image_use,R01,closed,Closed by stage1 final coverage transcript.,2733.0692015668483,683.3415044415933,1020.0,447.0,image-3bafa61c13945576b8d07dfad6f23624eb01a538,1a3ee22106b08e6f6e44b1bb7910698bcc75a8d9204124d9e793825d827bf1a0,source/images/image-3bafa61c13945576b8d07dfad6f23624eb01a538.png,
I009,image_use,R01,closed,Closed by stage1 final coverage transcript.,3839.3104601082464,1020.0349835969892,1059.0,380.0,image-2bd21b2efdebb711ecead22580c73aa83ef5dfd6,0558f28229322e6acccbebd0194e938ab99f6c39369014bfd81dc21708b91f93,source/images/image-2bd21b2efdebb711ecead22580c73aa83ef5dfd6.png,
I010,image_use,R01,closed,Closed by stage1 final coverage transcript.,3812.113527402281,1417.3380508910232,854.0,206.0,image-c2ebc322225dcefefe8462ca7c6419da0dd46754,c6c70781d230c4cccab969197d503b6a461f835cd72590d00689763168718ff0,source/images/image-c2ebc322225dcefefe8462ca7c6419da0dd46754.png,
I011,image_use,R01,closed,Closed by stage1 final coverage transcript.,1358.2846584867711,1440.548698892384,755.0,425.0,image-eee64de0b2233c4cd1174ee7ec310affbba4813b,8750242e014fa2614fc50cfa97a93be2ecc16da617d94014b718bf4a69f3ca77,source/images/image-eee64de0b2233c4cd1174ee7ec310affbba4813b.png,
I012,image_use,R01,closed,Closed by stage1 final coverage transcript.,1355.6899144856552,1880.9534753293258,724.0,268.0,image-556f87153f857dd3e857db1330b46bf2be43dfaa,90deae123e9821e912d4f3f5ffb1fa6aeff8601a38c74cb518dad49048ed5aee,source/images/image-556f87153f857dd3e857db1330b46bf2be43dfaa.png,
