source_id,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,cb1b53c07193a5e388653690e4791c57f904da11,cb1b53c071,5415.411,10434.367,806.0,352.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-031: converting | L-036: time zones | L-020: when need to show user his local time | L-021: findsystemtimezonebyid | L-016: convert datetime to utc,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-002,f170746b1759cb792f913a34c0ee5c673c4b3442,f170746b17,5414.432,10803.497,762.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-036: time zones | L-031: converting | L-020: when need to show user his local time | L-021: findsystemtimezonebyid | L-018: specified,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-003,3ca88d17e452163d02db85609b3576e6ebc28ef3,3ca88d17e4,5608.879,11785.351,527.0,304.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-036: time zones | L-021: findsystemtimezonebyid | L-020: when need to show user his local time | L-037: json | L-031: converting,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-004,b5a2dfd44fc76ffab7c2d99544f8821532aa564d,b5a2dfd44f,5590.593,12114.113,815.0,416.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-037: json | L-036: time zones | L-021: findsystemtimezonebyid | L-020: when need to show user his local time | L-038: model binding,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-005,410ac85eef99a9c7c3617bcaee5b38fb8f34fc6f,410ac85eef,7001.76,248.471,586.0,313.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-035: common choices | L-029: adding and substructing | L-009: what is the offset | L-032: basics | L-033: coretypes,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-006,0bf4e455eed5cf90cb1c0ec6cb2710a307e88847,0bf4e455ee,6994.546,570.661,829.0,461.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-035: common choices | L-009: what is the offset | L-029: adding and substructing | L-030: comparing times | L-034: what to use when,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-007,8426eb5879fcc2dfaa5a55d8706614a62c590e9c,8426eb5879,5543.489,13084.767,795.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-037: json | L-038: model binding | L-036: time zones | L-004: stopwatch | L-021: findsystemtimezonebyid,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-008,e3b46b36d76af951ac247beb5a9ea9aadbbe862f,e3b46b36d7,5585.284,13914.542,578.0,118.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-038: model binding | L-037: json | L-004: stopwatch | L-040: date math pitfalls | L-005: better to just recreate datetime object copying,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-009,84c9351c131e012ae5bcc0f20ec950f0fbb11a12,84c9351c13,5559.353,14052.386,737.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-038: model binding | L-037: json | L-040: date math pitfalls | L-004: stopwatch | L-005: better to just recreate datetime object copying,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-010,a465e93e150488ce0814f22a59f9807cd021ffc5,a465e93e15,5578.712,14562.161,614.0,278.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-038: model binding | L-040: date math pitfalls | L-005: better to just recreate datetime object copying | L-006: values | L-004: stopwatch,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-011,202c472ab013438b55c35621832e5a0332610b70,202c472ab0,5556.806,14888.576,856.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-040: date math pitfalls | L-005: better to just recreate datetime object copying | L-006: values | L-007: (dont really understand how example below works) | L-038: model binding,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-012,1abb46621f5f4f66307e429b78d79c34734467a8,1abb46621f,5530.07,15924.899,837.0,463.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-040: date math pitfalls | L-007: (dont really understand how example below works) | L-006: values | L-005: better to just recreate datetime object copying | L-038: model binding,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-013,6987468ca68f514e8091eee12a40dc6c32425558,6987468ca6,5533.015,16406.671,736.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-040: date math pitfalls | L-007: (dont really understand how example below works) | L-006: values | L-005: better to just recreate datetime object copying | L-004: stopwatch,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-014,8d1c572238e93f861600c9b70fab20122ceee226,8d1c572238,5511.233,16894.29,677.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-040: date math pitfalls | L-007: (dont really understand how example below works) | L-006: values | L-005: better to just recreate datetime object copying | L-083: converting the time on clock,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
