source_id,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,r01_boundary_decision,r01_boundary_note
S-005,410ac85eef99a9c7c3617bcaee5b38fb8f34fc6f,410ac85eef,7001.76,248.471,586.0,313.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-035: common choices | L-029: adding and substructing | L-009: what is the offset | L-032: basics | L-033: coretypes,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-006,0bf4e455eed5cf90cb1c0ec6cb2710a307e88847,0bf4e455ee,6994.546,570.661,829.0,461.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-035: common choices | L-009: what is the offset | L-029: adding and substructing | L-030: comparing times | L-034: what to use when,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-021,f7b36b9cf7a5544af5d280f3457eb61493a2781a,f7b36b9cf7,8512.492,2268.364,763.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-030: comparing times | L-039: expiratjion patterns | L-029: adding and substructing | L-009: what is the offset | L-001: datetimeoffset.localdatetime,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-022,3bb73c671948cb62c38e21f2a49f3d9fd0536684,3bb73c6719,8472.309,1552.187,873.0,338.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-030: comparing times | L-029: adding and substructing | L-039: expiratjion patterns | L-009: what is the offset | L-035: common choices,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-023,0dcede3d6f1431842f2a95d6abc108c373ec21fb,0dcede3d6f,8480.809,1041.92,685.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-029: adding and substructing | L-030: comparing times | L-039: expiratjion patterns | L-009: what is the offset | L-035: common choices,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-024,0797764a58eb98cb3e23c4f07b76bb83ce1fe225,0797764a58,5570.275,7638.41,799.0,300.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-104: what format | L-103: when to use | L-028: unix time | L-014: when to use unix time | L-031: converting,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-025,7d61f4c5afc6f9cfb3f6bf5961f5b6de97d87a44,7d61f4c5af,5598.799,7147.254,742.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-103: when to use | L-104: what format | L-014: when to use unix time | L-010: ticks vs unix seconds,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-026,9824ae60e88ae4cff89080558dcc9700d8398240,9824ae60e8,5596.775,6812.41,778.0,304.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-103: when to use | L-104: what format | L-014: when to use unix time | L-010: ticks vs unix seconds,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-027,d048c265a0d179ec2ea022ffee3f4371e9c57d45,d048c265a0,5609.942,6373.077,829.0,460.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-103: when to use | L-104: what format | L-014: when to use unix time | L-010: ticks vs unix seconds,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-028,3ddbc4772d7b3eed0c41ecfeca57c897aba3b555,3ddbc4772d,3901.108,5218.41,484.0,256.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-010: ticks vs unix seconds | L-027: ticks | L-011: what do ticks represent | L-028: unix time | L-014: when to use unix time,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-029,827b0932716c3ed3ab4f3e9e286a0dd69d2f4d27,827b093271,3884.5,4719.92,685.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-027: ticks | L-010: ticks vs unix seconds | L-028: unix time | L-011: what do ticks represent | L-014: when to use unix time,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-030,23267c80e874336a1dce32ffc531d98f43ce7aaf,23267c80e8,5622.144,5097.92,839.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-001: datetimeoffset.localdatetime | L-010: ticks vs unix seconds | L-027: ticks | L-103: when to use,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-031,d12c4db3c17a31ad951ea189874e0a01c75ea931,d12c4db3c1,5630.814,4615.254,726.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-001: datetimeoffset.localdatetime | L-027: ticks | L-010: ticks vs unix seconds | L-103: when to use,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-032,3f95bfeef64cbe6bf170328c57bf768d4d5a1c49,3f95bfeef6,5604.942,4280.91,895.0,335.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-028: unix time | L-027: ticks | L-010: ticks vs unix seconds | L-039: expiratjion patterns,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-033,a56e4c73a94beb7fd4234ec3090159384f227d49,a56e4c73a9,5611.775,3957.91,836.0,285.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-028: unix time | L-027: ticks | L-039: expiratjion patterns | L-009: what is the offset,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-034,f78b53d44de0dfb6410198e0393b3db438f107f0,f78b53d44d,5627.775,3470.41,852.0,476.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-027: ticks | L-039: expiratjion patterns | L-028: unix time,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-035,e404e1a2d57ca1648fe9d7d03e0ca743bb7f22b3,e404e1a2d5,5642.775,3123.243,862.0,341.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-039: expiratjion patterns | L-008: datetime.specifykind | L-034: what to use when,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
