use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-0001,image-02f6f0e70276e974257c4d127fd49fbc136899f5,54edfdf5ae21.png,54edfdf5ae21,R01,1832.2109592788056,7619.068155416982,655.0,482.0,1.0,,T-0163|T-0162|T-0164,Large file on disk:|(avoids big UTF-16 JSON string)|- Prefer FileStream + StreamContent,pending_transcript
IU-0002,image-aa374613be4703cf97192002a8225a9a464d9aeb,bfbb9f96e131.png,bfbb9f96e131,R01,1835.1991279062295,7109.068002829092,696.0,482.0,1.0,,T-0147|T-0146|T-0148,- Client: FormUrlEncodedContent|application/x-www-form-urlencoded|- Server: [FromForm] MyFormDto,pending_transcript
IU-0003,image-0c06e64a8fcf7eee1c78339a7873e2097264c683,182ef994fa87.png,182ef994fa87,R01,1857.958017208949,6729.224252829092,824.0,342.0,1.0,,T-0207|T-0132|T-0131,but you buffer bytes in memory|────────────────────────────────────────────────────────────|HOW TO CHOOSE QUICKLY,pending_transcript
IU-0004,image-3fb15b2ab5174ed7131dd3452247d51e3b318d81,74cba8b6319b.png,74cba8b6319b,R01,1859.0083473942577,6218.433244470181,735.0,482.0,1.0,,T-0120|T-0119|T-0121,- File upload endpoints|Best for:|────────────────────────────────────────────────────────────,pending_transcript
IU-0005,image-dc39ba02a4230af74f2321bd5321ecbdd750af0c,d41fd9f94060.png,d41fd9f94060,R01,1860.93787704221,5805.734720358389,798.0,482.0,1.0,,T-0108|T-0107|T-0109,"- var mp = new MultipartFormDataContent()|Client:|- mp.Add(new StreamContent(fileStream), ""file"", ""photo.png"")",pending_transcript
IU-0006,image-4efeefd343ea968192dab9461cb99c8686d51ba0,f7394078e031.png,f7394078e031,R01,1854.7914522675428,5426.724405416982,917.0,367.0,1.0,,T-0095|T-0094|T-0096,Best for:|- Common for OAuth/token endpoints|- Login/token requests,pending_transcript
IU-0007,image-3b62b63f81f6cffdae8df2220040944a74e19190,6adc3e88420d.png,6adc3e88420d,R01,1842.1245821503553,4881.224252829092,909.0,478.0,1.0,,T-0080|T-0081|T-0082,────────────────────────────────────────────────────────────|5) FormUrlEncodedContent|────────────────────────────────────────────────────────────,pending_transcript
IU-0008,image-af7588fa62296a09b703f104e6e17658446b5c3f,0b8c143e3483.png,0b8c143e3483,R01,1860.7914522675428,4481.724252829092,825.0,357.0,1.0,,T-0066|T-0067|T-0068,Content-Type sent:|- Set it manually (important)|e.g. video/mp4,pending_transcript
IU-0009,image-72db92725a4857d0a5e935e4e25e235b906e0035,20ca51ea6abb.png,20ca51ea6abb,R01,1866.6248873261366,4008.0022476207587,840.0,436.0,1.0,,T-0168|T-0169|T-0054,"can use jsoncontent with big object, too, if dont need compression|!!!|Why use it:",pending_transcript
IU-0010,image-53a89c17e87cdb3bdb1f5a6177e5845658d67e7c,739f48425dc9.png,739f48425dc9,R01,1908.7395741570854,3534.6260443935116,670.0,463.0,1.0,,T-0168|T-0169|T-0203,"can use jsoncontent with big object, too, if dont need compression|!!!|not requestmessage",pending_transcript
IU-0011,image-843489ee91c9462d5f216c09a61a906e1c3a41da,d0fdb6ddbdb3.png,d0fdb6ddbdb3,R01,1903.384905226435,3061.805515922959,734.0,463.0,1.0,,T-0168|T-0169|T-0170,"can use jsoncontent with big object, too, if dont need compression|!!!|types",pending_transcript
IU-0012,image-73d10150c16a570c27fbd33cc0df8b350dd1dcc4,32b2baa4a27f.png,32b2baa4a27f,R01,1880.693958222084,2530.124581636431,799.0,463.0,1.0,,T-0168|T-0170|T-0169,"can use jsoncontent with big object, too, if dont need compression|types|!!!",pending_transcript
IU-0013,image-5b72416282bce8e6a7b692c773cfb1de3cf9d99d,a7a55244ba9d.png,a7a55244ba9d,R01,2787.4056094674443,6753.4307653276865,743.0,482.0,1.0,,T-0207|T-0213|T-0212,"but you buffer bytes in memory|in headers|issue, what jsoncontent can set",pending_transcript
IU-0014,image-a854a00f83a4cfeaf3a461f4fa143ee1580c6762,3ab0363e5628.png,3ab0363e5628,R01,2806.7457456770026,7255.249002632372,676.0,482.0,1.0,,T-0207|T-0217|T-0213,but you buffer bytes in memory|memorystream fits content-length|in headers,pending_transcript
IU-0015,image-f46606cd55ef0bb4a8d3b23188a79dba602ba8e3,6de62b3f6a36.png,6de62b3f6a36,R01,2843.563342127929,7753.43082081419,672.0,482.0,1.0,,T-0207|T-0217|T-0175,but you buffer bytes in memory|memorystream fits content-length|when deserializing async enumerable,pending_transcript
IU-0016,image-3fb15b2ab5174ed7131dd3452247d51e3b318d81,74cba8b6319b.png,74cba8b6319b,R01,2906.0192149662053,6072.152627415717,735.0,482.0,1.0,IU-0004,T-0207|T-0211|T-0210,but you buffer bytes in memory|transfer-encoding: chuncked|jsoncontent.create/content-length issue,pending_transcript
IU-0017,image-4d24af0060c8824e64cbb941b9ba9b01ec830991,96e0de967535.png,96e0de967535,R01,2842.267189286613,4414.015015064427,782.0,459.0,1.0,,T-0169|T-0203|T-0168,"!!!|not requestmessage|can use jsoncontent with big object, too, if dont need compression",pending_transcript
IU-0018,image-606f4408a0dc13b863690748093dc1c31c86f1b0,74b3def31492.png,74b3def31492,R01,3676.325686366172,4429.267254538884,577.0,403.0,1.0,,T-0210|T-0211|T-0169,jsoncontent.create/content-length issue|transfer-encoding: chuncked|!!!,pending_transcript
IU-0019,image-b2ce8d621fba55cfe65542ce1cbd70e70c550555,8fc918776f2f.png,8fc918776f2f,R03,874.9418180054527,11163.112045214597,708.0,331.0,1.0,,T-0174|T-0204|T-0205,case 3|need to dispose|readasstreamasync too,pending_transcript
IU-0020,image-b113458eb207c863ff2ab20faf71301df972537a,9ab2129843be.png,9ab2129843be,R03,871.6800298793587,10621.529654535341,646.0,482.0,1.0,,T-0174|T-0176|T-0204,case 3|downloading file|need to dispose,pending_transcript
IU-0021,image-cd892666f7cb07310d0b615d80bfee3c41d8691f,78ae55e5d87e.png,78ae55e5d87e,R03,772.052454398683,10158.889653450273,896.0,415.0,1.0,,T-0174|T-0176|T-0177,case 3|downloading file|when deserializing json,pending_transcript
IU-0022,image-1f92b9b1d63b12c8709a40f77f495d996820cb0c,a5f1a4ecc807.png,a5f1a4ecc807,R03,785.4423417685866,9619.778770142093,881.0,482.0,1.0,,T-0177|T-0171|T-0175,when deserializing json|when reading response|when deserializing async enumerable,pending_transcript
IU-0023,image-a4a8bc0316d1e70e7374cbd149243534ddd3a8d5,dfa85dd5d1b4.png,dfa85dd5d1b4,R03,916.8348843091117,13589.56846795799,878.0,394.0,1.0,,T-0173|T-0172|T-0205,default behavior|deserializing stream on headers arrive in server indpoint|readasstreamasync too,pending_transcript
IU-0024,image-1227e053263ec0f6295b5bed4338cc0157e46fb4,a3afcc37e0af.png,a3afcc37e0af,R03,887.7191239405693,13053.745500428693,930.0,482.0,1.0,,T-0173|T-0172|T-0205,default behavior|deserializing stream on headers arrive in server indpoint|readasstreamasync too,pending_transcript
IU-0025,image-24f0ee74b90f18f39542aea71205d9dd2fc64c12,7cf29338e7b3.png,7cf29338e7b3,R03,905.5793476775834,12530.503706974345,854.0,482.0,1.0,,T-0173|T-0172|T-0205,default behavior|deserializing stream on headers arrive in server indpoint|readasstreamasync too,pending_transcript
IU-0026,image-8534de729da9322adc678eb63013ab3daf27c6bd,e52bb75e0501.png,e52bb75e0501,R03,2014.8794226456203,10675.80233240363,857.0,482.0,1.0,,T-0176|T-0204|T-0205,downloading file|need to dispose|readasstreamasync too,pending_transcript
IU-0027,image-e3c87ff97f4866bd2fbcadfe37430ff85dc9709f,20c952b57a47.png,20c952b57a47,R03,1918.9982719946393,9662.024541062483,883.0,482.0,1.0,,T-0175|T-0176|T-0171,when deserializing async enumerable|downloading file|when reading response,pending_transcript
IU-0028,image-44a48f25ed6dec5e58add6dd3b9c5421991c2dc5,31832f0ebd62.png,31832f0ebd62,R05,23236.61142045371,2949.528411953169,753.0,482.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0029,image-8ae7208416cb7ff850756a8f47d8768aea0a6829,cb4db44ff26e.png,cb4db44ff26e,R05,23274.725934483602,3438.0494892492798,676.0,209.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0030,image-c827ae6d3906081bb9a378a60a71bc9b44aceb72,9a24cb1c11a9.png,9a24cb1c11a9,R05,24090.637592290226,2988.423623659787,929.0,482.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0031,image-344705760e6d2dab566c262a9ef8b965b8040d9b,b043f08b2305.png,b043f08b2305,R05,24175.854620064965,3522.9690227187357,744.0,482.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0032,image-f6adbe110dec6a4bdd23d2fa389650d7cde75c73,9719ea1fbd27.png,9719ea1fbd27,R05,23676.239716954253,5369.676330455158,761.0,482.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0033,image-76dfd3410488275ac12f42d0d45ebdbdb9d2befa,2d761110ff9d.png,2d761110ff9d,R05,23721.848354720358,5907.276697605278,660.0,441.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0034,image-9603772b70e0e04fe859c72cdee8e98216e15eb0,a898586b256a.png,a898586b256a,R05,23665.096825095665,6417.0074611197315,785.0,482.0,1.0,,T-0233|T-0181|T-0234,trying to inprove|BASE64 STRING|performance /memory,pending_transcript
IU-0035,image-419113421d51b1ae331c66e8af7acc7319280142,308977bf7c7c.png,308977bf7c7c,R05,23772.725823242006,6928.718902056671,700.0,482.0,1.0,,T-0233|T-0234|T-0235,trying to inprove|performance /memory|through streams/pipes,pending_transcript
